Date,Open,High,Low,Close,Volume
08/11/2021,"21.94","21.94","20.52","21.74","53,548"
08/10/2021,"21.30","22.76","20.02","21.86","595,609"
08/09/2021,"19.24","21.76","17.68","21.37","204,294"
08/06/2021,"19.00","20.75","19.00","19.53","88,655"
08/05/2021,"18.78","20.00","18.40","19.97","57,769"
08/04/2021,"19.35","19.85","18.34","18.99","63,962"
08/03/2021,"18.94","20.09","18.86","19.71","45,272"
08/02/2021,"19.59","20.13","18.62","19.49","88,358"
07/30/2021,"17.83","19.90","16.94","19.25","178,029"
07/29/2021,"17.83","18.58","16.91","18.14","150,734"
07/28/2021,"16.77","18.02","16.42","17.83","98,860"
07/27/2021,"15.35","17.26","15.00","16.64","142,288"
07/26/2021,"15.34","15.89","15.05","15.37","147,031"
07/23/2021,"14.71","15.74","14.11","15.37","81,520"
07/22/2021,"14.82","15.58","14.16","14.77","62,939"
07/21/2021,"16.51","17.16","14.00","14.57","132,388"
07/20/2021,"17.09","17.79","16.50","16.51","20,269"
07/19/2021,"18.35","18.86","16.95","17.17","208,291"
07/16/2021,"19.06","19.49","18.17","18.86","77,386"
07/15/2021,"19.60","20.05","19.10","19.12","259,866"
07/14/2021,"19.41","20.00","18.32","19.80","287,401"
07/13/2021,"20.44","20.44","19.15","19.16","144,569"
07/12/2021,"18.54","19.65","18.54","19.65","318,595"
07/09/2021,"18.27","19.07","17.97","18.89","140,343"
07/08/2021,"18.11","19.01","18.06","18.23","113,428"
07/07/2021,"18.00","19.04","18.00","18.71","153,792"
07/06/2021,"19.75","19.75","17.98","17.99","138,409"
07/02/2021,"19.28","20.43","19.06","19.39","63,936"
07/01/2021,"20.50","21.45","19.00","19.01","73,462"
06/30/2021,"19.70","23.10","19.18","21.40","175,939"
06/29/2021,"19.50","20.36","19.10","19.72","122,713"
06/28/2021,"20.58","22.14","19.00","19.49","152,729"
06/25/2021,"17.66","22.35","17.02","21.03","323,206"
06/24/2021,"17.19","17.79","16.47","17.46","147,565"
06/23/2021,"17.51","17.63","16.30","16.80","118,148"
06/22/2021,"17.14","18.33","16.71","17.98","170,363"
06/21/2021,"16.96","17.90","16.62","17.32","173,591"
06/18/2021,"16.50","18.78","16.00","17.40","1,661,012"
