Date,Open,High,Low,Close,Volume
08/11/2021,"10.03","10.10","9.90","9.96","6,310"
08/10/2021,"9.95","9.95","9.93","9.95","2,545"
08/09/2021,"9.94","9.94","9.90","9.94","491"
08/06/2021,"9.99","9.99","9.91","9.94","6,229"
08/05/2021,"9.95","10.01","9.91","9.95","2,844"
08/04/2021,"9.95","10.00","9.91","9.99","9,040"
08/03/2021,"9.88","10.00","9.88","9.95","11,198"
08/02/2021,"9.95","10.00","9.90","9.95","126,097"
07/30/2021,"9.98","10.02","9.83","10.00","732,643"
07/29/2021,"9.80","10.00","9.80","10.00","718,059"
07/28/2021,"9.85","9.91","9.82","9.84","3,876,049"
