Date,Open,High,Low,Close,Volume
08/20/2021,"182.80","187.23","176.15","184.08","6,301,440"
08/19/2021,"182.62","185.43","178.24","182.06","6,448,920"
08/18/2021,"185.00","194.25","184.74","191.63","2,894,507"
08/17/2021,"184.55","194.21","183.61","185.88","3,447,157"
08/16/2021,"189.54","192.78","186.19","187.67","3,310,554"
08/13/2021,"181.00","195.45","177.15","194.79","6,915,102"
08/12/2021,"192.19","192.49","187.00","188.21","3,860,831"
08/11/2021,"190.51","191.63","187.02","190.56","2,609,070"
08/10/2021,"186.90","194.25","186.20","190.16","3,758,152"
08/09/2021,"182.80","186.11","180.11","183.15","1,264,075"
08/06/2021,"182.42","183.39","178.62","181.56","1,897,002"
08/05/2021,"178.37","186.08","177.84","181.33","2,130,538"
08/04/2021,"175.44","180.42","175.05","178.52","1,243,291"
08/03/2021,"177.01","180.56","175.54","177.13","1,219,004"
08/02/2021,"175.35","179.53","169.80","177.63","1,512,718"
07/30/2021,"175.81","176.74","173.13","174.29","1,624,027"
07/29/2021,"184.00","185.33","177.78","178.06","2,091,594"
07/28/2021,"182.12","187.50","181.29","186.85","2,123,840"
07/27/2021,"182.80","184.00","174.12","179.99","2,291,376"
07/26/2021,"186.21","188.32","182.64","184.09","918,024"
07/23/2021,"181.95","188.62","180.39","188.60","2,911,132"
07/22/2021,"179.18","184.29","177.88","182.78","1,444,320"
07/21/2021,"177.69","179.49","175.68","179.02","1,771,695"
07/20/2021,"176.24","180.00","173.65","177.56","1,676,812"
07/19/2021,"163.32","176.99","163.15","175.50","2,512,517"
07/16/2021,"168.51","169.83","164.65","167.36","1,158,813"
07/15/2021,"167.83","174.63","164.16","167.33","1,702,021"
07/14/2021,"177.39","178.31","169.10","169.33","1,591,784"
07/13/2021,"177.00","179.06","175.16","176.49","992,344"
07/12/2021,"182.21","183.42","176.00","177.18","1,157,835"
07/09/2021,"180.66","181.65","176.54","180.23","1,093,622"
07/08/2021,"174.98","181.00","174.37","178.56","1,783,355"
07/07/2021,"184.63","185.85","180.17","185.15","1,349,348"
07/06/2021,"183.16","183.99","178.22","182.77","1,957,738"
07/02/2021,"181.05","184.70","180.35","182.91","2,086,200"
07/01/2021,"179.36","182.66","177.15","180.59","2,570,540"
06/30/2021,"180.50","183.79","174.56","178.33","4,880,568"
06/29/2021,"177.25","184.28","175.07","183.91","3,571,699"
06/28/2021,"181.08","181.25","175.11","175.60","1,865,129"
06/25/2021,"176.03","180.94","174.09","176.72","7,038,497"
06/24/2021,"176.11","180.95","175.07","175.30","2,682,028"
06/23/2021,"176.64","177.52","169.41","174.03","2,747,611"
06/22/2021,"174.33","178.99","172.45","178.98","3,739,966"
06/21/2021,"167.50","177.50","163.53","173.21","6,461,837"
06/18/2021,"165.99","174.59","164.00","167.33","9,450,472"
06/17/2021,"159.21","165.01","158.58","164.52","4,158,217"
06/16/2021,"158.00","164.00","157.16","161.46","4,815,768"
06/15/2021,"158.00","160.10","155.30","158.65","2,588,249"
06/14/2021,"155.46","160.10","154.38","158.83","4,721,977"
06/11/2021,"145.65","154.35","145.04","154.16","4,386,140"
06/10/2021,"136.51","145.26","136.12","144.85","3,323,843"
06/09/2021,"137.59","141.26","135.66","136.98","3,055,518"
06/08/2021,"139.82","142.91","135.69","136.76","2,968,306"
06/07/2021,"146.47","154.15","134.12","142.50","9,575,702"
06/04/2021,"140.64","147.13","139.83","143.80","2,384,913"
06/03/2021,"149.89","150.46","138.31","139.11","2,980,517"
06/02/2021,"148.13","153.20","146.53","149.83","3,097,772"
06/01/2021,"152.20","154.95","147.34","149.27","2,208,704"
05/28/2021,"152.00","154.22","149.56","150.28","2,238,859"
05/27/2021,"142.30","155.50","140.17","152.82","5,996,630"
05/26/2021,"138.73","145.23","136.38","141.86","3,151,361"
05/25/2021,"140.11","141.48","135.68","136.27","2,812,628"
05/24/2021,"139.00","143.42","137.36","140.46","3,975,660"
05/21/2021,"136.77","138.85","135.44","137.57","3,250,174"
05/20/2021,"134.81","138.02","133.35","137.00","6,765,972"
05/19/2021,"130.36","140.73","130.01","140.20","5,588,707"
05/18/2021,"135.50","143.85","133.09","138.56","10,724,430"
05/17/2021,"138.91","140.69","130.71","133.79","5,192,376"
05/14/2021,"125.00","146.63","123.57","141.07","15,264,690"
05/13/2021,"114.05","118.72","110.13","115.49","6,869,498"
05/12/2021,"119.52","120.17","112.05","112.99","4,433,729"
05/11/2021,"115.46","125.50","114.69","124.54","2,724,223"
05/10/2021,"124.90","125.09","118.56","120.45","2,277,694"
05/07/2021,"126.49","129.49","122.55","124.89","1,887,545"
05/06/2021,"127.88","131.11","120.05","122.77","3,114,933"
05/05/2021,"134.00","134.63","124.93","128.39","2,786,433"
05/04/2021,"137.31","138.03","129.59","135.22","2,092,434"
05/03/2021,"142.85","146.43","139.53","140.47","1,412,631"
04/30/2021,"148.31","150.63","142.13","143.17","1,806,769"
04/29/2021,"164.04","164.04","144.13","150.11","4,109,858"
04/28/2021,"160.01","167.23","158.40","162.45","1,621,907"
04/27/2021,"156.55","164.67","154.90","162.13","3,095,819"
04/26/2021,"153.20","157.34","150.44","153.80","1,563,945"
04/23/2021,"145.06","153.17","144.01","152.75","2,088,693"
04/22/2021,"144.90","149.50","142.21","143.96","991,427"
04/21/2021,"143.74","143.74","139.06","143.32","1,169,047"
04/20/2021,"146.72","148.81","142.25","144.35","1,647,738"
04/19/2021,"142.46","150.34","142.31","146.67","2,246,065"
04/16/2021,"151.29","151.29","148.25","149.49","921,278"
04/15/2021,"145.00","154.88","144.87","151.50","3,338,725"
04/14/2021,"150.01","153.28","143.11","143.65","2,235,075"
04/13/2021,"146.84","150.36","143.55","149.46","2,823,477"
