Date,Open,High,Low,Close,Volume
08/20/2021,"24.43","25.26","24.38","25.22","56,471"
08/19/2021,"23.51","25.23","23.51","24.67","106,429"
08/18/2021,"24.75","24.99","23.63","23.90","223,688"
08/17/2021,"24.50","25.00","23.86","24.75","145,786"
08/16/2021,"24.71","24.98","23.61","24.65","76,122"
08/13/2021,"23.00","25.00","22.31","24.54","100,211"
08/12/2021,"22.40","23.37","22.16","23.06","63,657"
08/11/2021,"25.61","25.73","21.03","22.15","133,298"
08/10/2021,"26.34","26.95","25.61","25.67","85,652"
08/09/2021,"26.95","27.33","25.64","26.55","75,491"
08/06/2021,"26.00","27.20","26.00","26.88","71,769"
08/05/2021,"24.50","26.06","24.50","25.51","35,955"
08/04/2021,"24.90","25.35","22.41","24.50","65,130"
08/03/2021,"24.32","25.32","23.71","24.85","104,543"
08/02/2021,"23.94","24.56","22.85","23.91","78,117"
07/30/2021,"23.04","24.18","23.01","23.72","68,330"
07/29/2021,"22.15","23.50","21.98","23.28","43,146"
07/28/2021,"23.08","23.13","21.70","21.70","43,612"
07/27/2021,"23.10","23.64","22.20","22.58","85,066"
07/26/2021,"22.34","23.21","21.87","22.88","52,969"
07/23/2021,"22.09","22.70","21.87","22.63","49,217"
07/22/2021,"21.17","22.86","21.17","22.46","42,919"
07/21/2021,"21.63","21.63","21.25","21.57","18,636"
07/20/2021,"21.25","21.73","21.10","21.28","25,031"
07/19/2021,"20.00","21.52","20.00","21.31","64,761"
07/16/2021,"20.29","20.86","20.00","20.26","46,588"
07/15/2021,"20.76","20.76","19.76","20.00","97,701"
07/14/2021,"21.20","21.47","20.18","20.48","48,256"
07/13/2021,"21.20","21.66","20.48","20.85","81,333"
07/12/2021,"21.75","22.08","20.00","20.93","84,737"
07/09/2021,"20.14","21.75","20.09","21.75","41,550"
07/08/2021,"20.71","20.99","20.00","20.14","134,147"
07/07/2021,"22.40","23.16","20.78","21.10","103,035"
07/06/2021,"22.80","23.92","22.14","22.14","39,841"
07/02/2021,"23.17","24.29","22.72","22.85","88,019"
07/01/2021,"22.81","24.47","22.50","23.17","72,867"
06/30/2021,"22.36","23.50","22.25","22.77","129,743"
06/29/2021,"21.54","22.72","21.35","22.21","243,003"
06/28/2021,"20.17","21.30","19.85","20.17","17,929"
06/25/2021,"20.07","20.83","19.89","20.05","34,054"
06/24/2021,"20.52","20.68","19.72","20.14","25,789"
06/23/2021,"20.81","22.63","19.99","20.23","34,318"
06/22/2021,"21.60","21.73","19.88","20.35","62,896"
06/21/2021,"21.90","22.60","21.11","21.25","74,136"
06/18/2021,"19.51","21.78","19.07","21.00","113,529"
06/17/2021,"19.18","19.93","19.09","19.46","36,297"
06/16/2021,"19.76","20.69","18.96","19.23","73,757"
06/15/2021,"20.92","21.03","19.80","20.02","7,542"
06/14/2021,"20.05","21.41","20.05","20.50","17,338"
06/11/2021,"20.40","21.21","20.39","20.84","22,778"
06/10/2021,"20.65","21.11","20.00","20.52","141,540"
06/09/2021,"20.32","20.99","19.72","20.63","88,168"
06/08/2021,"19.91","20.60","19.50","20.44","81,891"
06/07/2021,"18.82","20.02","18.69","19.78","178,294"
06/04/2021,"18.43","19.50","18.08","19.01","280,812"
06/03/2021,"22.17","24.39","17.19","19.00","1,015,392"
06/02/2021,"21.67","23.17","21.45","22.17","386,549"
06/01/2021,"23.70","24.50","19.07","21.30","533,953"
05/28/2021,"24.12","27.04","22.43","23.69","412,936"
05/27/2021,"25.00","27.00","22.75","25.89","1,961,923"
