Date,Open,High,Low,Close,Volume
08/12/2021,"7.43","7.45","7.03","7.40","32,837"
08/11/2021,"6.97","7.49","6.84","7.46","76,880"
08/10/2021,"7.28","7.43","6.83","7.00","115,993"
08/09/2021,"7.47","7.74","6.92","7.24","41,847"
08/06/2021,"7.25","7.65","7.16","7.54","22,224"
08/05/2021,"7.20","7.49","7.07","7.35","44,096"
08/04/2021,"6.97","7.20","6.91","7.19","38,025"
08/03/2021,"7.27","7.27","7.00","7.07","25,404"
08/02/2021,"7.21","7.31","6.96","7.29","23,857"
07/30/2021,"7.09","7.48","7.06","7.14","68,728"
07/29/2021,"7.30","7.41","7.16","7.34","18,963"
07/28/2021,"7.06","7.36","6.93","7.21","26,179"
07/27/2021,"7.00","7.08","6.86","7.02","28,751"
07/26/2021,"7.00","7.10","6.89","7.00","19,146"
07/23/2021,"7.25","7.25","6.95","7.09","34,147"
07/22/2021,"7.11","7.30","7.10","7.13","65,584"
07/21/2021,"7.09","7.36","7.06","7.19","27,279"
07/20/2021,"7.05","7.10","6.61","7.03","37,130"
07/19/2021,"6.90","7.25","6.60","6.60","52,041"
07/16/2021,"6.87","7.37","6.78","7.05","41,026"
07/15/2021,"7.28","7.28","6.81","6.87","126,563"
07/14/2021,"7.21","7.55","7.21","7.37","91,276"
07/13/2021,"7.58","7.87","7.15","7.17","210,278"
07/12/2021,"7.54","7.90","7.54","7.74","135,890"
07/09/2021,"7.59","7.78","7.14","7.46","155,997"
07/08/2021,"7.61","7.74","7.30","7.45","101,295"
07/07/2021,"8.78","8.88","7.55","7.64","470,219"
07/06/2021,"9.20","9.75","8.45","8.63","318,699"
07/02/2021,"8.59","9.40","8.46","9.04","474,863"
07/01/2021,"8.64","8.66","8.28","8.45","73,517"
06/30/2021,"9.01","9.06","8.30","8.60","146,919"
06/29/2021,"8.65","9.39","8.50","8.96","79,327"
06/28/2021,"8.25","8.85","8.02","8.76","105,102"
06/25/2021,"7.73","8.34","7.73","8.24","872,649"
06/24/2021,"8.23","8.35","7.68","7.77","82,762"
06/23/2021,"8.12","8.39","7.75","8.06","99,677"
06/22/2021,"8.00","8.25","7.82","8.11","95,989"
06/21/2021,"7.90","8.34","7.70","8.03","140,919"
06/18/2021,"8.13","8.85","7.73","7.96","134,846"
06/17/2021,"8.72","9.37","7.96","8.27","154,149"
06/16/2021,"8.37","9.01","8.23","8.80","149,776"
