Date,Open,High,Low,Close,Volume
08/12/2021,"44.98","45.02","44.01","44.36","209,751"
08/11/2021,"43.62","44.90","43.23","44.90","383,305"
08/10/2021,"44.56","44.83","43.11","43.39","375,683"
08/09/2021,"43.79","44.40","43.14","44.31","199,666"
08/06/2021,"45.17","45.26","43.79","43.88","135,136"
08/05/2021,"44.75","45.27","44.39","45.01","298,429"
08/04/2021,"44.77","44.88","44.45","44.75","202,402"
08/03/2021,"44.71","44.84","43.79","44.68","238,337"
08/02/2021,"43.79","45.00","42.84","44.62","300,486"
07/30/2021,"44.21","44.75","43.71","43.93","517,705"
07/29/2021,"44.27","45.05","44.08","44.29","580,284"
07/28/2021,"44.49","44.87","43.91","44.34","331,634"
07/27/2021,"44.75","44.75","42.64","44.19","244,025"
07/26/2021,"44.64","45.39","44.00","44.65","365,703"
07/23/2021,"45.00","45.33","44.62","44.97","659,087"
07/22/2021,"45.00","46.01","44.63","45.00","993,526"
07/21/2021,"44.67","45.53","44.00","45.00","677,056"
07/20/2021,"43.94","45.00","43.39","44.66","407,983"
07/19/2021,"42.40","44.17","41.88","43.94","572,762"
07/16/2021,"42.32","43.56","41.80","43.10","704,180"
07/15/2021,"43.05","44.09","41.49","42.09","417,109"
07/14/2021,"43.75","44.28","42.21","43.21","912,588"
07/13/2021,"41.91","43.69","40.77","43.49","792,943"
07/12/2021,"40.18","41.15","39.36","40.72","432,551"
07/09/2021,"39.50","40.69","37.50","40.22","1,016,884"
07/08/2021,"42.05","42.41","40.76","41.21","507,925"
07/07/2021,"44.00","44.00","41.60","42.23","482,201"
07/06/2021,"43.23","43.83","42.57","43.60","187,390"
07/02/2021,"43.21","43.64","42.81","43.23","229,228"
07/01/2021,"42.76","43.62","42.18","42.89","300,381"
06/30/2021,"45.46","45.50","42.97","43.51","399,566"
06/29/2021,"44.04","45.34","43.55","45.10","491,685"
06/28/2021,"43.86","44.26","42.83","43.91","335,339"
06/25/2021,"42.90","44.11","42.37","43.81","1,629,367"
06/24/2021,"40.40","43.64","40.40","42.62","546,163"
06/23/2021,"40.68","40.96","38.89","39.95","852,883"
06/22/2021,"40.03","40.75","39.75","40.50","855,127"
06/21/2021,"40.46","40.90","39.64","40.28","654,964"
06/18/2021,"40.49","41.22","40.15","40.83","717,161"
06/17/2021,"39.35","41.01","39.07","40.70","252,422"
06/16/2021,"39.70","40.02","38.36","39.48","993,091"
06/15/2021,"40.73","41.02","39.08","39.40","895,491"
06/14/2021,"40.00","40.70","39.69","40.66","330,974"
06/11/2021,"39.00","40.11","38.52","40.05","549,623"
06/10/2021,"38.11","39.03","38.00","38.76","337,654"
06/09/2021,"39.29","39.76","38.25","38.25","314,926"
06/08/2021,"38.81","39.74","38.74","39.01","300,858"
06/07/2021,"39.61","39.61","38.33","38.40","391,219"
06/04/2021,"39.77","40.51","39.01","39.80","383,452"
06/03/2021,"39.23","39.93","38.75","39.53","284,008"
06/02/2021,"38.41","39.68","38.21","39.48","341,926"
06/01/2021,"39.43","39.88","38.22","38.72","288,780"
05/28/2021,"38.77","39.77","38.35","39.31","909,292"
05/27/2021,"40.24","40.49","37.80","38.58","1,471,575"
05/26/2021,"39.29","40.60","39.21","40.51","326,053"
05/25/2021,"38.79","39.65","38.66","39.25","248,881"
05/24/2021,"39.31","39.80","38.50","38.63","577,796"
05/21/2021,"38.59","39.24","38.23","39.08","266,463"
05/20/2021,"37.70","38.74","37.45","38.23","288,350"
05/19/2021,"35.86","37.46","35.60","37.35","390,939"
05/18/2021,"37.06","37.65","36.62","37.04","250,764"
05/17/2021,"36.64","37.01","35.70","36.76","490,498"
05/14/2021,"36.06","37.00","34.74","36.54","732,135"
05/13/2021,"37.07","37.60","33.91","35.22","913,356"
05/12/2021,"36.40","37.53","35.90","36.66","526,720"
05/11/2021,"36.56","38.15","36.23","37.03","573,904"
05/10/2021,"38.43","39.35","37.12","37.52","669,157"
05/07/2021,"38.47","39.48","38.26","38.57","395,574"
05/06/2021,"40.44","40.44","36.70","37.85","683,088"
05/05/2021,"40.96","41.26","39.65","40.77","413,025"
05/04/2021,"39.39","40.57","38.94","40.42","525,728"
05/03/2021,"41.68","41.95","39.70","40.08","417,180"
04/30/2021,"42.51","43.30","41.44","41.58","859,552"
04/29/2021,"43.79","43.79","42.10","42.71","394,260"
04/28/2021,"42.70","43.80","42.16","43.46","351,242"
04/27/2021,"44.14","44.43","42.82","43.03","827,926"
04/26/2021,"43.13","44.57","42.80","43.98","517,348"
04/23/2021,"43.12","43.58","42.48","43.02","338,564"
04/22/2021,"42.05","43.18","41.81","42.46","363,733"
04/21/2021,"42.36","42.42","41.06","42.12","788,916"
04/20/2021,"42.74","42.91","41.63","42.44","304,212"
04/19/2021,"44.46","44.99","42.78","42.90","350,028"
04/16/2021,"43.49","45.51","42.42","44.85","1,006,168"
04/15/2021,"43.95","44.24","43.07","43.74","939,061"
04/14/2021,"43.75","43.81","42.20","43.15","446,398"
04/13/2021,"42.74","43.86","42.21","43.60","755,707"
04/12/2021,"42.00","42.79","41.11","42.21","340,333"
04/09/2021,"42.67","42.93","41.02","42.15","644,439"
04/08/2021,"42.01","43.19","41.82","42.99","550,057"
04/07/2021,"43.53","43.95","41.63","41.66","511,387"
04/06/2021,"46.11","46.17","42.16","43.58","942,638"
04/05/2021,"45.63","45.63","43.80","44.60","741,620"
04/01/2021,"45.79","45.94","44.42","44.96","547,741"
03/31/2021,"43.35","45.53","43.05","45.14","483,487"
03/30/2021,"41.71","42.79","40.84","42.69","398,448"
03/29/2021,"43.51","43.68","41.72","42.14","449,321"
03/26/2021,"42.85","44.74","42.35","43.50","340,730"
03/25/2021,"42.16","42.92","40.63","42.82","386,881"
03/24/2021,"42.78","43.09","41.01","42.78","761,590"
03/23/2021,"44.06","45.58","42.03","42.65","1,129,855"
03/22/2021,"44.65","46.13","43.30","44.11","1,501,930"
03/19/2021,"43.18","44.61","42.40","43.86","3,319,618"
03/18/2021,"46.05","46.72","42.33","42.82","1,269,222"
03/17/2021,"44.32","47.99","43.60","46.64","1,527,937"
03/16/2021,"47.27","47.45","44.28","44.91","958,602"
03/15/2021,"46.30","47.19","45.44","46.78","629,443"
03/12/2021,"46.11","47.88","45.02","46.32","957,525"
03/11/2021,"46.62","48.09","46.00","47.00","1,637,194"
03/10/2021,"45.83","46.86","45.08","45.52","867,855"
03/09/2021,"43.49","46.25","43.49","45.27","827,041"
03/08/2021,"43.89","44.86","42.05","42.25","907,138"
03/05/2021,"44.81","44.81","40.78","43.48","1,083,151"
03/04/2021,"46.38","47.33","43.21","44.49","873,188"
03/03/2021,"49.04","49.44","46.27","46.74","631,922"
03/02/2021,"49.54","50.28","48.51","49.52","973,137"
