Date,Open,High,Low,Close,Volume
08/30/2021,"20.83","20.95","20.02","20.73","287,223"
08/27/2021,"20.62","20.72","19.74","20.49","288,682"
08/26/2021,"20.99","21.08","20.16","20.30","383,159"
08/25/2021,"21.52","21.59","20.64","20.89","377,668"
08/24/2021,"21.89","22.44","21.85","22.07","97,703"
08/23/2021,"21.88","22.12","21.65","21.80","83,992"
08/20/2021,"21.60","22.33","21.50","21.83","103,800"
08/19/2021,"20.95","21.97","20.59","21.54","92,479"
08/18/2021,"20.53","21.36","20.11","20.97","111,889"
08/17/2021,"20.88","20.88","20.07","20.47","114,501"
08/16/2021,"21.14","21.90","20.68","21.07","109,101"
08/13/2021,"21.58","22.31","20.95","21.04","366,280"
08/12/2021,"22.21","22.41","21.34","21.50","446,407"
08/11/2021,"22.77","22.89","22.26","22.28","212,952"
08/10/2021,"22.75","24.24","21.51","22.88","873,094"
08/09/2021,"24.80","24.90","24.12","24.41","88,766"
08/06/2021,"24.11","24.86","23.55","24.75","86,040"
08/05/2021,"23.51","24.69","23.51","23.92","77,127"
08/04/2021,"23.91","24.32","23.29","23.56","55,317"
08/03/2021,"24.16","24.39","23.38","23.95","63,195"
08/02/2021,"23.33","24.56","23.15","24.03","79,903"
07/30/2021,"23.77","24.22","22.56","23.15","158,775"
07/29/2021,"21.59","24.85","21.50","24.12","524,736"
07/28/2021,"21.77","22.10","20.56","20.98","98,464"
07/27/2021,"20.29","21.99","20.02","21.84","154,424"
07/26/2021,"21.54","21.65","20.32","20.43","67,269"
07/23/2021,"20.83","21.99","20.55","21.49","84,771"
07/22/2021,"20.81","21.12","20.19","20.76","58,709"
07/21/2021,"21.15","21.31","20.38","20.98","79,447"
07/20/2021,"19.73","21.37","19.65","21.06","134,010"
07/19/2021,"18.53","19.90","18.27","19.49","236,321"
07/16/2021,"18.95","19.46","18.52","18.64","150,036"
07/15/2021,"19.30","19.49","18.05","18.78","274,598"
07/14/2021,"19.32","19.78","19.11","19.58","504,633"
07/13/2021,"20.20","20.50","19.05","19.28","261,566"
07/12/2021,"20.80","20.83","20.20","20.32","85,717"
07/09/2021,"21.24","21.41","20.77","20.86","80,132"
07/08/2021,"20.64","21.23","20.30","21.05","154,748"
07/07/2021,"21.32","22.11","20.87","21.46","153,052"
07/06/2021,"23.10","23.10","21.21","21.50","190,574"
07/02/2021,"24.22","24.22","22.80","22.95","118,113"
07/01/2021,"24.45","24.50","23.64","24.07","192,733"
06/30/2021,"23.91","24.86","23.91","24.43","226,856"
06/29/2021,"23.27","24.12","23.27","23.98","171,963"
06/28/2021,"22.95","23.80","22.86","23.27","130,231"
06/25/2021,"23.47","23.63","22.91","22.98","200,092"
06/24/2021,"24.07","24.07","22.80","23.47","296,824"
06/23/2021,"24.63","24.76","23.90","24.03","182,348"
06/22/2021,"24.87","24.87","24.00","24.66","171,431"
06/21/2021,"24.96","24.98","23.78","24.84","206,878"
06/18/2021,"24.50","25.16","23.52","24.44","296,645"
06/17/2021,"23.93","25.42","23.84","24.73","506,125"
06/16/2021,"22.50","24.69","22.33","23.64","908,697"
06/15/2021,"23.52","23.56","22.35","22.79","280,163"
06/14/2021,"23.80","24.09","23.20","23.54","302,669"
06/11/2021,"24.62","24.65","23.01","23.56","338,659"
06/10/2021,"26.66","26.93","24.25","24.32","486,751"
06/09/2021,"31.55","31.55","26.83","26.93","362,472"
06/08/2021,"30.71","31.66","29.96","31.59","132,650"
06/07/2021,"33.52","34.04","30.87","31.09","211,615"
06/04/2021,"32.13","33.17","30.57","32.69","152,692"
06/03/2021,"32.67","33.80","31.51","31.89","144,472"
06/02/2021,"34.02","34.38","31.01","33.14","660,501"
06/01/2021,"32.41","36.60","32.41","34.00","429,791"
05/28/2021,"28.03","31.94","28.03","31.77","222,549"
05/27/2021,"28.62","28.88","27.26","28.07","197,987"
05/26/2021,"27.69","28.47","27.25","28.37","111,407"
05/25/2021,"28.31","28.89","27.13","27.36","95,026"
05/24/2021,"27.75","28.39","27.32","28.08","66,006"
05/21/2021,"27.97","28.00","27.21","27.60","87,318"
05/20/2021,"26.25","27.79","26.05","27.50","96,096"
05/19/2021,"25.86","26.31","25.06","26.15","83,606"
05/18/2021,"25.82","26.64","25.80","25.80","83,183"
05/17/2021,"26.01","26.25","25.09","25.80","75,654"
05/14/2021,"25.83","26.00","24.10","25.90","104,997"
05/13/2021,"25.56","27.06","24.59","25.48","152,610"
05/12/2021,"27.79","28.47","24.58","24.93","374,653"
05/11/2021,"27.65","28.83","27.08","27.95","163,498"
05/10/2021,"27.90","28.98","27.09","28.15","126,837"
05/07/2021,"26.46","27.73","26.40","27.54","66,407"
05/06/2021,"26.77","27.80","26.00","26.29","170,171"
05/05/2021,"26.24","27.67","25.63","26.96","128,719"
05/04/2021,"26.09","26.27","25.25","26.11","52,186"
05/03/2021,"25.41","26.45","25.03","26.08","85,915"
04/30/2021,"25.72","26.20","24.95","25.28","111,118"
04/29/2021,"25.66","26.63","25.46","25.94","56,814"
04/28/2021,"25.28","26.77","25.28","25.79","87,495"
04/27/2021,"24.79","25.87","24.34","25.25","98,308"
04/26/2021,"23.75","24.80","23.75","24.66","95,182"
04/23/2021,"23.45","24.18","23.39","23.89","129,690"
04/22/2021,"23.16","23.60","22.89","23.30","78,584"
04/21/2021,"22.09","23.27","22.05","23.03","105,397"
04/20/2021,"22.47","22.53","21.62","22.14","89,009"
04/19/2021,"23.24","23.97","22.38","22.53","42,351"
04/16/2021,"23.00","23.81","22.50","23.26","130,744"
04/15/2021,"24.15","24.23","23.00","23.16","86,742"
04/14/2021,"23.60","24.31","23.60","23.95","102,068"
04/13/2021,"24.02","24.02","23.19","23.60","67,642"
04/12/2021,"23.73","24.20","23.50","23.96","42,092"
04/09/2021,"23.15","24.35","23.02","23.90","78,896"
04/08/2021,"23.61","24.26","23.17","23.45","53,529"
04/07/2021,"24.60","24.61","23.50","23.78","113,522"
04/06/2021,"25.13","25.42","24.29","24.60","113,341"
04/05/2021,"25.09","25.46","24.56","24.91","53,546"
04/01/2021,"24.27","24.98","23.94","24.94","102,333"
03/31/2021,"23.97","24.80","23.51","24.07","124,919"
03/30/2021,"22.46","24.16","22.03","23.49","122,117"
03/29/2021,"23.20","23.65","22.00","22.58","103,481"
03/26/2021,"22.14","23.53","21.89","23.24","114,907"
03/25/2021,"22.18","22.77","21.14","21.88","126,890"
03/24/2021,"22.27","23.33","21.82","22.00","113,081"
03/23/2021,"22.77","22.98","22.00","22.16","204,957"
03/22/2021,"22.62","23.40","22.33","22.77","316,655"
03/19/2021,"22.70","23.24","22.00","22.19","660,310"
03/18/2021,"25.01","25.01","22.33","22.76","195,283"
03/17/2021,"25.90","26.23","23.85","25.03","300,623"
03/16/2021,"27.07","28.50","25.74","25.76","169,504"
03/15/2021,"26.81","27.00","26.29","26.97","112,108"
03/12/2021,"26.00","27.00","25.00","26.50","104,181"
03/11/2021,"25.44","26.91","25.03","26.08","178,928"
03/10/2021,"23.83","25.20","23.54","25.06","253,785"
03/09/2021,"22.99","23.84","22.40","23.62","140,631"
03/08/2021,"21.87","22.98","21.65","22.17","146,935"
03/05/2021,"23.15","23.23","20.15","21.56","377,095"
03/04/2021,"23.07","23.57","22.61","23.20","198,707"
03/03/2021,"23.22","23.94","22.77","23.24","87,679"
03/02/2021,"22.30","23.48","22.07","23.22","161,665"
03/01/2021,"23.66","24.18","21.68","22.36","378,369"
02/26/2021,"23.50","24.50","22.75","23.43","156,537"
02/25/2021,"24.97","25.90","23.36","23.91","182,759"
02/24/2021,"24.43","25.77","23.75","25.17","125,866"
02/23/2021,"24.39","24.72","22.95","24.61","176,715"
02/22/2021,"26.38","26.75","24.50","25.08","142,634"
02/19/2021,"25.82","27.21","25.63","26.51","132,609"
02/18/2021,"25.51","26.75","25.41","25.79","130,114"
02/17/2021,"24.51","27.49","24.47","26.14","229,723"
02/16/2021,"28.05","28.08","23.73","24.90","561,503"
02/12/2021,"28.61","29.62","28.20","28.86","224,586"
02/11/2021,"29.50","30.66","28.42","28.96","182,417"
02/10/2021,"29.80","30.04","28.56","29.57","123,251"
02/09/2021,"29.26","29.99","28.20","29.80","198,168"
02/08/2021,"31.67","31.70","29.80","29.91","238,768"
02/05/2021,"27.74","31.98","27.66","29.91","503,935"
02/04/2021,"26.20","28.93","26.20","27.60","356,365"
02/03/2021,"24.81","26.20","24.50","26.00","253,274"
02/02/2021,"26.00","26.50","24.55","24.65","276,569"
02/01/2021,"23.89","26.44","23.50","25.94","549,114"
01/29/2021,"20.94","24.00","20.10","23.15","852,771"
01/28/2021,"22.25","23.18","20.50","20.60","445,216"
01/27/2021,"22.55","24.59","21.71","22.48","1,231,190"
01/26/2021,"21.25","23.72","20.87","23.06","802,173"
01/25/2021,"22.25","22.25","20.29","21.50","1,086,504"
01/22/2021,"20.05","26.00","19.50","21.39","2,482,591"
01/21/2021,"19.51","21.49","17.55","20.95","6,091,833"
