Date,Open,High,Low,Close,Volume
08/30/2021,"9.75","9.80","9.75","9.79","12,982"
08/27/2021,"9.76","9.80","9.75","9.80","2,123"
08/26/2021,"9.71","9.79","9.71","9.75","271,845"
08/25/2021,"9.77","9.80","9.76","9.78","2,513"
08/24/2021,"9.78","9.80","9.71","9.78","1,665,774"
08/23/2021,"9.79","9.79","9.75","9.78","11,623"
08/18/2021,"9.81","9.81","9.81","9.81","51"
08/17/2021,"9.76","9.85","9.75","9.81","2,175"
08/16/2021,"9.76","9.80","9.76","9.80","644"
08/13/2021,"9.85","9.85","9.85","9.85","144"
08/12/2021,"9.80","9.85","9.80","9.85","12,807"
08/11/2021,"9.79","9.79","9.79","9.79","177"
08/10/2021,"9.73","9.80","9.73","9.74","23,862"
08/09/2021,"9.78","9.80","9.75","9.77","31,030"
08/06/2021,"9.80","9.80","9.70","9.79","32,338"
08/05/2021,"9.86","9.86","9.79","9.80","69,550"
08/04/2021,"9.86","9.91","9.81","9.90","3,296"
08/03/2021,"9.88","9.92","9.85","9.92","12,011"
08/02/2021,"9.88","9.92","9.85","9.92","77,009"
07/30/2021,"9.85","9.88","9.85","9.88","16,579"
07/29/2021,"9.85","9.86","9.85","9.85","6,847"
07/28/2021,"9.85","9.85","9.85","9.85","758"
07/27/2021,"9.86","9.89","9.85","9.89","3,754"
07/26/2021,"9.91","9.91","9.90","9.90","1,788"
07/23/2021,"9.90","9.90","9.87","9.90","8,701"
07/22/2021,"9.90","9.91","9.90","9.91","1,651"
07/21/2021,"9.95","9.95","9.85","9.90","1,401"
07/20/2021,"9.90","9.99","9.90","9.95","48,158"
07/19/2021,"10.00","10.00","9.83","9.92","59,154"
07/16/2021,"9.99","10.01","9.95","10.00","5,793"
07/15/2021,"10.00","10.00","9.99","10.00","7,533"
07/14/2021,"10.00","10.01","9.99","9.99","17,447"
07/13/2021,"10.03","10.03","10.00","10.00","764"
07/12/2021,"10.00","10.03","10.00","10.00","29,726"
07/09/2021,"10.03","10.03","10.00","10.00","13,210"
07/08/2021,"10.00","10.00","9.99","9.99","23,071"
07/07/2021,"10.00","10.01","10.00","10.00","205,285"
07/06/2021,"10.03","10.03","10.03","10.03","334"
07/02/2021,"10.00","10.03","10.00","10.00","56,708"
07/01/2021,"10.01","10.06","10.00","10.03","269,033"
06/30/2021,"10.03","10.03","10.00","10.00","125,776"
06/29/2021,"10.02","10.03","10.01","10.03","16,527"
06/28/2021,"10.01","10.05","10.00","10.01","40,755"
06/25/2021,"10.03","10.06","10.01","10.02","34,440"
06/24/2021,"10.03","10.08","10.03","10.03","172,622"
06/23/2021,"10.03","10.03","10.03","10.03","681"
06/22/2021,"10.05","10.05","10.01","10.05","11,828"
06/21/2021,"10.23","10.23","10.01","10.05","9,384"
06/18/2021,"10.02","10.58","10.01","10.58","536,890"
06/17/2021,"10.06","10.10","10.03","10.03","378,220"
06/16/2021,"10.09","10.14","10.06","10.06","343,016"
06/15/2021,"10.00","10.10","10.00","10.10","440,516"
06/14/2021,"10.03","10.06","10.00","10.02","27,649"
06/11/2021,"10.04","10.06","10.04","10.05","12,306"
06/10/2021,"10.06","10.07","10.02","10.03","47,572"
06/09/2021,"10.05","10.09","10.01","10.05","589,646"
06/08/2021,"10.01","10.10","10.00","10.01","130,168"
06/07/2021,"9.98","10.05","9.96","10.04","1,789,346"
06/04/2021,"9.98","10.00","9.93","9.94","6,778"
06/03/2021,"10.00","10.00","10.00","10.00","100,223"
06/02/2021,"10.01","10.03","10.00","10.01","255,975"
06/01/2021,"10.03","10.06","10.01","10.03","259,521"
05/28/2021,"10.02","10.05","10.02","10.05","3,063"
05/27/2021,"10.09","10.09","9.98","10.00","7,261"
05/26/2021,"10.07","10.07","10.00","10.00","122,124"
05/25/2021,"10.06","10.14","10.02","10.03","127,807"
05/24/2021,"10.01","10.03","10.01","10.03","563"
05/21/2021,"10.02","10.04","10.00","10.00","115,642"
05/20/2021,"10.05","10.06","10.02","10.02","1,225"
05/19/2021,"10.01","10.04","9.99","10.01","112,851"
05/18/2021,"10.00","10.00","9.98","9.99","10,201"
05/17/2021,"9.98","10.00","9.98","10.00","30,480"
05/14/2021,"10.05","10.08","9.99","10.00","202,058"
05/13/2021,"10.08","10.10","10.05","10.05","90,926"
05/12/2021,"10.10","10.15","10.06","10.10","127,022"
05/11/2021,"10.10","10.10","10.07","10.07","197,954"
05/10/2021,"10.08","10.10","10.08","10.10","126,108"
05/07/2021,"10.10","10.10","10.10","10.10","51,586"
05/06/2021,"10.08","10.17","10.08","10.13","280,013"
05/05/2021,"10.20","10.20","10.06","10.11","68,887"
05/04/2021,"10.10","10.16","10.09","10.11","66,756"
05/03/2021,"10.30","10.30","10.06","10.08","102,417"
04/30/2021,"10.17","10.35","10.17","10.30","10,958"
04/29/2021,"10.33","10.40","10.31","10.35","35,523"
04/28/2021,"10.23","10.35","10.12","10.35","1,933"
04/27/2021,"10.17","10.36","10.15","10.36","23,679"
04/26/2021,"10.14","10.16","10.12","10.14","5,356"
04/23/2021,"10.05","10.15","10.05","10.14","946"
04/22/2021,"10.06","10.13","10.06","10.13","21,096"
04/21/2021,"10.02","10.16","10.00","10.16","178,843"
04/20/2021,"10.06","10.07","10.00","10.05","45,167"
04/19/2021,"10.20","10.20","10.05","10.11","18,892"
04/16/2021,"10.13","10.26","10.12","10.14","20,591"
04/15/2021,"10.24","10.29","10.19","10.29","1,039"
04/14/2021,"10.12","10.25","10.12","10.20","17,989"
04/13/2021,"10.15","10.20","10.12","10.16","109,770"
04/12/2021,"10.25","10.30","10.05","10.05","68,396"
04/09/2021,"10.32","10.36","10.25","10.26","74,669"
04/08/2021,"10.32","10.40","10.25","10.36","65,669"
04/07/2021,"10.34","10.34","10.30","10.31","46,662"
04/06/2021,"10.25","10.40","10.14","10.34","9,706"
04/05/2021,"10.17","10.48","10.11","10.25","94,841"
04/01/2021,"10.16","10.20","10.11","10.17","101,402"
03/31/2021,"10.11","10.13","10.10","10.11","14,218"
03/30/2021,"10.20","10.20","10.05","10.08","160,578"
03/29/2021,"10.04","10.42","10.04","10.35","134,701"
03/26/2021,"10.02","10.88","10.00","10.10","1,000,284"
03/25/2021,"10.00","10.03","10.00","10.01","2,550,194"
03/24/2021,"10.00","10.06","10.00","10.01","1,426,132"
03/23/2021,"10.02","10.10","10.00","10.00","13,090,420"
