Date,Open,High,Low,Close,Volume
08/12/2021,"8.85","8.98","8.67","8.81","10,042,900"
08/11/2021,"9.29","9.30","8.83","8.83","14,791,920"
08/10/2021,"9.43","9.64","9.16","9.17","12,433,580"
08/09/2021,"9.30","9.80","9.15","9.54","15,657,920"
08/06/2021,"9.70","9.77","9.28","9.31","18,211,910"
08/05/2021,"9.53","9.56","9.28","9.33","15,918,870"
08/04/2021,"9.85","10.19","9.70","9.72","12,907,280"
08/03/2021,"10.01","10.19","9.65","10.08","22,022,949"
08/02/2021,"9.82","10.45","9.75","10.38","22,225,619"
07/30/2021,"9.75","10.36","9.41","10.31","44,403,406"
07/29/2021,"10.50","10.61","9.11","9.86","123,385,602"
07/28/2021,"8.50","9.25","8.25","8.87","70,124,156"
07/27/2021,"8.03","8.24","7.45","8.04","57,732,473"
07/26/2021,"7.18","8.75","7.16","8.04","72,846,328"
07/23/2021,"8.98","9.02","7.93","8.06","136,944,891"
07/22/2021,"10.86","10.86","10.17","10.20","59,685,152"
07/21/2021,"11.18","11.64","11.03","11.50","15,378,120"
07/20/2021,"11.16","11.38","10.69","11.21","21,612,109"
07/19/2021,"11.54","11.62","11.03","11.06","37,720,441"
07/16/2021,"11.86","12.36","11.77","11.97","28,660,859"
07/15/2021,"12.70","13.42","12.17","12.36","38,321,922"
07/14/2021,"12.51","13.35","11.97","12.62","99,346,828"
07/13/2021,"11.32","12.43","11.22","12.42","64,419,688"
07/12/2021,"11.73","11.97","11.12","11.16","46,070,473"
07/09/2021,"11.79","12.25","11.06","12.03","109,024,000"
07/08/2021,"11.18","11.48","11.00","11.21","77,653,430"
07/07/2021,"11.99","12.18","11.50","11.91","135,249,406"
07/06/2021,"11.78","12.63","11.58","12.49","225,560,297"
07/02/2021,"14.96","15.83","14.60","15.53","101,314,492"
07/01/2021,"15.60","16.90","15.00","16.40","150,901,906"
06/30/2021,"16.65","18.01","14.10","14.14","288,155,500"
