Date,Open,High,Low,Close,Volume
08/20/2021,"9.84","9.84","9.75","9.80","341,381"
08/19/2021,"9.76","9.85","9.76","9.84","117,196"
08/18/2021,"9.84","9.85","9.80","9.85","23,887"
08/17/2021,"9.81","9.84","9.81","9.84","16,377"
08/16/2021,"9.81","9.85","9.80","9.84","28,958"
08/13/2021,"9.83","9.84","9.80","9.83","14,516"
08/12/2021,"9.84","9.85","9.82","9.85","2,603"
08/11/2021,"9.83","9.85","9.81","9.83","11,333"
08/10/2021,"9.83","9.85","9.82","9.83","36,351"
08/09/2021,"9.87","9.87","9.80","9.84","659,176"
08/06/2021,"9.83","9.86","9.80","9.84","155,417"
08/05/2021,"9.88","9.88","9.83","9.87","22,736"
08/04/2021,"9.85","9.89","9.82","9.87","336,613"
08/03/2021,"9.84","9.87","9.84","9.87","18,543"
08/02/2021,"9.88","9.90","9.85","9.85","79,993"
07/30/2021,"9.87","9.89","9.85","9.85","12,544"
07/29/2021,"9.88","9.89","9.84","9.85","36,879"
07/28/2021,"9.88","9.89","9.82","9.85","61,840"
07/27/2021,"9.88","9.89","9.84","9.86","69,459"
07/26/2021,"9.93","9.93","9.84","9.88","222,646"
07/23/2021,"9.94","9.94","9.89","9.94","22,917"
07/22/2021,"9.91","9.96","9.87","9.96","41,089"
07/21/2021,"9.87","9.95","9.86","9.90","8,739"
07/20/2021,"9.93","9.95","9.86","9.86","80,046"
07/19/2021,"9.92","9.96","9.84","9.90","64,965"
07/16/2021,"10.03","10.03","9.91","9.94","39,722"
07/15/2021,"9.99","10.03","9.98","9.99","695,958"
07/14/2021,"10.03","10.04","9.99","10.00","30,203"
07/13/2021,"9.99","10.04","9.99","10.00","69,734"
07/12/2021,"10.02","10.04","9.99","10.01","443,731"
07/09/2021,"10.04","10.04","9.99","9.99","171,284"
07/08/2021,"10.01","10.04","9.99","10.00","55,892"
07/07/2021,"10.04","10.04","9.99","10.00","205,180"
07/06/2021,"10.10","10.12","10.03","10.04","174,120"
07/02/2021,"10.10","10.10","10.03","10.04","225,845"
07/01/2021,"10.10","10.10","10.01","10.01","429,698"
06/30/2021,"10.10","10.15","10.01","10.11","3,815,870"
