Date,Open,High,Low,Close,Volume
08/12/2021,"9.82","9.84","9.80","9.83","8,150"
08/11/2021,"9.83","9.84","9.80","9.84","4,918"
08/10/2021,"9.85","9.85","9.78","9.80","2,093"
08/09/2021,"9.86","9.86","9.80","9.82","469,698"
08/06/2021,"9.84","9.85","9.79","9.80","52,023"
08/05/2021,"9.85","9.88","9.81","9.85","22,481"
08/04/2021,"9.89","9.89","9.83","9.85","460,310"
08/03/2021,"9.89","9.90","9.85","9.89","18,519"
08/02/2021,"9.83","9.90","9.83","9.88","62,049"
07/30/2021,"9.88","9.88","9.83","9.83","29,063"
07/29/2021,"9.85","9.88","9.84","9.84","94,042"
07/28/2021,"9.87","9.89","9.82","9.85","45,260"
07/27/2021,"9.85","9.86","9.80","9.85","105,968"
07/26/2021,"9.90","9.90","9.84","9.85","109,993"
07/23/2021,"9.90","9.91","9.88","9.90","57,184"
07/22/2021,"9.88","9.93","9.88","9.89","29,082"
07/21/2021,"9.88","9.93","9.88","9.92","3,642"
07/20/2021,"9.92","9.93","9.89","9.90","59,024"
07/19/2021,"9.90","9.94","9.83","9.86","20,045"
07/16/2021,"10.04","10.05","9.92","9.92","66,864"
07/15/2021,"10.02","10.04","9.98","10.00","801,090"
07/14/2021,"10.01","10.02","9.98","10.02","129,262"
07/13/2021,"9.99","10.01","9.97","9.97","119,681"
07/12/2021,"10.01","10.02","9.99","10.00","94,284"
07/09/2021,"10.00","10.02","9.99","9.99","253,780"
07/08/2021,"10.00","10.00","9.98","9.99","31,676"
07/07/2021,"10.10","10.10","9.99","9.99","327,440"
07/06/2021,"10.10","10.10","10.03","10.04","368,204"
07/02/2021,"10.10","10.10","10.02","10.05","183,091"
07/01/2021,"10.15","10.15","10.01","10.02","483,947"
06/30/2021,"10.00","10.19","9.96","10.10","3,815,338"
