Date,Open,High,Low,Close,Volume
08/12/2021,"13.59","13.89","12.40","12.49","147,058"
08/11/2021,"14.89","14.95","13.30","13.60","117,383"
08/10/2021,"15.18","15.78","14.52","14.55","148,398"
08/09/2021,"15.44","15.88","14.93","14.97","181,813"
08/06/2021,"15.53","15.85","15.35","15.60","27,577"
08/05/2021,"15.52","15.90","14.88","15.47","127,318"
08/04/2021,"15.85","15.85","14.69","15.32","171,215"
08/03/2021,"15.21","15.91","14.87","15.82","110,830"
08/02/2021,"16.06","16.62","15.05","15.49","139,580"
07/30/2021,"15.60","16.31","15.11","15.79","91,966"
07/29/2021,"15.50","15.90","15.46","15.60","79,485"
07/28/2021,"16.20","16.50","15.10","15.49","106,394"
07/27/2021,"17.00","17.78","15.98","16.20","65,359"
07/26/2021,"16.74","17.54","16.60","17.07","28,184"
07/23/2021,"17.66","18.45","16.50","16.83","121,010"
07/22/2021,"17.01","17.99","17.00","17.30","91,487"
07/21/2021,"17.52","18.43","16.50","16.87","173,542"
07/20/2021,"16.34","16.95","15.70","15.85","222,966"
07/19/2021,"14.85","15.68","14.30","15.00","55,310"
07/16/2021,"15.03","15.90","14.76","15.16","46,173"
07/15/2021,"14.25","15.32","14.25","15.10","84,892"
07/14/2021,"15.28","15.47","13.65","14.59","282,166"
07/13/2021,"17.36","17.86","14.65","15.26","268,236"
07/12/2021,"17.10","17.28","16.52","16.57","123,434"
07/09/2021,"17.70","18.06","16.50","17.33","78,954"
07/08/2021,"17.98","18.45","17.15","17.16","107,436"
07/07/2021,"18.98","19.17","18.01","18.39","55,112"
07/06/2021,"19.73","19.73","18.25","18.60","68,124"
07/02/2021,"19.37","20.54","18.92","19.88","51,161"
07/01/2021,"21.57","21.57","18.95","19.15","171,487"
06/30/2021,"19.36","25.70","18.06","22.00","334,169"
06/29/2021,"19.00","20.22","18.50","19.99","249,499"
06/28/2021,"17.54","19.56","17.54","18.45","89,506"
06/25/2021,"19.56","19.99","17.50","17.76","162,361"
06/24/2021,"20.40","20.89","18.00","19.40","205,159"
06/23/2021,"20.90","21.09","19.61","20.25","384,131"
06/22/2021,"19.50","20.99","18.89","20.46","161,867"
06/21/2021,"18.60","20.44","18.50","19.94","379,913"
06/18/2021,"20.00","21.75","17.13","18.50","3,906,822"
