Date,Open,High,Low,Close,Volume
08/11/2021,"56.77","57.97","55.74","55.85","1,245,057"
08/10/2021,"53.51","57.79","52.53","57.63","3,271,534"
08/09/2021,"53.00","54.01","51.54","53.34","5,589,172"
08/06/2021,"59.41","59.44","53.70","54.00","3,094,933"
08/05/2021,"57.50","58.29","52.73","57.44","4,738,993"
08/04/2021,"59.60","63.10","57.91","58.80","2,857,948"
08/03/2021,"55.76","63.48","55.34","60.71","4,254,045"
08/02/2021,"52.43","59.37","51.64","56.65","6,611,530"
07/30/2021,"51.00","53.80","50.75","51.50","816,792"
07/29/2021,"53.89","54.39","51.55","51.66","794,274"
07/28/2021,"53.21","55.52","52.20","53.27","963,462"
07/27/2021,"55.00","55.05","50.60","52.79","461,501"
07/26/2021,"55.00","55.97","53.75","54.52","397,233"
07/23/2021,"54.46","56.31","53.14","54.62","611,943"
07/22/2021,"53.38","55.39","52.07","52.97","506,145"
07/21/2021,"51.19","53.97","50.96","52.67","543,211"
07/20/2021,"51.30","51.76","49.15","51.58","430,048"
07/19/2021,"48.55","51.82","47.09","51.29","816,465"
07/16/2021,"48.71","49.35","47.82","48.52","556,187"
07/15/2021,"50.54","50.54","45.80","47.45","795,952"
07/14/2021,"55.05","55.05","50.30","50.93","468,411"
07/13/2021,"55.83","57.15","54.09","54.26","288,403"
07/12/2021,"58.51","58.65","54.80","55.77","460,324"
07/09/2021,"55.12","58.00","55.12","57.44","565,204"
07/08/2021,"53.41","54.89","51.77","54.82","282,516"
07/07/2021,"55.09","55.48","53.95","54.51","383,599"
07/06/2021,"55.97","56.08","53.50","54.44","314,484"
07/02/2021,"55.00","56.91","54.11","56.09","398,632"
07/01/2021,"55.05","55.61","53.34","53.81","637,601"
06/30/2021,"54.23","55.83","52.63","55.59","434,682"
06/29/2021,"55.65","56.08","53.68","54.82","579,006"
06/28/2021,"52.59","57.89","51.22","55.44","850,975"
06/25/2021,"50.33","52.72","49.76","51.22","2,239,487"
06/24/2021,"52.46","53.49","49.27","49.73","648,351"
06/23/2021,"52.34","55.87","51.52","52.04","945,272"
06/22/2021,"46.16","53.60","46.00","51.49","1,344,638"
06/21/2021,"47.40","47.74","45.72","46.16","272,986"
06/18/2021,"46.44","47.92","46.02","47.00","1,143,544"
06/17/2021,"46.23","48.40","45.57","46.28","338,258"
06/16/2021,"44.15","46.84","43.99","46.53","456,177"
06/15/2021,"43.24","44.37","42.25","43.96","286,118"
06/14/2021,"42.00","44.00","41.76","43.66","270,823"
06/11/2021,"41.50","41.50","40.49","41.37","128,537"
06/10/2021,"40.94","41.47","40.01","41.24","130,790"
06/09/2021,"40.50","41.48","40.02","40.64","178,932"
06/08/2021,"39.42","40.77","39.25","40.21","260,671"
06/07/2021,"39.97","39.97","38.65","38.92","150,135"
06/04/2021,"40.11","41.00","39.95","40.07","117,481"
06/03/2021,"41.12","41.18","39.83","40.02","90,087"
06/02/2021,"41.29","41.56","40.66","41.12","76,171"
06/01/2021,"41.86","41.86","40.26","41.18","101,510"
05/28/2021,"42.66","42.97","41.63","42.04","130,298"
05/27/2021,"42.89","43.15","42.38","42.68","329,781"
05/26/2021,"41.55","42.85","41.40","42.54","197,761"
05/25/2021,"41.75","42.15","41.24","41.90","224,173"
05/24/2021,"41.23","42.48","41.00","41.83","506,864"
05/21/2021,"43.09","43.22","42.09","42.97","240,226"
05/20/2021,"39.50","42.88","39.05","42.72","334,320"
05/19/2021,"36.65","39.49","36.01","39.05","201,229"
05/18/2021,"36.15","37.35","35.89","37.03","120,873"
05/17/2021,"37.45","37.79","35.62","36.27","153,873"
05/14/2021,"35.96","37.68","35.70","37.23","195,208"
05/13/2021,"37.87","38.00","35.35","35.43","252,708"
05/12/2021,"38.54","39.15","36.70","37.43","153,118"
05/11/2021,"38.00","38.76","37.47","38.32","405,426"
05/10/2021,"42.11","42.15","38.25","38.41","282,684"
05/07/2021,"43.20","44.63","42.19","42.30","247,498"
05/06/2021,"42.00","44.23","41.16","42.27","347,042"
05/05/2021,"43.36","44.84","43.36","44.80","176,145"
05/04/2021,"43.72","43.79","42.98","43.52","311,463"
05/03/2021,"43.62","44.22","43.00","43.46","124,685"
04/30/2021,"42.84","44.10","42.73","43.57","117,653"
04/29/2021,"43.94","44.24","40.65","43.08","570,494"
04/28/2021,"42.20","45.38","42.16","44.06","460,753"
04/27/2021,"43.30","44.40","42.80","43.06","455,401"
04/26/2021,"41.94","43.72","41.52","43.42","522,147"
04/23/2021,"42.27","43.75","40.11","41.40","825,367"
04/22/2021,"42.25","43.44","41.71","42.55","726,712"
04/21/2021,"41.41","42.20","40.44","41.63","505,874"
04/20/2021,"43.11","43.94","41.27","41.59","521,325"
04/19/2021,"45.50","45.79","42.50","42.96","478,720"
04/16/2021,"45.68","46.35","44.19","44.87","179,250"
04/15/2021,"44.12","46.18","43.75","44.96","660,709"
04/14/2021,"42.87","44.75","42.45","43.47","307,130"
04/13/2021,"40.93","43.77","40.93","43.33","383,498"
04/12/2021,"40.20","41.41","38.78","41.01","415,751"
04/09/2021,"40.00","41.80","40.00","40.21","184,961"
04/08/2021,"43.05","43.34","39.56","40.25","633,724"
04/07/2021,"44.25","44.50","42.26","42.70","499,147"
04/06/2021,"44.00","44.38","43.78","44.01","368,549"
04/05/2021,"44.25","45.49","42.51","43.77","276,521"
04/01/2021,"42.31","44.72","42.24","43.80","687,211"
03/31/2021,"40.00","42.84","39.74","42.13","660,149"
03/30/2021,"40.06","40.98","38.67","40.34","2,094,829"
03/29/2021,"41.91","44.01","39.86","40.06","1,519,254"
03/26/2021,"42.17","42.79","36.65","41.63","1,396,153"
03/25/2021,"42.36","45.00","39.50","41.76","1,896,070"
03/24/2021,"41.50","45.16","39.01","42.50","9,034,600"
