Date,Open,High,Low,Close,Volume
08/30/2021,"83.00","84.44","76.73","82.75","1,915,440"
08/27/2021,"82.15","83.95","75.90","82.53","2,887,123"
08/26/2021,"87.67","89.47","80.07","80.26","3,909,448"
08/25/2021,"89.54","95.97","87.25","92.05","2,362,751"
08/24/2021,"88.00","89.84","84.28","88.39","1,470,107"
08/23/2021,"78.79","87.62","78.05","87.15","2,440,020"
08/20/2021,"74.80","76.33","72.51","76.21","1,180,781"
08/19/2021,"77.44","77.60","73.62","74.31","1,187,014"
08/18/2021,"77.18","80.69","71.32","79.02","2,150,481"
08/17/2021,"78.50","84.87","74.50","75.87","3,267,255"
08/16/2021,"75.61","81.00","74.15","80.00","3,433,391"
08/13/2021,"76.47","80.00","73.33","76.01","5,487,095"
08/12/2021,"71.00","83.93","70.17","79.54","6,290,805"
08/11/2021,"60.03","70.67","60.03","70.41","4,642,876"
08/10/2021,"53.23","55.35","52.65","52.93","559,841"
08/09/2021,"52.37","54.45","52.28","53.55","404,865"
08/06/2021,"57.25","57.84","52.16","52.36","523,583"
08/05/2021,"56.55","57.46","54.59","56.81","518,873"
08/04/2021,"54.17","56.76","52.74","56.55","588,745"
08/03/2021,"59.00","59.99","53.51","54.16","666,604"
08/02/2021,"62.45","63.94","58.81","59.00","613,512"
07/30/2021,"59.03","63.35","58.00","61.90","1,022,043"
07/29/2021,"57.81","61.00","57.64","59.86","585,410"
07/28/2021,"60.26","61.04","56.14","57.97","856,323"
07/27/2021,"66.50","66.94","56.13","59.43","1,878,313"
07/26/2021,"61.68","68.71","61.68","66.50","1,603,446"
07/23/2021,"60.06","62.83","59.21","60.97","1,037,746"
07/22/2021,"56.98","62.73","56.81","59.91","1,315,203"
07/21/2021,"54.65","56.30","53.95","55.69","414,285"
07/20/2021,"56.70","56.80","53.65","54.67","553,402"
07/19/2021,"52.97","58.25","52.21","56.70","966,590"
07/16/2021,"53.49","54.40","50.80","54.35","633,402"
07/15/2021,"49.49","53.42","49.11","52.91","1,091,656"
07/14/2021,"49.58","50.49","48.30","49.76","940,828"
07/13/2021,"51.00","51.02","49.81","50.24","465,804"
07/12/2021,"52.29","53.50","49.40","51.08","816,629"
07/09/2021,"48.62","53.99","48.62","52.74","1,175,098"
07/08/2021,"47.33","48.99","46.86","48.32","723,583"
07/07/2021,"47.19","49.62","47.10","49.16","900,110"
07/06/2021,"49.88","50.01","44.80","46.82","1,135,646"
07/02/2021,"52.81","53.10","48.50","49.88","1,202,702"
07/01/2021,"57.65","61.09","52.58","52.80","1,872,613"
06/30/2021,"54.96","59.66","54.96","58.20","3,630,747"
06/29/2021,"59.80","65.42","54.15","55.19","4,220,526"
06/28/2021,"56.99","59.69","54.16","58.35","2,776,703"
06/25/2021,"50.00","55.98","48.10","55.98","5,004,152"
06/24/2021,"41.17","53.89","41.17","53.00","17,305,869"
