Date,Open,High,Low,Close,Volume
08/12/2021,"15.35","15.63","15.25","15.26","457,996"
08/11/2021,"15.50","15.75","15.33","15.33","612,129"
08/10/2021,"15.40","15.48","15.25","15.36","1,659,352"
08/09/2021,"15.27","15.39","15.12","15.21","624,202"
08/06/2021,"15.03","15.36","15.03","15.05","526,157"
08/05/2021,"15.33","15.49","15.01","15.12","837,204"
08/04/2021,"15.00","15.69","15.00","15.08","1,719,825"
08/03/2021,"15.43","15.49","14.99","15.06","1,434,519"
08/02/2021,"15.20","15.78","15.09","15.28","3,160,814"
07/30/2021,"15.00","15.40","14.50","14.50","8,347,916"
