Date,Open,High,Low,Close,Volume
08/11/2021,"16.21","16.34","15.97","16.00","201,388"
08/10/2021,"16.25","16.28","15.99","16.17","152,235"
08/09/2021,"16.64","16.64","16.17","16.21","335,571"
08/06/2021,"16.63","16.79","16.54","16.63","155,219"
08/05/2021,"16.83","17.07","16.50","16.63","202,630"
08/04/2021,"17.13","17.29","16.60","17.18","443,116"
08/03/2021,"16.88","17.48","16.59","17.22","518,834"
08/02/2021,"16.70","17.03","16.64","16.85","284,380"
07/30/2021,"16.53","16.84","16.53","16.68","177,959"
07/29/2021,"16.86","17.03","16.55","16.57","292,341"
07/28/2021,"16.54","16.81","16.28","16.71","169,583"
07/27/2021,"16.36","16.48","16.08","16.43","220,538"
07/26/2021,"16.05","16.43","16.04","16.38","191,966"
07/23/2021,"16.07","16.14","15.86","16.10","228,296"
07/22/2021,"16.26","16.92","16.00","16.08","307,466"
07/21/2021,"16.26","16.57","16.11","16.22","244,312"
07/20/2021,"15.96","16.38","15.78","16.27","585,531"
07/19/2021,"15.92","16.22","15.70","15.93","359,017"
07/16/2021,"16.57","16.84","16.24","16.39","196,530"
07/15/2021,"17.16","17.37","16.40","16.47","199,544"
07/14/2021,"17.22","17.79","17.17","17.23","424,578"
07/13/2021,"18.08","18.15","17.17","17.20","608,466"
07/12/2021,"17.82","18.22","17.63","18.15","845,278"
07/09/2021,"17.80","17.88","17.29","17.66","432,825"
07/08/2021,"17.16","17.82","16.75","17.75","1,101,285"
07/07/2021,"17.82","17.82","17.08","17.35","1,272,712"
07/06/2021,"17.66","17.91","17.47","17.86","549,442"
07/02/2021,"17.90","17.91","17.33","17.66","338,548"
07/01/2021,"17.91","18.11","17.51","17.84","455,311"
06/30/2021,"17.64","17.96","17.44","17.91","726,822"
06/29/2021,"17.55","17.72","17.22","17.64","757,288"
06/28/2021,"17.44","17.77","17.12","17.49","587,298"
06/25/2021,"17.19","17.80","17.08","17.40","3,832,798"
06/24/2021,"17.12","17.60","16.92","17.20","483,673"
06/23/2021,"17.44","17.68","16.86","17.11","465,138"
06/22/2021,"17.34","17.51","16.72","17.47","608,567"
06/21/2021,"17.99","18.37","16.77","17.39","817,444"
06/18/2021,"17.91","18.39","17.51","17.75","3,810,982"
06/17/2021,"18.45","18.60","17.52","17.82","983,339"
06/16/2021,"18.05","18.61","17.72","18.46","752,980"
06/15/2021,"18.06","18.25","17.57","17.96","466,255"
06/14/2021,"17.55","18.27","17.49","18.07","516,075"
06/11/2021,"17.00","17.64","16.93","17.37","167,218"
06/10/2021,"17.40","17.57","17.05","17.11","186,918"
06/09/2021,"17.89","17.96","17.27","17.43","319,656"
06/08/2021,"17.05","17.45","16.64","17.41","344,936"
06/07/2021,"17.00","17.00","16.53","16.94","681,930"
06/04/2021,"17.12","17.24","16.84","17.14","487,205"
06/03/2021,"16.90","17.02","16.42","17.01","315,137"
06/02/2021,"16.99","17.03","16.53","16.97","314,180"
06/01/2021,"17.00","17.07","16.69","16.90","269,509"
05/28/2021,"17.47","17.47","16.74","16.88","209,901"
05/27/2021,"17.58","17.66","16.98","17.34","219,797"
05/26/2021,"17.12","17.69","17.06","17.52","436,277"
05/25/2021,"16.95","17.23","16.69","17.22","398,348"
05/24/2021,"17.00","17.10","16.56","16.93","363,924"
05/21/2021,"16.56","16.88","16.26","16.88","190,318"
05/20/2021,"15.87","16.48","15.87","16.32","383,119"
05/19/2021,"14.30","16.26","14.02","15.90","791,388"
05/18/2021,"16.33","16.54","15.69","15.75","305,239"
05/17/2021,"17.11","17.11","16.09","16.30","619,904"
05/14/2021,"16.50","17.69","15.94","17.02","1,716,525"
05/13/2021,"16.38","16.91","16.38","16.63","895,064"
05/12/2021,"16.82","16.84","16.08","16.37","1,016,210"
05/11/2021,"17.47","17.47","16.62","16.83","1,178,649"
05/10/2021,"17.72","17.99","17.41","17.74","578,473"
05/07/2021,"17.12","17.79","17.04","17.71","323,595"
05/06/2021,"17.25","17.77","17.04","17.31","630,817"
05/05/2021,"17.19","17.80","16.47","17.21","581,582"
05/04/2021,"17.85","18.06","17.01","17.38","1,141,985"
05/03/2021,"18.10","18.33","17.82","17.96","1,508,982"
04/30/2021,"17.92","18.15","17.75","18.00","984,181"
04/29/2021,"17.87","18.24","17.29","17.99","1,398,774"
04/28/2021,"17.50","18.12","17.26","17.84","3,099,878"
04/27/2021,"17.30","17.65","17.00","17.49","2,187,439"
04/26/2021,"16.19","17.43","16.17","17.11","1,634,158"
04/23/2021,"15.27","16.58","15.25","16.31","1,138,854"
04/22/2021,"15.15","15.49","14.94","15.27","1,688,374"
04/21/2021,"14.41","15.15","14.27","15.00","1,485,755"
04/20/2021,"14.65","14.65","14.08","14.31","916,378"
