Date,Open,High,Low,Close,Volume
08/12/2021,"17.03","17.34","15.50","16.66","222,102"
08/11/2021,"16.94","17.69","15.63","16.95","120,503"
08/10/2021,"16.48","17.24","15.06","16.81","127,722"
08/09/2021,"15.48","16.18","14.78","15.83","83,212"
08/06/2021,"15.99","16.00","14.85","15.30","72,002"
08/05/2021,"15.66","16.74","14.60","15.72","85,983"
08/04/2021,"15.56","16.24","14.51","15.69","71,936"
08/03/2021,"15.95","16.35","15.20","15.85","56,028"
08/02/2021,"15.62","16.50","15.46","15.87","295,210"
07/30/2021,"16.38","17.35","14.39","15.48","100,437"
07/29/2021,"15.59","17.33","15.59","16.44","41,986"
07/28/2021,"15.49","16.61","15.12","15.49","43,391"
07/27/2021,"16.75","16.75","15.01","15.36","77,619"
07/26/2021,"18.42","18.49","16.83","16.95","48,714"
07/23/2021,"17.86","19.07","17.57","18.29","225,138"
07/22/2021,"17.96","18.28","17.52","17.65","61,430"
07/21/2021,"17.88","18.57","17.53","18.05","44,161"
07/20/2021,"17.96","18.32","17.14","17.74","98,964"
07/19/2021,"17.40","18.24","16.03","17.96","119,531"
07/16/2021,"17.99","18.29","17.53","17.75","38,837"
07/15/2021,"17.18","18.12","17.11","17.88","66,867"
07/14/2021,"18.96","18.96","17.05","17.35","97,574"
07/13/2021,"18.90","19.81","18.38","18.82","65,782"
07/12/2021,"18.74","19.59","18.34","18.88","89,017"
07/09/2021,"18.40","19.28","18.26","18.55","60,671"
07/08/2021,"18.51","19.66","18.02","18.31","131,588"
07/07/2021,"19.97","19.99","18.57","18.82","75,855"
07/06/2021,"19.30","19.47","18.72","19.14","53,056"
07/02/2021,"19.96","19.96","19.02","19.36","46,864"
07/01/2021,"20.00","20.96","19.55","20.03","67,272"
06/30/2021,"21.58","22.49","19.74","19.89","126,329"
06/29/2021,"23.02","24.08","21.48","21.71","253,117"
06/28/2021,"23.02","24.08","22.88","22.88","157,863"
06/25/2021,"22.43","23.94","21.64","23.48","1,653,716"
06/24/2021,"22.81","24.34","22.03","22.57","136,899"
06/23/2021,"23.01","23.80","21.05","22.80","148,533"
06/22/2021,"24.75","25.23","23.01","23.23","160,428"
06/21/2021,"25.85","27.07","24.05","24.75","213,908"
06/18/2021,"26.44","28.25","25.72","25.72","641,686"
06/17/2021,"27.30","28.11","24.10","26.43","404,536"
06/16/2021,"26.58","28.23","25.79","27.62","393,456"
06/15/2021,"28.00","28.49","26.70","27.04","301,888"
06/14/2021,"27.44","28.43","27.07","27.57","258,600"
06/11/2021,"26.63","27.95","26.52","27.09","81,968"
06/10/2021,"26.89","28.48","26.89","27.33","63,304"
06/09/2021,"27.16","28.27","27.06","27.54","59,783"
