Date,Open,High,Low,Close,Volume
08/20/2021,"13.76","14.52","13.63","14.32","247,186"
08/19/2021,"14.60","14.63","13.58","13.78","332,905"
08/18/2021,"14.82","15.19","14.24","14.60","300,003"
08/17/2021,"14.11","15.50","14.03","14.71","393,262"
08/16/2021,"15.97","15.97","14.57","14.72","350,626"
08/13/2021,"17.53","18.00","15.72","15.89","584,895"
08/12/2021,"17.05","18.48","16.40","18.13","395,404"
08/11/2021,"17.45","17.51","16.62","17.18","345,169"
08/10/2021,"17.96","18.10","16.90","17.28","201,044"
08/09/2021,"17.81","18.56","17.54","17.73","292,348"
08/06/2021,"16.51","17.55","16.43","17.50","454,521"
08/05/2021,"15.85","16.55","15.74","16.34","157,165"
08/04/2021,"16.01","16.06","15.68","15.96","145,712"
08/03/2021,"16.11","16.16","15.80","16.01","182,246"
08/02/2021,"17.36","17.47","16.10","16.13","222,581"
07/30/2021,"17.46","18.26","16.94","17.29","385,804"
07/29/2021,"16.21","16.37","15.76","15.98","221,970"
07/28/2021,"15.33","16.16","14.87","16.07","362,185"
07/27/2021,"15.45","15.68","14.46","15.14","388,077"
07/26/2021,"17.44","17.44","15.25","15.40","482,701"
07/23/2021,"18.85","18.95","17.42","17.47","333,371"
07/22/2021,"17.75","18.83","17.55","18.40","850,882"
07/21/2021,"16.92","17.85","16.60","17.70","404,987"
07/20/2021,"17.00","17.30","16.11","16.91","720,227"
07/19/2021,"16.95","17.37","16.76","17.14","591,655"
07/16/2021,"18.69","18.72","16.99","17.21","341,586"
07/15/2021,"19.36","19.88","17.86","18.52","267,909"
07/14/2021,"20.51","21.72","19.27","19.35","365,079"
07/13/2021,"22.00","22.14","20.15","20.98","460,182"
07/12/2021,"23.16","23.16","21.30","21.92","200,468"
07/09/2021,"22.78","23.31","22.19","22.88","208,714"
07/08/2021,"24.25","24.28","21.87","22.65","403,171"
07/07/2021,"27.39","27.39","25.02","25.13","192,170"
07/06/2021,"27.82","27.88","26.66","27.11","157,667"
07/02/2021,"28.35","28.78","27.42","27.68","189,449"
07/01/2021,"30.10","30.81","28.11","28.20","135,127"
06/30/2021,"29.69","30.08","28.65","29.78","119,568"
06/29/2021,"30.29","30.29","29.29","29.75","118,163"
06/28/2021,"30.15","31.13","29.88","30.00","157,228"
06/25/2021,"29.54","31.74","29.25","29.96","838,588"
06/24/2021,"29.82","29.82","28.87","29.48","472,355"
06/23/2021,"29.00","29.97","28.89","29.49","145,298"
06/22/2021,"28.46","29.11","27.28","28.75","182,526"
06/21/2021,"29.34","30.34","28.32","28.64","321,974"
06/18/2021,"28.57","29.72","28.57","29.41","248,090"
06/17/2021,"28.14","30.10","28.03","28.78","174,242"
06/16/2021,"28.69","29.40","27.61","28.21","113,439"
06/15/2021,"30.60","30.84","28.25","28.69","247,814"
06/14/2021,"29.38","31.47","29.21","30.85","288,951"
06/11/2021,"28.68","29.75","28.06","29.21","171,275"
06/10/2021,"28.72","30.36","28.06","28.37","198,951"
06/09/2021,"34.91","34.91","28.76","29.06","535,349"
06/08/2021,"33.21","36.46","33.21","34.00","623,855"
06/07/2021,"31.83","33.08","30.92","32.93","292,500"
06/04/2021,"33.25","34.33","31.70","32.09","561,477"
06/03/2021,"33.38","34.67","32.01","32.82","434,244"
06/02/2021,"31.38","35.00","31.07","34.40","1,152,300"
06/01/2021,"29.39","32.28","29.31","31.24","446,866"
05/28/2021,"28.50","29.61","28.50","29.19","325,412"
05/27/2021,"26.09","28.59","25.10","28.37","322,200"
05/26/2021,"26.46","27.46","25.81","26.55","311,766"
05/25/2021,"22.70","26.04","22.70","25.86","431,947"
05/24/2021,"21.86","22.87","20.59","22.74","384,889"
05/21/2021,"23.40","23.40","21.40","21.59","468,962"
05/20/2021,"24.50","26.10","22.85","22.99","517,838"
05/19/2021,"24.84","25.20","23.67","24.52","276,027"
05/18/2021,"27.14","27.31","24.74","25.03","274,817"
05/17/2021,"27.38","28.49","26.18","26.72","278,713"
05/14/2021,"24.31","27.77","24.26","27.38","382,134"
05/13/2021,"27.91","27.91","23.65","24.09","256,440"
05/12/2021,"28.30","28.90","26.35","27.30","174,121"
05/11/2021,"26.16","29.18","26.06","28.66","190,395"
05/10/2021,"32.50","32.50","27.12","27.91","489,914"
05/07/2021,"30.90","33.79","30.90","32.91","206,489"
05/06/2021,"31.98","32.32","30.18","30.53","264,957"
05/05/2021,"32.52","33.18","30.27","31.97","265,383"
05/04/2021,"33.65","34.48","31.71","32.17","217,796"
05/03/2021,"33.11","34.83","33.00","33.92","170,174"
04/30/2021,"32.61","34.21","32.29","32.84","146,513"
04/29/2021,"32.40","33.49","31.04","33.17","416,605"
04/28/2021,"32.88","33.78","31.56","32.03","324,701"
04/27/2021,"31.50","36.06","31.50","33.50","444,074"
04/26/2021,"34.40","34.46","31.09","31.20","569,887"
04/23/2021,"35.45","37.89","33.36","33.41","340,614"
04/22/2021,"32.85","37.80","32.80","35.31","452,097"
04/21/2021,"33.36","34.99","32.51","32.63","430,995"
04/20/2021,"39.20","39.64","33.07","33.35","475,171"
04/19/2021,"39.25","40.87","38.56","39.24","216,640"
04/16/2021,"39.89","40.28","38.10","39.03","325,541"
04/15/2021,"42.06","42.20","39.70","40.22","309,057"
04/14/2021,"42.17","43.29","41.72","41.90","108,748"
