Date,Open,High,Low,Close,Volume
08/20/2021,"126.50","127.40","125.01","126.03","132,040"
08/19/2021,"130.78","131.00","125.10","126.16","303,141"
08/18/2021,"133.40","133.97","129.14","131.50","341,757"
08/17/2021,"135.39","136.13","132.20","133.48","245,279"
08/16/2021,"137.11","137.99","133.37","135.00","171,438"
08/13/2021,"134.00","137.79","131.74","136.63","156,208"
08/12/2021,"135.50","137.21","130.16","133.80","365,432"
08/11/2021,"140.50","142.97","135.40","135.96","324,805"
08/10/2021,"138.60","141.50","138.60","140.00","233,674"
08/09/2021,"135.00","138.53","135.00","138.25","353,739"
08/06/2021,"140.10","141.86","132.40","134.38","425,188"
08/05/2021,"139.01","152.84","137.01","146.00","724,944"
08/04/2021,"136.47","142.35","135.90","141.50","475,890"
08/03/2021,"143.16","146.99","138.01","139.86","740,097"
08/02/2021,"140.00","147.25","134.72","143.80","586,661"
07/30/2021,"135.18","141.40","128.50","140.25","617,792"
07/29/2021,"137.00","139.00","132.00","134.44","693,999"
07/28/2021,"141.40","145.00","130.00","139.01","2,887,918"
