Date,Open,High,Low,Close,Volume
08/11/2021,"33.55","33.72","32.21","33.20","129,119"
08/10/2021,"34.50","35.16","33.18","33.57","144,684"
08/09/2021,"34.18","35.10","33.62","34.00","166,515"
08/06/2021,"34.29","35.33","33.98","34.15","116,858"
08/05/2021,"35.05","35.70","34.36","34.69","195,636"
08/04/2021,"34.79","35.70","34.41","35.19","121,817"
08/03/2021,"34.70","35.06","33.58","34.75","268,220"
08/02/2021,"34.53","35.26","32.83","34.70","252,947"
07/30/2021,"34.10","35.69","32.95","34.60","556,696"
07/29/2021,"35.10","36.50","35.01","35.90","299,798"
07/28/2021,"33.00","35.20","33.00","34.80","952,272"
07/27/2021,"34.75","35.03","32.07","32.65","474,473"
07/26/2021,"36.28","37.27","34.00","34.51","358,532"
07/23/2021,"37.33","38.65","36.01","36.10","595,518"
07/22/2021,"36.38","37.27","35.72","36.29","300,169"
07/21/2021,"37.46","38.33","36.01","36.25","286,331"
07/20/2021,"37.80","38.33","37.42","37.87","184,048"
07/19/2021,"35.17","38.03","34.81","37.70","242,833"
07/16/2021,"35.13","36.66","34.92","35.99","470,169"
07/15/2021,"36.25","36.25","33.49","34.56","474,988"
07/14/2021,"38.18","38.47","34.16","36.11","724,377"
07/13/2021,"39.71","40.71","37.88","37.97","259,486"
07/12/2021,"40.06","40.60","38.31","39.62","242,770"
07/09/2021,"39.46","40.53","38.50","40.21","236,897"
07/08/2021,"36.89","39.24","36.24","39.12","226,479"
07/07/2021,"38.20","39.13","37.58","38.02","219,328"
07/06/2021,"39.43","39.84","38.09","38.13","281,878"
07/02/2021,"41.89","42.89","39.43","39.48","334,437"
07/01/2021,"42.06","43.19","41.16","41.46","594,055"
06/30/2021,"46.79","47.68","42.32","42.34","948,533"
06/29/2021,"44.29","48.42","43.81","47.06","543,317"
06/28/2021,"43.53","45.81","43.41","43.99","532,432"
06/25/2021,"42.02","44.24","41.10","43.52","1,390,681"
06/24/2021,"43.30","43.76","39.02","41.96","900,799"
06/23/2021,"41.38","43.87","41.03","43.08","737,349"
06/22/2021,"38.98","41.45","38.98","40.93","575,677"
06/21/2021,"39.00","41.50","38.50","39.08","639,251"
06/18/2021,"35.58","38.87","35.33","38.65","506,822"
06/17/2021,"34.41","35.91","34.24","35.62","268,779"
06/16/2021,"35.17","36.07","34.12","34.74","315,192"
06/15/2021,"37.25","37.25","35.12","35.29","287,109"
06/14/2021,"36.29","38.39","36.00","37.49","712,471"
06/11/2021,"34.42","36.15","34.08","36.00","407,464"
06/10/2021,"35.97","36.28","33.51","34.31","406,513"
06/09/2021,"35.25","39.24","35.07","35.73","966,187"
06/08/2021,"35.06","35.68","34.69","35.08","235,639"
06/07/2021,"35.49","35.86","35.08","35.15","175,903"
06/04/2021,"35.00","35.99","34.94","35.22","184,697"
06/03/2021,"36.24","36.60","34.57","34.69","242,603"
06/02/2021,"35.10","36.99","35.10","36.65","384,982"
06/01/2021,"36.97","36.97","34.55","34.84","211,780"
05/28/2021,"37.00","37.05","36.15","36.89","463,352"
05/27/2021,"34.95","37.22","34.43","36.72","324,174"
05/26/2021,"34.83","36.35","31.33","35.08","704,651"
05/25/2021,"33.07","34.99","33.07","34.80","449,924"
05/24/2021,"32.51","33.20","30.75","33.01","266,891"
05/21/2021,"30.24","32.55","30.09","32.20","418,111"
05/20/2021,"27.49","30.54","27.49","29.79","516,653"
05/19/2021,"28.50","28.96","27.16","27.33","787,560"
05/18/2021,"29.54","30.30","28.67","28.70","417,252"
05/17/2021,"30.38","31.08","29.03","29.82","442,430"
05/14/2021,"30.34","31.62","30.06","30.86","533,463"
05/13/2021,"33.59","33.66","28.52","29.71","626,368"
05/12/2021,"33.84","34.25","32.93","33.53","230,773"
05/11/2021,"32.77","35.66","31.50","33.94","466,991"
05/10/2021,"36.42","36.97","32.07","32.98","460,081"
05/07/2021,"34.00","36.60","34.00","36.42","296,241"
05/06/2021,"34.65","34.70","34.00","34.21","340,702"
05/05/2021,"34.09","34.81","34.09","34.56","141,565"
05/04/2021,"35.53","35.75","34.08","34.63","239,249"
05/03/2021,"35.63","36.93","35.54","35.76","198,275"
04/30/2021,"33.59","35.48","33.32","35.21","702,321"
04/29/2021,"34.26","34.50","31.43","34.27","534,408"
04/28/2021,"34.30","34.90","34.01","34.24","339,252"
04/27/2021,"35.31","35.51","34.17","34.59","208,054"
04/26/2021,"34.40","35.34","34.09","34.86","342,602"
04/23/2021,"35.01","35.65","33.20","34.24","916,660"
04/22/2021,"35.04","37.50","34.21","35.77","993,963"
04/21/2021,"35.00","38.28","33.04","36.00","10,062,370"
