Date,Open,High,Low,Close,Volume
08/12/2021,"9.70","9.80","9.67","9.77","206,178"
08/11/2021,"9.76","9.78","9.72","9.73","28,601"
08/10/2021,"9.76","9.78","9.75","9.76","3,466"
08/09/2021,"9.77","9.80","9.75","9.77","6,525"
08/06/2021,"9.75","9.80","9.75","9.79","4,937"
08/05/2021,"9.74","9.79","9.71","9.79","2,797"
08/04/2021,"9.70","9.77","9.66","9.72","47,529"
08/03/2021,"9.70","9.87","9.58","9.71","182,978"
08/02/2021,"9.78","9.82","9.72","9.72","14,858"
07/30/2021,"9.80","9.84","9.76","9.84","213,676"
07/29/2021,"9.82","9.82","9.80","9.82","9,193"
07/28/2021,"9.78","9.80","9.75","9.80","59,261"
07/27/2021,"9.86","9.86","9.76","9.76","9,075"
07/26/2021,"9.88","9.88","9.83","9.84","6,609"
07/23/2021,"9.99","9.99","9.88","9.88","3,439"
07/22/2021,"9.95","9.95","9.92","9.92","2,141"
07/21/2021,"9.95","9.95","9.82","9.94","3,384"
07/20/2021,"9.76","9.99","9.76","9.99","7,700"
07/19/2021,"9.78","9.86","9.78","9.78","6,178"
07/16/2021,"9.87","9.87","9.80","9.84","20,195"
07/15/2021,"9.86","9.86","9.81","9.85","12,048"
07/14/2021,"9.93","9.93","9.83","9.83","247,097"
07/13/2021,"9.92","9.95","9.86","9.86","49,940"
07/12/2021,"9.90","9.95","9.88","9.90","114,567"
07/09/2021,"9.90","9.95","9.90","9.94","8,486"
07/08/2021,"9.90","9.94","9.90","9.92","15,679"
07/07/2021,"9.90","9.94","9.90","9.90","18,993"
07/06/2021,"9.95","9.96","9.94","9.94","48,418"
07/02/2021,"9.95","9.97","9.91","9.95","49,967"
07/01/2021,"9.94","9.97","9.92","9.92","33,123"
06/30/2021,"9.96","9.98","9.94","9.94","16,418"
06/29/2021,"10.25","10.25","9.94","9.98","15,529"
06/28/2021,"10.04","10.04","9.90","10.00","59,449"
06/25/2021,"10.07","10.18","9.85","9.95","347,301"
06/24/2021,"9.92","10.17","9.91","10.00","28,729"
06/23/2021,"9.94","10.00","9.91","9.94","6,018"
06/22/2021,"9.95","9.98","9.90","9.95","17,110"
06/21/2021,"10.05","10.05","9.81","9.91","72,083"
06/18/2021,"10.06","10.12","9.94","9.98","64,268"
06/17/2021,"10.11","10.11","9.95","9.96","16,362"
06/16/2021,"9.97","10.12","9.92","9.94","152,744"
06/15/2021,"10.13","10.13","9.97","9.97","35,827"
06/14/2021,"10.10","10.29","9.99","10.04","23,887"
06/11/2021,"10.03","10.03","9.96","9.99","18,195"
06/10/2021,"10.40","10.40","9.95","9.97","36,169"
06/09/2021,"9.97","10.02","9.94","9.95","88,114"
06/08/2021,"10.01","10.05","9.96","10.00","29,200"
06/07/2021,"10.12","10.12","9.95","9.99","51,840"
06/04/2021,"10.16","10.39","9.98","10.00","52,618"
06/03/2021,"9.95","9.99","9.95","9.97","8,849"
06/02/2021,"10.03","10.03","9.95","9.99","22,700"
06/01/2021,"9.96","10.03","9.93","9.99","114,154"
05/28/2021,"10.01","10.15","9.96","10.00","174,074"
05/27/2021,"9.95","10.05","9.93","10.05","313,142"
05/26/2021,"10.00","10.04","9.92","9.98","1,913,914"
