Date,Open,High,Low,Close,Volume
08/30/2021,"22.22","22.30","20.41","20.47","322,779"
08/27/2021,"21.46","22.34","21.16","21.99","242,705"
08/26/2021,"21.66","22.09","20.75","21.45","296,578"
08/25/2021,"21.77","22.59","21.14","21.64","1,062,605"
08/24/2021,"21.72","22.29","21.18","21.56","960,448"
08/23/2021,"21.60","22.33","21.17","21.93","1,326,919"
08/20/2021,"21.37","22.52","21.33","21.48","1,058,691"
08/19/2021,"23.61","23.79","21.11","21.53","1,006,939"
08/18/2021,"24.67","24.95","23.23","23.61","572,128"
08/17/2021,"24.51","25.37","23.90","24.37","784,151"
08/16/2021,"24.59","26.06","24.17","25.00","762,260"
08/13/2021,"30.55","30.63","24.41","24.70","1,431,321"
08/12/2021,"34.62","34.80","31.09","32.70","457,217"
08/11/2021,"35.37","35.75","34.21","34.87","353,016"
08/10/2021,"36.72","36.72","35.08","35.33","284,758"
08/09/2021,"35.96","36.96","35.24","36.48","131,973"
08/06/2021,"37.28","37.59","35.50","35.75","176,750"
08/05/2021,"35.58","37.15","35.24","37.14","144,050"
08/04/2021,"35.66","37.34","35.26","35.66","198,809"
08/03/2021,"35.84","36.57","34.43","35.78","122,457"
08/02/2021,"36.10","36.86","35.67","35.91","177,764"
07/30/2021,"34.80","37.26","34.42","36.00","278,401"
07/29/2021,"34.88","36.24","34.68","34.78","221,685"
07/28/2021,"35.04","35.40","33.85","34.83","196,137"
07/27/2021,"34.86","36.11","34.45","35.00","521,344"
07/26/2021,"34.20","35.16","33.83","34.89","372,427"
07/23/2021,"34.57","34.90","33.60","34.40","157,432"
07/22/2021,"35.38","35.97","34.28","34.56","219,909"
07/21/2021,"34.30","35.50","33.91","35.16","354,025"
07/20/2021,"34.18","35.00","33.13","34.21","343,967"
07/19/2021,"34.67","35.17","33.47","33.99","207,688"
07/16/2021,"35.03","36.30","34.65","34.94","429,353"
07/15/2021,"32.90","34.91","32.56","34.80","450,329"
07/14/2021,"35.31","35.31","33.00","33.32","330,012"
07/13/2021,"35.00","35.96","34.30","35.00","293,527"
07/12/2021,"34.64","35.48","32.75","34.37","303,102"
07/09/2021,"35.38","35.38","31.23","34.61","1,225,072"
07/08/2021,"36.09","36.49","34.67","35.54","253,190"
07/07/2021,"39.07","39.09","36.05","36.76","224,393"
07/06/2021,"38.00","39.03","37.27","38.71","266,436"
07/02/2021,"38.76","38.76","37.10","37.76","180,808"
07/01/2021,"39.73","39.86","37.05","38.63","503,678"
06/30/2021,"39.63","40.21","38.94","39.91","381,529"
06/29/2021,"38.43","40.12","38.43","39.76","412,114"
06/28/2021,"38.37","40.12","38.10","38.95","308,310"
06/25/2021,"37.70","38.87","36.70","38.03","1,485,086"
06/24/2021,"38.41","38.85","37.31","37.48","281,151"
06/23/2021,"37.59","38.45","36.86","37.94","291,233"
06/22/2021,"37.12","37.91","36.71","37.52","332,294"
06/21/2021,"36.50","37.99","34.82","37.15","547,753"
06/18/2021,"37.30","38.00","36.12","36.86","616,341"
06/17/2021,"36.91","38.18","36.30","37.68","495,926"
06/16/2021,"36.85","37.75","36.24","37.26","478,749"
06/15/2021,"38.37","38.42","36.24","37.01","505,350"
06/14/2021,"39.11","40.13","38.05","38.49","538,122"
06/11/2021,"38.07","39.23","37.89","39.02","589,533"
06/10/2021,"37.31","38.26","36.70","37.99","239,138"
06/09/2021,"37.61","38.73","37.27","37.44","249,066"
06/08/2021,"37.58","39.06","36.34","37.39","345,738"
06/07/2021,"36.00","37.79","35.66","36.90","471,789"
06/04/2021,"35.56","36.92","35.28","36.02","438,768"
06/03/2021,"34.40","36.37","34.00","35.48","602,299"
06/02/2021,"34.09","34.78","33.75","34.62","405,517"
06/01/2021,"34.14","34.50","33.41","33.94","493,555"
05/28/2021,"33.67","34.49","32.88","34.02","551,764"
05/27/2021,"32.89","33.92","32.08","33.53","1,292,611"
05/26/2021,"31.76","33.24","31.01","33.14","1,281,605"
05/25/2021,"32.41","33.20","30.72","32.10","896,131"
05/24/2021,"32.60","33.99","32.00","33.20","491,662"
05/21/2021,"33.85","34.12","32.01","32.16","472,184"
05/20/2021,"32.30","33.50","31.93","33.39","879,285"
05/19/2021,"32.35","33.12","30.71","32.13","506,593"
05/18/2021,"33.56","34.52","32.24","32.92","710,101"
05/17/2021,"33.81","34.41","32.78","33.53","649,292"
05/14/2021,"33.81","35.13","32.30","34.48","1,849,473"
05/13/2021,"38.18","39.25","32.01","32.66","1,734,590"
05/12/2021,"38.01","39.22","37.63","39.00","1,206,333"
05/11/2021,"34.01","39.15","34.01","38.24","630,977"
05/10/2021,"40.94","41.28","36.66","36.67","466,912"
05/07/2021,"44.56","44.56","40.29","41.27","428,161"
05/06/2021,"45.18","45.89","41.51","42.50","474,027"
05/05/2021,"48.24","49.98","44.73","45.00","675,921"
05/04/2021,"51.24","51.24","46.65","47.75","463,044"
05/03/2021,"57.14","57.55","51.53","51.87","302,301"
04/30/2021,"56.48","58.12","54.52","57.24","695,895"
04/29/2021,"55.94","57.84","54.08","57.78","499,229"
04/28/2021,"55.17","56.04","53.42","55.87","488,847"
04/27/2021,"54.51","56.33","52.92","55.10","716,343"
04/26/2021,"50.99","54.66","49.55","54.44","1,185,976"
04/23/2021,"48.71","51.19","48.53","50.72","825,089"
04/22/2021,"48.53","49.30","47.51","49.03","456,025"
04/21/2021,"45.87","48.05","45.73","48.04","435,087"
04/20/2021,"47.94","48.22","45.72","46.25","388,135"
04/19/2021,"46.04","47.37","45.67","47.28","517,681"
04/16/2021,"47.94","47.95","45.65","47.01","637,136"
04/15/2021,"48.38","48.97","45.57","47.96","597,481"
04/14/2021,"49.52","50.12","45.00","48.00","1,090,624"
04/13/2021,"49.50","50.66","48.00","49.49","357,092"
04/12/2021,"52.49","53.00","48.57","49.13","513,210"
04/09/2021,"51.97","54.00","50.12","52.89","501,147"
04/08/2021,"51.30","52.53","51.00","52.26","389,118"
04/07/2021,"54.23","54.65","49.23","51.18","402,014"
04/06/2021,"51.24","56.72","50.19","54.95","289,418"
04/05/2021,"52.64","52.65","49.60","51.83","255,517"
04/01/2021,"50.72","52.70","49.55","51.78","310,633"
03/31/2021,"45.00","50.50","44.43","49.95","314,027"
03/30/2021,"43.53","47.14","43.40","44.72","358,941"
03/29/2021,"48.22","48.22","43.50","43.80","306,082"
03/26/2021,"53.21","53.95","42.77","47.68","553,109"
03/25/2021,"49.08","52.52","47.82","52.37","253,564"
03/24/2021,"54.00","54.03","49.92","50.57","240,356"
03/23/2021,"51.95","55.00","50.40","53.11","276,503"
03/22/2021,"47.32","51.29","46.35","50.76","209,061"
03/19/2021,"47.00","51.16","47.00","47.39","600,261"
03/18/2021,"53.82","54.43","46.54","46.74","355,415"
03/17/2021,"51.94","55.23","50.25","55.14","164,120"
03/16/2021,"54.88","55.74","51.43","52.53","183,477"
03/15/2021,"58.76","60.12","53.92","54.65","192,879"
03/12/2021,"56.49","62.47","55.52","58.60","174,593"
03/11/2021,"55.45","59.55","54.70","57.34","188,682"
03/10/2021,"52.32","56.15","52.15","54.57","214,174"
03/09/2021,"50.41","52.78","48.88","51.33","328,603"
03/08/2021,"54.73","55.71","48.78","49.29","158,640"
03/05/2021,"54.78","56.67","50.46","55.67","265,971"
03/04/2021,"56.19","57.44","50.14","54.06","256,224"
03/03/2021,"61.45","61.88","55.63","55.75","126,782"
03/02/2021,"56.94","61.55","55.88","60.39","173,993"
03/01/2021,"59.89","62.63","56.19","56.71","230,051"
02/26/2021,"59.42","61.00","56.31","58.41","235,279"
02/25/2021,"63.70","63.99","59.03","61.16","197,660"
02/24/2021,"64.36","65.92","62.52","63.96","87,412"
02/23/2021,"61.00","65.70","57.04","64.63","252,858"
02/22/2021,"68.39","70.12","63.27","63.61","154,868"
02/19/2021,"68.78","71.98","67.94","69.03","101,335"
02/18/2021,"68.02","71.42","65.18","68.91","157,682"
02/17/2021,"69.84","73.09","67.75","68.78","395,826"
02/16/2021,"72.34","74.90","68.94","70.80","198,494"
02/12/2021,"68.52","72.24","66.94","71.83","222,830"
02/11/2021,"75.56","76.75","68.36","68.65","241,213"
02/10/2021,"73.50","76.17","73.01","75.37","339,024"
02/09/2021,"71.30","76.75","68.00","72.94","485,715"
02/08/2021,"64.47","71.32","62.26","70.31","222,066"
02/05/2021,"65.32","65.66","61.22","64.38","123,414"
02/04/2021,"62.75","67.55","62.75","64.57","169,457"
02/03/2021,"60.80","64.37","59.70","63.02","173,468"
02/02/2021,"56.26","62.32","56.26","60.09","275,513"
02/01/2021,"53.22","56.72","51.89","56.15","278,589"
01/29/2021,"54.43","54.77","50.53","52.58","267,573"
01/28/2021,"56.86","56.86","53.00","54.58","251,403"
01/27/2021,"55.02","57.96","51.25","57.01","314,500"
01/26/2021,"62.45","62.90","54.39","56.99","526,780"
01/25/2021,"63.05","63.70","56.57","62.40","310,048"
01/22/2021,"56.28","63.67","55.94","63.00","510,750"
01/21/2021,"56.09","58.94","54.51","56.67","260,069"
01/20/2021,"55.08","60.04","53.91","55.80","262,690"
01/19/2021,"50.80","57.56","50.80","54.91","485,068"
