Date,Open,High,Low,Close,Volume
08/20/2021,"12.79","12.79","12.37","12.75","10,354"
08/19/2021,"12.68","12.94","12.24","12.92","9,758"
08/18/2021,"12.62","12.99","12.24","12.36","11,993"
08/17/2021,"13.20","13.20","12.24","12.25","27,584"
08/16/2021,"11.52","12.75","10.35","12.35","24,021"
08/13/2021,"11.90","11.90","10.35","11.50","12,677"
08/12/2021,"9.53","13.18","9.53","11.20","49,907"
08/11/2021,"10.81","10.81","9.88","10.69","40,984"
08/10/2021,"9.48","10.69","9.06","10.69","43,715"
08/09/2021,"9.14","9.16","8.61","9.16","16,554"
08/06/2021,"8.51","8.85","8.50","8.85","9,703"
08/05/2021,"8.23","9.12","8.16","8.79","41,815"
08/04/2021,"8.22","8.77","7.98","8.40","5,944"
08/03/2021,"8.22","8.89","8.04","8.41","34,430"
08/02/2021,"8.40","9.23","8.02","8.20","62,557"
07/30/2021,"8.24","8.34","8.00","8.20","113,627"
07/29/2021,"8.21","8.36","7.83","8.10","11,900"
07/28/2021,"8.25","8.41","8.01","8.20","34,234"
07/27/2021,"8.25","8.32","7.71","8.01","77,921"
07/26/2021,"8.81","8.82","8.17","8.40","78,845"
07/23/2021,"9.60","11.30","8.00","8.80","126,512"
07/22/2021,"10.44","10.81","9.60","9.90","81,791"
07/21/2021,"11.75","11.81","10.09","10.68","36,002"
07/20/2021,"13.27","14.25","11.49","11.64","58,955"
07/19/2021,"14.00","15.03","11.51","12.10","22,368"
07/16/2021,"14.40","14.40","12.43","13.36","8,066"
07/15/2021,"14.75","14.75","13.85","14.16","9,670"
07/14/2021,"16.05","16.05","13.71","14.59","9,653"
07/13/2021,"16.21","16.21","14.59","16.00","20,473"
07/12/2021,"15.13","16.22","14.49","16.11","83,876"
07/09/2021,"15.00","15.31","14.46","14.87","62,583"
07/08/2021,"14.62","15.44","14.26","15.08","30,427"
07/07/2021,"15.18","15.18","13.80","14.48","41,763"
07/06/2021,"15.03","15.71","14.87","15.10","236,780"
07/02/2021,"13.46","15.67","12.66","15.33","224,753"
07/01/2021,"13.35","14.09","12.01","13.20","155,398"
06/30/2021,"12.81","13.69","11.76","13.57","175,620"
06/29/2021,"11.12","12.74","11.04","12.74","290,857"
06/28/2021,"12.00","12.25","10.58","11.69","548,352"
06/25/2021,"14.00","14.50","11.03","11.44","2,234,402"
