Date,Open,High,Low,Close,Volume
08/30/2021,"29.36","29.69","23.10","28.00","242,845"
08/27/2021,"22.02","29.34","20.70","26.79","265,595"
08/26/2021,"21.20","23.20","20.25","22.25","127,721"
08/25/2021,"19.72","21.90","19.18","21.45","314,308"
08/24/2021,"20.45","20.75","19.00","20.49","157,193"
08/23/2021,"18.41","20.50","17.45","20.10","207,105"
08/20/2021,"16.84","18.84","15.76","18.09","80,720"
08/19/2021,"16.01","16.89","15.27","16.75","100,035"
08/18/2021,"16.32","17.09","15.72","16.14","162,822"
08/17/2021,"16.05","17.14","15.25","16.83","169,032"
08/16/2021,"14.76","19.99","14.50","15.67","1,242,161"
08/13/2021,"16.80","17.34","14.27","14.45","135,100"
08/12/2021,"18.10","18.76","16.16","17.34","192,991"
08/11/2021,"16.29","22.89","15.29","20.63","662,139"
08/10/2021,"16.25","19.44","13.65","15.90","1,522,126"
