Date,Open,High,Low,Close,Volume
08/12/2021,"3.3400","3.4900","3.0962","3.1800","76,646"
08/11/2021,"3.4300","3.4942","3.2800","3.2900","91,458"
08/10/2021,"3.5700","3.5700","3.4000","3.4200","29,668"
08/09/2021,"3.5000","3.5499","3.3800","3.5000","76,335"
08/06/2021,"3.7500","3.7600","3.4000","3.4350","85,918"
08/05/2021,"3.7500","3.9500","3.6800","3.6900","42,645"
08/04/2021,"4.0500","4.1500","3.7100","3.7100","156,451"
08/03/2021,"4.2400","4.2600","4.1000","4.1700","55,683"
08/02/2021,"4.3600","4.4500","4.1900","4.2400","71,859"
07/30/2021,"4.3600","4.3842","4.2500","4.2500","44,189"
07/29/2021,"4.4000","4.4950","4.2400","4.4100","33,350"
07/28/2021,"4.3500","4.3900","4.1100","4.2800","84,303"
07/27/2021,"4.7600","4.9100","4.1500","4.1600","126,203"
07/26/2021,"5.0000","5.0000","4.6850","4.8200","63,871"
07/23/2021,"5.6000","5.6000","5.0100","5.0400","138,246"
07/22/2021,"5.6400","5.6800","5.5300","5.6200","13,695"
07/21/2021,"5.7800","5.9000","5.5600","5.6400","51,327"
07/20/2021,"5.4700","5.8600","5.4601","5.8600","34,658"
07/19/2021,"5.3500","5.5200","5.2000","5.4700","61,658"
07/16/2021,"5.6800","5.9000","5.4200","5.5000","36,007"
07/15/2021,"5.5000","5.9900","5.5000","5.6600","143,633"
07/14/2021,"5.4200","5.5700","5.3500","5.5100","53,572"
07/13/2021,"5.2500","5.3100","5.1900","5.3100","124,024"
07/12/2021,"5.2100","5.2913","5.2000","5.2400","37,261"
07/09/2021,"5.3400","5.3400","5.1000","5.2000","62,115"
07/08/2021,"5.1600","5.2715","5.0686","5.1700","106,956"
07/07/2021,"5.6800","5.6800","5.2500","5.3100","103,463"
07/06/2021,"5.8200","5.9000","5.6200","5.6200","92,546"
07/02/2021,"6.0200","6.0300","5.8300","5.8300","323,858"
07/01/2021,"6.0800","6.0900","6.0000","6.0200","52,773"
06/30/2021,"6.0300","6.1700","6.0000","6.0700","79,003"
06/29/2021,"6.0800","6.1983","5.9600","6.0700","63,419"
06/28/2021,"6.1800","6.1800","6.0100","6.0100","61,620"
06/25/2021,"6.1600","6.1800","6.0200","6.0800","76,446"
06/24/2021,"6.2100","6.4000","6.1100","6.1900","82,868"
06/23/2021,"6.2000","6.2900","6.1800","6.1800","29,716"
06/22/2021,"6.4600","6.4600","6.0000","6.1900","85,910"
06/21/2021,"6.1500","6.3949","6.1356","6.3400","36,228"
06/18/2021,"6.2500","6.3200","6.1800","6.1900","26,216"
06/17/2021,"6.4100","6.7000","6.2600","6.2900","71,066"
06/16/2021,"6.4300","6.4900","6.2600","6.3700","48,691"
06/15/2021,"6.4700","6.6400","6.3500","6.4400","46,335"
06/14/2021,"6.4900","6.5900","6.4400","6.4900","52,025"
06/11/2021,"6.4400","6.5500","6.3600","6.5400","77,812"
06/10/2021,"6.8100","6.8100","6.3300","6.4400","184,615"
06/09/2021,"7.1100","7.1100","6.7300","6.9000","143,132"
06/08/2021,"7.1200","7.2500","7.0300","7.1100","61,833"
06/07/2021,"6.9500","7.2900","6.8300","7.1200","118,335"
06/04/2021,"6.4500","7.5200","6.3500","7.1500","418,981"
06/03/2021,"6.7100","6.7400","6.3500","6.3500","173,312"
06/02/2021,"6.0600","6.7900","6.0600","6.7800","334,871"
06/01/2021,"6.1200","6.1900","5.8800","6.0200","163,358"
05/28/2021,"6.1900","6.1900","5.9700","6.0400","95,412"
05/27/2021,"6.1800","6.1800","6.0100","6.0800","80,390"
05/26/2021,"5.9100","6.1492","5.8600","6.1100","141,958"
05/25/2021,"5.9100","5.9900","5.8600","5.8800","159,270"
05/24/2021,"6.2000","6.2400","5.7900","5.8300","253,568"
05/21/2021,"6.2400","6.2400","6.1300","6.2200","100,220"
