Date,Open,High,Low,Close,Volume
08/30/2021,"23.18","23.75","23.18","23.52","481,769"
08/27/2021,"22.32","23.75","22.07","23.01","223,094"
08/26/2021,"22.05","23.10","21.95","22.40","346,149"
08/25/2021,"20.90","22.34","20.60","21.95","396,646"
08/24/2021,"20.82","21.55","20.56","20.89","369,919"
08/23/2021,"21.20","21.50","20.62","20.86","346,569"
08/20/2021,"20.26","21.07","20.17","20.97","265,166"
08/19/2021,"19.00","20.33","18.81","20.09","491,682"
08/18/2021,"19.77","20.55","19.24","19.27","347,630"
08/17/2021,"19.50","20.44","19.39","19.65","294,033"
08/16/2021,"19.77","20.58","19.01","19.52","653,812"
08/13/2021,"19.38","20.23","19.00","20.08","508,374"
08/12/2021,"21.07","21.35","19.30","19.32","283,518"
08/11/2021,"20.70","21.34","20.33","21.02","317,400"
08/10/2021,"21.48","22.91","20.00","20.25","847,924"
08/09/2021,"21.02","21.25","20.52","21.15","184,237"
08/06/2021,"20.57","21.22","20.01","20.99","187,276"
08/05/2021,"20.78","21.65","20.14","20.64","348,802"
08/04/2021,"20.43","20.70","19.64","20.57","222,501"
08/03/2021,"19.71","20.80","19.71","20.09","210,626"
08/02/2021,"21.21","21.24","19.02","19.28","215,052"
07/30/2021,"20.63","21.23","18.45","21.00","262,679"
07/29/2021,"20.15","21.31","19.48","20.99","407,873"
07/28/2021,"18.90","20.25","18.50","20.00","318,400"
07/27/2021,"19.00","19.31","18.20","18.96","156,229"
07/26/2021,"19.20","19.31","18.02","18.85","415,585"
07/23/2021,"19.80","20.24","18.85","19.12","504,454"
07/22/2021,"19.89","20.27","18.70","20.00","1,626,968"
07/21/2021,"19.55","20.19","18.56","19.92","438,105"
07/20/2021,"18.50","19.80","17.83","19.23","871,585"
07/19/2021,"16.50","18.32","15.67","17.93","1,005,644"
07/16/2021,"15.90","18.62","14.51","17.43","4,480,343"
