Date,Open,High,Low,Close,Volume
08/12/2021,"5.84","5.84","5.54","5.80","8,462"
08/11/2021,"5.97","5.97","5.81","5.86","12,857"
08/10/2021,"5.92","5.98","5.85","5.90","17,978"
08/09/2021,"5.90","6.20","5.90","6.02","2,494"
08/06/2021,"5.76","5.95","5.76","5.94","4,582"
08/05/2021,"5.75","6.25","5.75","5.79","21,810"
08/04/2021,"5.99","5.99","5.70","5.88","13,969"
08/03/2021,"5.65","5.87","5.51","5.87","40,582"
08/02/2021,"5.57","5.80","5.43","5.80","47,346"
07/30/2021,"5.62","5.67","5.30","5.40","32,691"
07/29/2021,"5.61","5.73","5.48","5.48","10,335"
07/28/2021,"5.56","5.89","5.45","5.45","9,156"
07/27/2021,"5.40","5.77","5.40","5.50","19,078"
07/26/2021,"5.36","5.90","5.30","5.32","30,753"
07/23/2021,"5.85","5.92","5.35","5.35","33,099"
07/22/2021,"6.27","6.27","5.67","5.96","16,199"
07/21/2021,"5.60","6.41","5.33","6.19","78,286"
07/20/2021,"5.50","5.53","5.34","5.43","18,457"
07/19/2021,"5.55","5.59","5.40","5.51","16,009"
07/16/2021,"5.65","5.84","5.48","5.60","37,934"
07/15/2021,"5.74","6.00","5.58","5.64","39,161"
07/14/2021,"6.11","6.25","5.71","5.78","36,317"
07/13/2021,"6.10","6.50","6.02","6.14","54,298"
07/12/2021,"6.21","6.60","6.01","6.22","44,118"
07/09/2021,"6.04","6.28","6.00","6.17","31,594"
07/08/2021,"6.90","6.90","5.80","6.13","181,634"
07/07/2021,"6.95","7.49","6.71","6.80","44,564"
07/06/2021,"7.45","7.65","6.86","7.03","55,706"
07/02/2021,"7.41","7.59","7.21","7.31","57,275"
07/01/2021,"7.85","7.94","7.40","7.43","66,322"
06/30/2021,"7.51","7.76","7.13","7.74","48,190"
06/29/2021,"7.94","7.94","7.31","7.69","41,081"
06/28/2021,"7.23","7.94","7.18","7.94","129,227"
06/25/2021,"7.30","7.38","6.96","7.25","65,520"
06/24/2021,"7.01","7.29","7.00","7.20","134,934"
06/23/2021,"6.25","7.15","6.25","7.00","283,565"
06/22/2021,"7.01","7.02","6.11","6.12","33,324"
06/21/2021,"6.63","6.73","5.80","6.14","49,976"
06/18/2021,"6.63","6.80","6.48","6.71","19,969"
06/17/2021,"6.67","6.84","6.44","6.71","28,214"
06/16/2021,"6.44","6.99","6.34","6.78","430,084"
06/15/2021,"6.80","6.85","6.30","6.50","38,392"
06/14/2021,"6.74","6.92","6.51","6.58","65,364"
06/11/2021,"7.50","7.50","6.56","6.91","211,369"
06/10/2021,"6.62","9.63","6.22","6.90","1,752,412"
06/09/2021,"6.76","6.97","6.51","6.59","14,644"
06/08/2021,"6.97","7.10","6.71","6.75","15,945"
06/07/2021,"6.85","7.30","6.60","7.09","38,491"
06/04/2021,"6.65","7.11","6.65","6.85","19,392"
06/03/2021,"7.25","7.25","6.62","6.90","21,751"
06/02/2021,"6.83","7.45","6.80","6.94","13,201"
06/01/2021,"6.75","7.52","6.55","6.92","50,943"
05/28/2021,"6.37","7.36","6.37","6.74","50,267"
05/27/2021,"6.57","6.60","6.32","6.42","10,378"
05/26/2021,"6.56","6.88","6.56","6.67","11,577"
05/25/2021,"6.63","7.17","6.57","6.83","23,188"
05/24/2021,"6.89","7.36","6.62","6.74","10,455"
05/21/2021,"7.26","7.26","6.80","6.86","17,917"
05/20/2021,"7.03","7.35","6.97","7.26","35,376"
05/19/2021,"6.54","7.50","6.20","6.98","25,199"
05/18/2021,"7.29","7.51","6.49","6.85","74,776"
05/17/2021,"6.49","7.00","5.98","6.18","78,245"
05/14/2021,"5.97","5.97","5.35","5.60","34,443"
05/13/2021,"5.41","6.77","5.21","5.30","46,086"
05/12/2021,"5.91","6.09","5.33","5.60","27,517"
05/11/2021,"6.08","6.29","5.95","5.95","24,556"
05/10/2021,"6.70","6.70","6.28","6.29","9,366"
05/07/2021,"6.61","6.78","6.51","6.63","13,970"
05/06/2021,"6.79","7.12","6.35","6.58","14,539"
05/05/2021,"6.91","6.98","6.75","6.75","12,553"
05/04/2021,"6.98","7.13","6.69","6.97","34,768"
05/03/2021,"7.23","7.62","6.95","7.00","15,690"
04/30/2021,"7.15","7.39","7.02","7.13","12,632"
04/29/2021,"7.60","7.70","7.14","7.34","19,808"
04/28/2021,"8.00","8.04","7.30","7.70","20,192"
04/27/2021,"7.80","7.99","7.10","7.83","31,630"
04/26/2021,"6.95","7.90","6.85","7.41","32,067"
04/23/2021,"6.97","7.11","6.78","6.93","13,962"
04/22/2021,"6.93","7.30","6.77","6.96","25,748"
04/21/2021,"7.16","7.30","6.75","7.00","62,804"
04/20/2021,"6.70","7.20","6.56","7.16","114,579"
04/19/2021,"6.50","7.05","6.09","6.85","81,040"
04/16/2021,"7.54","7.63","6.29","6.52","151,979"
04/15/2021,"7.34","7.96","7.25","7.72","123,555"
04/14/2021,"6.54","7.33","6.54","7.33","111,459"
04/13/2021,"6.55","6.80","6.42","6.51","98,339"
04/12/2021,"6.22","6.44","6.11","6.40","149,520"
04/09/2021,"5.79","6.14","5.70","6.09","260,737"
04/08/2021,"5.84","5.84","5.24","5.53","39,071"
04/07/2021,"5.30","5.61","5.22","5.44","84,218"
04/06/2021,"5.98","5.98","5.20","5.29","209,408"
04/05/2021,"5.50","5.78","5.18","5.20","225,411"
04/01/2021,"6.00","6.33","5.16","5.31","138,884"
03/31/2021,"5.32","6.17","5.31","5.90","407,998"
03/30/2021,"5.45","5.60","5.27","5.30","77,003"
03/29/2021,"5.80","6.00","5.31","5.40","74,472"
03/26/2021,"6.51","6.96","5.77","6.03","77,492"
03/25/2021,"6.70","7.00","6.47","6.52","24,564"
03/24/2021,"7.25","7.47","6.51","6.62","66,668"
03/23/2021,"7.90","8.00","7.10","7.20","40,168"
03/22/2021,"8.14","8.15","7.54","7.77","27,895"
03/19/2021,"7.60","7.79","7.40","7.63","56,958"
03/18/2021,"7.86","7.86","7.50","7.50","40,322"
03/17/2021,"7.70","8.00","7.70","7.76","41,022"
03/16/2021,"7.90","8.28","7.50","7.59","109,652"
03/15/2021,"7.32","7.86","7.29","7.80","52,637"
03/12/2021,"7.65","7.65","7.05","7.26","50,192"
03/11/2021,"7.76","8.03","7.41","7.51","27,111"
03/10/2021,"7.50","7.85","7.40","7.62","50,914"
03/09/2021,"7.56","7.75","7.28","7.54","124,705"
03/08/2021,"7.70","8.24","7.28","7.54","353,088"
03/05/2021,"7.16","7.16","6.85","7.03","71,508"
03/04/2021,"7.25","7.31","7.00","7.10","40,920"
03/03/2021,"7.80","7.80","6.81","7.06","77,890"
03/02/2021,"7.55","7.75","7.23","7.75","121,562"
03/01/2021,"6.96","7.34","6.96","7.08","19,408"
02/26/2021,"7.42","7.42","6.95","6.98","31,554"
02/25/2021,"7.60","7.85","7.01","7.41","90,895"
02/24/2021,"7.61","7.88","7.12","7.50","16,721"
02/23/2021,"8.01","8.01","6.77","7.28","182,540"
02/22/2021,"8.40","8.61","8.17","8.17","30,140"
02/19/2021,"8.88","8.95","8.40","8.40","97,396"
02/18/2021,"8.16","8.98","8.13","8.69","103,585"
02/17/2021,"8.70","8.78","8.10","8.24","128,076"
02/16/2021,"9.09","9.40","8.63","8.75","131,064"
02/12/2021,"9.06","9.50","9.01","9.18","61,818"
02/11/2021,"9.48","9.75","9.10","9.12","70,864"
02/10/2021,"9.99","9.99","9.20","9.40","248,600"
02/09/2021,"10.05","10.10","9.20","9.35","340,346"
02/08/2021,"10.34","10.34","9.70","9.95","506,844"
02/05/2021,"10.00","10.00","8.78","9.89","1,400,368"
