Date,Open,High,Low,Close,Volume
08/20/2021,"23.70","24.61","23.55","24.52","431,045"
08/19/2021,"23.84","24.59","22.64","23.71","171,680"
08/18/2021,"24.19","24.99","23.45","24.02","262,359"
08/17/2021,"23.63","24.99","22.14","23.93","399,442"
08/16/2021,"21.81","23.54","21.11","23.35","269,858"
08/13/2021,"21.41","22.10","20.13","21.37","112,611"
08/12/2021,"23.71","23.71","20.62","21.65","174,542"
08/11/2021,"23.59","26.00","22.50","23.46","474,872"
08/10/2021,"21.55","24.47","20.84","24.00","765,936"
08/09/2021,"27.88","27.88","22.02","22.26","478,439"
08/06/2021,"22.00","24.70","21.50","22.35","877,630"
08/05/2021,"19.00","22.00","18.55","21.39","4,567,486"
