Date,Open,High,Low,Close,Volume
08/30/2021,"15.28","15.65","14.59","15.00","39,510"
08/27/2021,"14.19","16.19","14.19","15.19","38,628"
08/26/2021,"14.68","15.58","13.60","14.11","32,111"
08/25/2021,"15.55","15.92","14.75","15.14","41,978"
08/24/2021,"15.88","16.98","14.42","15.51","64,331"
08/23/2021,"14.60","16.24","14.12","16.00","46,281"
08/20/2021,"14.07","14.99","13.96","14.41","24,908"
08/19/2021,"15.84","16.20","13.82","14.21","52,575"
08/18/2021,"16.66","17.20","15.74","15.91","31,539"
08/17/2021,"15.25","17.02","14.56","16.38","36,675"
08/16/2021,"17.52","18.26","15.15","15.16","60,093"
08/13/2021,"17.80","17.80","16.26","16.26","102,574"
08/12/2021,"16.26","17.98","15.53","17.69","168,222"
08/11/2021,"17.26","18.27","15.71","16.39","93,869"
08/10/2021,"18.10","18.20","16.59","17.17","39,815"
08/09/2021,"18.29","18.71","17.77","17.79","17,100"
08/06/2021,"18.07","18.93","17.40","18.19","51,639"
08/05/2021,"17.01","19.53","17.01","18.05","55,337"
08/04/2021,"17.81","18.13","16.87","17.00","29,101"
08/03/2021,"17.50","18.83","17.31","17.92","48,959"
08/02/2021,"17.74","18.98","17.28","17.44","67,825"
07/30/2021,"19.47","19.81","16.95","17.51","64,482"
07/29/2021,"19.90","20.40","19.37","19.51","26,089"
07/28/2021,"19.50","20.76","19.15","19.72","42,406"
07/27/2021,"19.98","19.98","19.10","19.42","104,590"
07/26/2021,"19.94","20.67","19.70","20.19","107,781"
07/23/2021,"20.51","20.75","19.45","20.12","158,680"
07/22/2021,"20.30","20.82","19.90","20.50","84,710"
07/21/2021,"21.71","22.27","19.77","20.42","261,890"
07/20/2021,"21.40","23.16","20.86","21.94","135,770"
07/19/2021,"19.23","21.71","18.41","21.53","508,159"
07/16/2021,"21.68","22.48","19.64","19.76","348,241"
07/15/2021,"21.05","22.24","20.51","21.58","97,426"
07/14/2021,"23.89","24.18","20.53","21.06","508,155"
07/13/2021,"23.28","24.18","22.36","23.96","61,475"
07/12/2021,"22.67","24.30","21.53","24.10","103,563"
07/09/2021,"23.55","23.92","22.93","23.53","68,357"
07/08/2021,"21.74","23.53","21.37","23.41","143,715"
07/07/2021,"20.83","24.23","20.51","22.24","284,003"
07/06/2021,"20.43","22.28","20.35","21.04","132,893"
07/02/2021,"20.83","20.96","19.79","20.41","196,758"
07/01/2021,"21.42","21.69","20.65","20.77","123,829"
06/30/2021,"22.98","22.98","21.10","21.33","173,144"
06/29/2021,"23.80","24.30","22.08","22.20","130,864"
06/28/2021,"23.66","24.51","22.80","23.80","186,878"
06/25/2021,"24.86","25.50","23.21","23.95","1,779,725"
06/24/2021,"25.51","26.92","24.85","24.99","538,935"
06/23/2021,"26.41","27.03","25.17","25.52","351,698"
06/22/2021,"27.47","27.87","25.74","26.26","184,550"
06/21/2021,"27.02","28.01","26.44","27.30","274,230"
06/18/2021,"26.96","28.24","26.01","26.39","725,110"
06/17/2021,"26.99","28.34","26.61","27.00","406,815"
06/16/2021,"25.45","27.47","25.45","26.83","322,309"
06/15/2021,"26.27","26.74","25.08","25.41","174,216"
06/14/2021,"26.31","27.37","25.62","26.03","270,752"
06/11/2021,"25.80","27.04","25.54","25.91","93,668"
06/10/2021,"27.00","27.22","25.53","26.23","96,249"
06/09/2021,"25.86","27.99","25.45","26.67","116,184"
06/08/2021,"27.08","27.43","25.76","26.78","146,395"
06/07/2021,"26.46","27.68","25.75","26.88","536,829"
06/04/2021,"26.46","27.09","25.61","26.35","207,510"
06/03/2021,"27.83","28.37","25.91","26.12","117,895"
06/02/2021,"28.69","28.69","26.95","27.93","268,461"
06/01/2021,"28.50","29.07","28.27","28.58","48,879"
05/28/2021,"28.96","29.07","28.17","28.87","25,982"
05/27/2021,"28.88","29.34","28.50","28.67","40,044"
05/26/2021,"29.26","29.59","28.62","28.81","74,786"
05/25/2021,"28.70","29.75","28.44","29.08","205,355"
05/24/2021,"28.43","29.28","27.91","28.45","145,793"
05/21/2021,"28.11","28.86","27.70","28.16","83,513"
05/20/2021,"27.94","29.98","27.78","28.35","197,996"
05/19/2021,"27.33","28.54","26.55","27.80","77,287"
05/18/2021,"26.45","28.54","26.45","27.57","102,872"
05/17/2021,"27.21","28.07","24.60","26.90","118,539"
05/14/2021,"24.22","28.09","23.50","27.70","100,595"
05/13/2021,"26.39","27.76","21.07","25.19","226,589"
05/12/2021,"26.45","28.21","24.53","26.32","163,303"
05/11/2021,"26.58","27.42","25.53","26.45","64,371"
05/10/2021,"28.58","29.68","26.15","26.95","120,933"
05/07/2021,"29.74","30.00","28.02","29.24","98,802"
05/06/2021,"29.46","30.02","28.08","29.30","70,478"
05/05/2021,"29.14","30.50","28.78","29.35","205,782"
05/04/2021,"28.51","29.27","26.25","28.96","127,518"
