Date,Open,High,Low,Close,Volume
08/20/2021,"2.9900","3.1400","2.9700","2.9900","98,651"
08/19/2021,"2.9800","3.1400","2.9200","3.0000","186,550"
08/18/2021,"2.9200","3.1400","2.9200","3.0300","145,711"
08/17/2021,"3.0000","3.0800","2.9000","2.9400","182,582"
08/16/2021,"3.1100","3.1200","3.0000","3.0300","152,316"
08/13/2021,"3.1800","3.3500","3.1000","3.1500","299,654"
08/12/2021,"3.2900","3.3900","3.1300","3.2100","201,479"
08/11/2021,"3.3600","3.3667","3.1724","3.3100","218,290"
08/10/2021,"3.2400","3.8000","3.2200","3.3600","1,545,566"
08/09/2021,"3.2100","3.3800","3.2100","3.2300","235,777"
08/06/2021,"3.2500","3.3400","3.1600","3.1800","149,073"
08/05/2021,"3.0900","3.2700","3.0435","3.2400","204,677"
08/04/2021,"3.1400","3.2100","3.0500","3.0800","335,442"
08/03/2021,"3.0800","3.2000","3.0300","3.1400","232,533"
08/02/2021,"3.1200","3.1800","3.0200","3.0800","332,577"
07/30/2021,"3.0100","3.1600","2.9700","3.0500","278,620"
07/29/2021,"3.1800","3.2042","3.0500","3.0500","148,438"
07/28/2021,"3.0500","3.2200","3.0500","3.1500","251,249"
07/27/2021,"3.2100","3.2600","2.9500","3.1300","826,342"
07/26/2021,"3.0200","4.9800","3.0100","3.3900","18,020,570"
07/23/2021,"3.1500","3.2200","3.0500","3.1300","261,317"
07/22/2021,"3.3400","3.3700","3.1600","3.2300","130,996"
07/21/2021,"3.1800","3.3900","3.1400","3.3400","164,140"
07/20/2021,"3.1200","3.2400","3.0500","3.1500","362,445"
07/19/2021,"3.2000","3.2100","2.9600","3.1500","402,395"
07/16/2021,"3.3800","3.3800","3.2000","3.2200","379,854"
07/15/2021,"3.4900","3.6000","3.3300","3.3600","556,394"
07/14/2021,"3.9200","3.9400","3.4300","3.4700","923,258"
07/13/2021,"3.4800","4.3000","3.4780","3.9700","2,675,143"
07/12/2021,"3.5700","3.6700","3.4300","3.5300","191,784"
07/09/2021,"3.4200","3.6950","3.4200","3.5300","342,046"
07/08/2021,"3.3000","3.4000","3.2100","3.3900","207,941"
07/07/2021,"3.6900","3.6900","3.4000","3.4700","371,968"
07/06/2021,"3.8500","3.8550","3.5101","3.6400","514,037"
07/02/2021,"4.0600","4.0700","3.8000","3.9700","567,389"
07/01/2021,"4.5700","4.5900","3.9600","4.1200","928,572"
06/30/2021,"4.0700","4.6800","3.9400","4.3500","2,910,252"
06/29/2021,"3.9400","4.1700","3.8800","4.0600","883,783"
06/28/2021,"3.8900","3.9600","3.8500","3.9500","301,505"
06/25/2021,"3.9000","3.9800","3.8100","3.8900","411,404"
06/24/2021,"3.9000","3.9800","3.8100","3.9000","372,416"
06/23/2021,"3.8300","3.9500","3.8300","3.8600","129,646"
06/22/2021,"3.7900","3.8800","3.7610","3.8800","183,867"
06/21/2021,"3.8500","3.8800","3.6600","3.7700","429,568"
06/18/2021,"3.9300","3.9500","3.8100","3.8600","189,482"
06/17/2021,"3.9400","3.9900","3.9000","3.9600","216,619"
06/16/2021,"3.9500","4.0600","3.8700","3.9500","441,218"
06/15/2021,"4.0800","4.1362","3.9100","4.0000","307,120"
06/14/2021,"4.0500","4.2000","4.0100","4.0700","345,361"
06/11/2021,"4.1000","4.1700","4.0200","4.0500","248,981"
06/10/2021,"4.1700","4.2400","3.9900","4.0600","297,712"
06/09/2021,"4.1500","4.3100","4.0350","4.1700","440,879"
06/08/2021,"4.0800","4.1600","3.9563","4.1100","450,205"
06/07/2021,"4.0800","4.1400","3.9514","4.0700","466,764"
06/04/2021,"3.9300","4.1301","3.8600","4.1100","679,526"
06/03/2021,"3.9500","4.0300","3.8500","3.9100","778,646"
06/02/2021,"4.2100","4.2100","3.8400","4.0000","1,102,934"
06/01/2021,"4.3300","4.3300","4.1700","4.1700","511,298"
05/28/2021,"4.5500","4.5700","4.1100","4.2700","1,466,698"
05/27/2021,"4.7800","4.9500","4.4200","4.5200","2,973,555"
05/26/2021,"4.7200","5.9500","4.6100","5.6200","1,494,788"
05/25/2021,"5.0800","5.0800","4.6100","4.6900","313,254"
05/24/2021,"6.0600","6.1399","4.8600","5.0000","518,642"
05/21/2021,"5.7500","6.2500","5.4000","6.0400","484,195"
05/20/2021,"5.6000","6.1000","5.4156","5.7500","716,804"
05/19/2021,"5.1400","5.6000","5.1100","5.5300","283,784"
05/18/2021,"5.0800","5.2400","4.9100","5.2300","218,770"
05/17/2021,"4.6900","5.0000","4.6900","4.9300","252,798"
05/14/2021,"4.7200","4.9100","4.5300","4.6600","346,384"
05/13/2021,"4.6500","4.7500","4.5200","4.6300","121,328"
05/12/2021,"4.7900","4.7900","4.5100","4.6000","102,003"
05/11/2021,"4.5600","4.8000","4.3800","4.8000","227,479"
05/10/2021,"5.2000","5.2000","4.7500","4.7800","142,198"
05/07/2021,"5.5300","5.7800","5.1400","5.1800","176,341"
05/06/2021,"5.6900","6.0000","5.5000","5.5600","177,347"
05/05/2021,"5.7800","5.8000","5.4500","5.8000","107,055"
05/04/2021,"5.8200","6.0000","5.5000","5.7200","91,431"
05/03/2021,"5.8800","5.8800","5.6200","5.6300","25,690"
04/30/2021,"5.8800","5.9745","5.8000","5.8500","34,943"
04/29/2021,"6.0900","6.0900","5.8900","5.9400","18,818"
04/28/2021,"6.0400","6.0410","5.8500","5.9300","36,083"
04/27/2021,"6.0000","6.1000","5.9000","6.0600","87,309"
04/26/2021,"6.3200","6.3200","5.9800","6.0100","87,483"
04/23/2021,"6.2500","6.4683","6.1000","6.1000","42,805"
04/22/2021,"6.1500","6.3500","5.9100","6.1500","68,599"
04/21/2021,"5.7700","6.0000","5.7500","5.9545","29,971"
04/20/2021,"6.0000","6.1000","5.7101","5.7500","58,424"
04/19/2021,"6.0500","6.0800","5.8001","6.0000","35,265"
04/16/2021,"5.9400","6.2300","5.7501","6.0700","64,243"
04/15/2021,"6.2100","6.2900","5.8200","6.0000","118,403"
04/14/2021,"6.0300","6.2899","5.9100","5.9400","65,681"
04/13/2021,"6.5400","6.6199","6.1700","6.2300","79,910"
04/12/2021,"7.0600","7.0700","6.5000","6.6300","104,011"
04/09/2021,"7.1500","7.2900","7.0000","7.1000","70,672"
04/08/2021,"7.3000","7.3600","7.0000","7.1200","103,029"
04/07/2021,"7.3100","7.4200","7.0515","7.2200","119,502"
04/06/2021,"7.4400","7.9000","7.0100","7.1800","343,674"
04/05/2021,"6.3700","7.9000","6.3300","7.3200","1,311,258"
04/01/2021,"6.2100","7.0400","6.1859","6.2600","317,677"
03/31/2021,"5.8400","6.0500","5.8035","5.9100","40,959"
03/30/2021,"6.0000","6.0600","5.7900","5.7900","36,210"
03/29/2021,"5.7600","6.2491","5.7019","5.9900","102,072"
03/26/2021,"5.8900","5.9300","5.5100","5.7900","40,785"
03/25/2021,"5.5100","5.9259","5.5100","5.7500","78,598"
03/24/2021,"6.2700","6.2700","5.7000","5.7800","73,609"
03/23/2021,"6.5900","6.6100","6.1300","6.2100","75,787"
03/22/2021,"6.8300","6.8500","6.7000","6.7000","42,066"
03/19/2021,"6.7300","6.8600","6.6300","6.7500","34,504"
03/18/2021,"6.8100","6.9000","6.6117","6.7600","69,741"
03/17/2021,"6.6100","7.0000","6.5600","6.9600","64,088"
03/16/2021,"7.4000","7.4000","6.7000","6.7000","184,398"
03/15/2021,"7.3200","7.4300","7.1500","7.2500","67,982"
03/12/2021,"7.0400","7.3113","7.0400","7.2000","73,438"
03/11/2021,"6.7200","7.4900","6.7075","7.1800","184,104"
03/10/2021,"6.7600","6.9899","6.3200","6.6000","195,538"
03/09/2021,"6.6100","6.9000","6.4300","6.6500","159,316"
03/08/2021,"6.5000","6.8000","6.0500","6.3000","241,160"
03/05/2021,"6.2700","6.5600","5.1000","6.5100","316,148"
03/04/2021,"7.1200","7.1200","5.9500","6.2500","328,398"
03/03/2021,"7.7000","7.7700","7.0600","7.2400","111,690"
03/02/2021,"7.5100","7.7500","7.3100","7.5700","114,661"
03/01/2021,"7.6300","7.7472","7.4010","7.5000","105,240"
02/26/2021,"7.4300","7.6000","7.2700","7.4500","158,158"
02/25/2021,"8.2000","8.2900","7.5700","7.6200","181,263"
02/24/2021,"7.6000","8.2400","7.4300","7.9900","306,149"
02/23/2021,"7.8600","7.9500","6.9600","7.3500","394,782"
02/22/2021,"8.9100","8.9400","8.3000","8.3500","272,534"
02/19/2021,"8.9000","9.2000","8.8000","9.0700","173,122"
02/18/2021,"9.1600","9.2700","8.5600","8.6700","213,146"
02/17/2021,"9.6100","10.1453","9.0400","9.2900","473,324"
02/16/2021,"10.0200","10.5000","9.6100","9.7300","462,812"
02/12/2021,"9.7000","10.6500","9.1700","9.9800","529,475"
02/11/2021,"9.9100","10.4900","9.3500","9.6600","330,830"
02/10/2021,"11.1200","11.9700","9.3400","10.0900","949,148"
02/09/2021,"9.8100","11.3000","9.3310","11.1400","1,857,906"
02/08/2021,"8.6600","9.8500","8.5200","9.2000","880,665"
02/05/2021,"8.5000","8.6900","8.2700","8.4000","268,357"
02/04/2021,"8.8800","8.8800","8.3300","8.5200","478,232"
02/03/2021,"8.7000","8.7000","8.3000","8.5500","255,111"
02/02/2021,"9.2000","9.2000","8.0500","8.2100","580,734"
02/01/2021,"8.0500","9.9000","7.5000","9.0900","2,143,924"
01/29/2021,"8.2100","8.5000","7.9500","8.0400","722,149"
01/28/2021,"9.1900","9.1900","8.1000","8.2500","1,138,637"
01/27/2021,"13.3600","14.1200","8.0000","9.1000","6,643,493"
01/26/2021,"10.5900","19.4400","10.5700","18.1100","6,331,892"
