Date,Open,High,Low,Close,Volume
08/12/2021,"20.15","22.77","19.80","22.68","1,533,360"
08/11/2021,"18.69","19.87","18.47","19.80","266,966"
08/10/2021,"18.50","18.70","18.10","18.68","209,982"
08/09/2021,"18.50","18.73","18.21","18.32","112,245"
08/06/2021,"18.97","19.13","18.37","18.41","58,390"
08/05/2021,"18.67","18.99","18.67","18.79","114,539"
08/04/2021,"18.87","19.25","18.50","18.62","406,738"
08/03/2021,"19.30","19.45","18.88","18.95","69,813"
08/02/2021,"19.63","19.74","19.18","19.18","108,119"
07/30/2021,"19.24","19.71","19.01","19.61","86,485"
07/29/2021,"18.77","19.65","18.77","19.22","156,408"
07/28/2021,"18.79","19.09","18.70","18.70","267,449"
07/27/2021,"19.01","19.13","18.68","18.80","267,094"
07/26/2021,"19.03","19.31","18.91","18.96","164,683"
07/23/2021,"19.29","19.47","18.92","18.95","263,965"
07/22/2021,"19.89","19.89","18.90","19.18","397,345"
07/21/2021,"19.81","20.00","18.90","19.67","541,566"
07/20/2021,"19.01","19.85","18.66","19.64","318,276"
07/19/2021,"18.49","19.21","18.08","19.01","339,500"
07/16/2021,"19.00","19.70","18.53","18.79","127,925"
07/15/2021,"19.33","19.87","18.84","19.05","183,419"
07/14/2021,"19.29","19.97","19.19","19.31","203,601"
07/13/2021,"19.96","20.49","19.10","19.38","116,982"
07/12/2021,"20.00","20.08","19.68","19.96","216,378"
07/09/2021,"19.39","20.37","19.39","19.91","298,553"
07/08/2021,"19.00","19.79","18.73","19.39","243,047"
07/07/2021,"19.00","19.86","19.00","19.19","178,549"
07/06/2021,"19.85","20.05","17.58","19.17","498,138"
07/02/2021,"20.00","20.28","19.54","20.00","150,246"
07/01/2021,"20.00","20.50","19.46","19.99","300,251"
06/30/2021,"20.22","20.64","19.80","19.91","209,514"
06/29/2021,"21.25","21.30","20.04","20.30","2,413,685"
06/28/2021,"20.79","21.37","20.45","21.32","870,814"
06/25/2021,"19.65","20.92","19.65","20.52","846,993"
06/24/2021,"19.00","21.00","19.00","20.01","1,423,265"
06/23/2021,"19.85","20.50","18.76","19.70","8,490,619"
