Date,Open,High,Low,Close,Volume
08/11/2021,"27.29","28.33","26.53","28.13","202,029"
08/10/2021,"27.21","27.46","26.35","27.29","56,854"
08/09/2021,"27.13","27.45","26.73","26.96","44,409"
08/06/2021,"27.17","27.24","25.82","27.08","65,872"
08/05/2021,"26.06","27.50","25.82","27.19","70,855"
08/04/2021,"25.47","26.67","25.47","25.89","63,508"
08/03/2021,"25.81","26.18","25.41","25.72","41,370"
08/02/2021,"24.90","26.07","24.90","25.79","45,716"
07/30/2021,"24.96","25.83","24.41","24.87","30,391"
07/29/2021,"25.20","25.94","25.08","25.17","62,320"
07/28/2021,"24.05","25.51","24.05","25.16","71,669"
07/27/2021,"24.01","24.29","23.13","24.05","97,652"
07/26/2021,"24.50","24.77","24.08","24.16","107,647"
07/23/2021,"24.61","24.85","23.88","24.57","77,370"
07/22/2021,"24.66","24.68","24.15","24.49","83,217"
07/21/2021,"24.46","25.15","24.18","24.68","57,370"
07/20/2021,"23.85","24.70","23.23","24.25","84,793"
07/19/2021,"23.89","24.27","22.25","23.57","60,565"
07/16/2021,"23.57","25.15","23.38","24.31","91,373"
07/15/2021,"23.01","23.42","22.56","23.31","88,140"
07/14/2021,"22.58","23.23","22.22","23.01","120,256"
07/13/2021,"23.98","23.99","22.60","22.73","55,526"
07/12/2021,"24.52","24.83","23.67","23.91","69,109"
07/09/2021,"23.21","24.98","22.49","24.52","74,553"
07/08/2021,"22.58","23.22","22.26","22.99","143,762"
07/07/2021,"24.00","24.00","22.20","23.14","161,058"
07/06/2021,"23.88","24.38","23.34","24.03","173,793"
07/02/2021,"24.31","24.50","23.56","23.95","117,224"
07/01/2021,"24.18","24.25","23.68","24.09","162,388"
06/30/2021,"23.03","24.34","23.03","24.08","273,685"
06/29/2021,"23.60","24.00","22.83","23.50","74,360"
06/28/2021,"22.73","25.10","22.00","23.75","118,849"
06/25/2021,"22.00","23.19","21.81","22.61","574,464"
06/24/2021,"22.50","23.09","21.40","22.20","865,895"
06/23/2021,"23.79","25.12","23.25","24.78","108,977"
06/22/2021,"25.79","25.79","23.70","23.91","158,726"
06/21/2021,"24.89","26.11","23.92","25.63","145,306"
06/18/2021,"24.93","25.09","23.83","24.74","202,376"
06/17/2021,"26.58","26.64","25.00","25.35","102,769"
06/16/2021,"27.03","27.92","25.64","26.55","135,117"
06/15/2021,"29.04","29.04","26.50","27.20","174,518"
06/14/2021,"28.65","30.86","28.29","29.27","161,031"
06/11/2021,"29.23","29.32","27.64","28.30","104,299"
06/10/2021,"29.07","29.70","28.18","29.27","143,290"
06/09/2021,"26.96","29.79","26.92","28.65","100,710"
06/08/2021,"27.00","27.18","25.78","26.71","62,174"
06/07/2021,"26.80","27.86","26.34","26.83","82,733"
06/04/2021,"27.50","27.71","26.15","26.36","69,318"
06/03/2021,"27.25","28.28","26.77","27.50","110,728"
06/02/2021,"27.63","28.33","26.93","27.02","153,943"
06/01/2021,"27.00","28.12","27.00","27.22","100,031"
05/28/2021,"27.06","27.66","26.50","26.56","66,566"
05/27/2021,"26.40","27.23","26.07","27.02","165,738"
05/26/2021,"25.43","26.49","25.43","25.97","51,700"
05/25/2021,"26.79","27.16","25.30","25.56","65,088"
05/24/2021,"26.41","27.23","25.29","26.46","144,395"
05/21/2021,"27.96","28.43","26.05","26.41","74,041"
05/20/2021,"27.50","28.37","26.80","27.46","63,246"
05/19/2021,"26.13","28.39","25.99","27.39","84,627"
05/18/2021,"26.95","28.53","26.40","26.64","82,774"
05/17/2021,"26.70","27.56","26.00","26.89","383,809"
05/14/2021,"27.07","27.10","26.21","26.50","130,981"
05/13/2021,"27.99","28.13","25.72","26.42","134,600"
05/12/2021,"28.89","29.25","27.11","27.57","190,987"
05/11/2021,"28.74","31.12","28.74","29.30","88,238"
05/10/2021,"32.60","32.62","29.17","30.01","106,431"
05/07/2021,"33.98","34.15","32.25","32.80","202,700"
05/06/2021,"34.74","34.74","32.02","33.58","251,442"
05/05/2021,"35.91","37.00","34.16","34.81","62,821"
05/04/2021,"36.90","36.90","33.31","35.83","181,428"
05/03/2021,"39.37","39.37","36.42","37.50","59,358"
04/30/2021,"37.89","39.29","37.32","38.70","45,594"
04/29/2021,"38.87","39.18","36.75","38.36","69,053"
04/28/2021,"37.25","39.13","36.27","38.06","26,073"
04/27/2021,"36.92","39.92","36.46","37.80","88,707"
04/26/2021,"34.23","36.93","33.32","36.82","78,644"
04/23/2021,"34.86","35.99","33.38","34.05","47,720"
04/22/2021,"33.56","36.28","33.10","34.87","100,831"
04/21/2021,"31.91","34.16","31.20","33.25","133,318"
04/20/2021,"32.89","33.10","30.55","31.93","168,593"
04/19/2021,"32.96","33.46","32.05","33.00","171,422"
04/16/2021,"36.25","36.60","33.00","33.20","66,580"
04/15/2021,"38.32","38.65","36.14","36.28","123,107"
04/14/2021,"36.11","37.95","36.11","37.68","63,370"
04/13/2021,"35.11","35.87","34.40","35.74","61,367"
04/12/2021,"37.56","38.18","33.97","34.42","213,300"
04/09/2021,"40.55","40.68","37.56","37.69","133,490"
04/08/2021,"40.58","41.54","39.23","40.58","50,674"
04/07/2021,"42.24","42.70","39.61","40.23","56,758"
04/06/2021,"41.50","43.10","40.14","42.29","48,467"
04/05/2021,"40.52","41.69","38.07","41.39","111,705"
04/01/2021,"44.03","44.03","38.74","40.04","220,081"
03/31/2021,"38.50","43.38","38.50","43.38","141,766"
03/30/2021,"35.09","39.22","34.00","38.55","132,594"
03/29/2021,"37.55","37.76","34.43","35.94","212,487"
03/26/2021,"40.25","40.47","35.27","38.10","142,300"
03/25/2021,"39.29","41.88","38.00","39.53","177,109"
03/24/2021,"43.24","43.24","39.24","40.00","142,174"
03/23/2021,"43.03","43.72","40.61","42.80","219,895"
03/22/2021,"43.64","45.31","42.77","43.40","125,599"
03/19/2021,"43.91","47.48","41.12","43.68","1,404,032"
03/18/2021,"45.00","45.50","41.62","42.14","263,321"
03/17/2021,"48.05","48.05","44.50","45.55","361,401"
03/16/2021,"49.27","50.51","47.49","48.71","63,257"
03/15/2021,"50.68","51.91","48.24","49.06","109,516"
03/12/2021,"50.39","52.44","48.76","50.38","65,546"
03/11/2021,"52.39","53.05","50.30","50.75","154,115"
03/10/2021,"49.82","54.98","49.67","51.39","143,530"
03/09/2021,"42.47","50.09","42.39","49.14","141,433"
03/08/2021,"44.82","46.99","41.10","41.66","139,463"
03/05/2021,"42.01","45.58","36.48","44.92","208,269"
03/04/2021,"40.64","42.24","36.46","40.80","357,317"
03/03/2021,"42.71","42.94","39.11","40.51","181,005"
03/02/2021,"43.05","43.97","39.70","42.68","180,159"
03/01/2021,"44.66","44.66","41.81","43.09","155,813"
