Date,Open,High,Low,Close,Volume
08/12/2021,"7.40","7.40","7.15","7.19","9,633"
08/11/2021,"7.28","7.58","7.03","7.39","62,582"
08/10/2021,"7.18","7.33","7.11","7.14","18,836"
08/09/2021,"7.21","7.66","7.21","7.50","17,342"
08/06/2021,"7.25","7.30","7.21","7.21","9,127"
08/05/2021,"7.68","7.68","7.08","7.24","29,149"
08/04/2021,"7.29","7.70","7.20","7.70","12,862"
08/03/2021,"7.68","7.68","7.30","7.35","26,405"
08/02/2021,"7.45","7.99","7.31","7.76","59,448"
07/30/2021,"7.13","7.35","7.13","7.30","24,623"
07/29/2021,"7.23","7.41","7.11","7.25","20,550"
07/28/2021,"7.34","7.46","7.11","7.24","33,640"
07/27/2021,"7.45","7.68","7.25","7.34","22,675"
07/26/2021,"8.00","8.19","7.35","7.45","40,484"
07/23/2021,"8.23","8.36","7.85","7.99","64,983"
07/22/2021,"8.29","8.90","8.15","8.15","94,464"
07/21/2021,"8.20","9.98","7.89","8.45","726,396"
07/20/2021,"7.16","9.49","7.02","8.02","1,054,571"
07/19/2021,"7.40","7.51","6.77","6.99","193,663"
07/16/2021,"7.35","7.69","7.35","7.49","44,365"
07/15/2021,"7.45","7.76","7.10","7.30","44,837"
07/14/2021,"8.37","8.49","7.27","7.50","270,267"
07/13/2021,"7.87","9.22","7.74","8.50","680,340"
07/12/2021,"7.76","7.76","7.22","7.41","83,023"
07/09/2021,"7.00","7.86","7.00","7.57","100,353"
07/08/2021,"7.60","7.60","7.10","7.20","53,769"
07/07/2021,"7.43","7.79","7.12","7.75","140,771"
07/06/2021,"7.73","7.79","7.01","7.09","205,043"
07/02/2021,"7.75","8.35","7.33","7.37","107,386"
07/01/2021,"8.15","8.34","7.66","8.15","270,285"
06/30/2021,"8.10","10.79","7.60","8.11","3,328,162"
06/29/2021,"8.12","8.42","8.05","8.16","84,513"
06/28/2021,"8.97","8.97","7.65","7.98","133,195"
06/25/2021,"10.50","10.50","8.55","8.55","85,405"
06/24/2021,"10.59","10.59","9.53","9.89","35,593"
06/23/2021,"9.78","10.60","9.67","10.45","44,954"
06/22/2021,"11.15","11.15","9.71","9.95","91,571"
06/21/2021,"11.66","12.14","10.84","10.85","107,946"
06/18/2021,"13.08","13.75","11.55","12.00","1,252,224"
