Date,Open,High,Low,Close,Volume
08/20/2021,"9.84","10.96","9.65","10.33","85,799"
08/19/2021,"9.70","10.04","9.04","9.94","65,028"
08/18/2021,"10.00","10.39","9.64","9.68","35,314"
08/17/2021,"9.35","10.21","9.35","9.99","80,406"
08/16/2021,"9.54","10.00","9.21","9.49","46,078"
08/13/2021,"9.75","9.93","9.51","9.56","50,036"
08/12/2021,"8.88","10.23","8.88","9.82","65,624"
08/11/2021,"8.36","8.98","8.12","8.98","83,549"
08/10/2021,"8.39","8.44","8.01","8.33","62,876"
08/09/2021,"8.53","8.64","8.32","8.39","30,213"
08/06/2021,"8.75","9.26","8.31","8.49","51,699"
08/05/2021,"8.62","8.85","8.37","8.61","34,960"
08/04/2021,"8.71","8.96","8.15","8.62","66,230"
08/03/2021,"8.99","8.99","8.27","8.69","55,609"
08/02/2021,"9.13","9.27","8.84","8.93","37,260"
07/30/2021,"9.43","9.58","8.88","9.07","43,649"
07/29/2021,"9.48","9.64","9.36","9.40","166,961"
07/28/2021,"9.47","9.66","9.36","9.45","67,013"
07/27/2021,"9.48","9.55","9.36","9.43","103,731"
07/26/2021,"9.78","9.84","9.36","9.49","24,730"
07/23/2021,"9.61","9.81","9.36","9.67","37,227"
07/22/2021,"9.94","10.01","9.60","9.66","17,529"
07/21/2021,"9.81","10.04","9.81","10.00","32,899"
07/20/2021,"9.44","9.99","9.20","9.87","87,397"
07/19/2021,"9.60","9.71","9.17","9.52","68,859"
07/16/2021,"9.58","9.73","9.25","9.61","48,857"
07/15/2021,"9.09","9.51","9.04","9.44","24,698"
07/14/2021,"9.35","9.36","9.01","9.17","43,416"
07/13/2021,"9.81","9.83","9.20","9.40","72,805"
07/12/2021,"10.34","10.57","9.75","9.80","37,141"
07/09/2021,"10.22","10.46","9.92","10.33","39,108"
07/08/2021,"10.25","10.37","9.76","10.23","140,049"
07/07/2021,"10.63","11.29","10.28","10.43","127,954"
07/06/2021,"10.19","10.78","10.14","10.55","250,376"
07/02/2021,"10.71","11.44","10.17","10.19","105,302"
07/01/2021,"10.77","10.92","10.55","10.65","116,824"
06/30/2021,"10.10","10.74","10.10","10.67","121,023"
06/29/2021,"10.04","10.25","9.70","10.01","64,106"
06/28/2021,"10.26","10.59","10.00","10.05","104,056"
06/25/2021,"11.28","11.42","10.20","10.29","1,638,665"
06/24/2021,"10.24","11.52","10.24","11.30","157,860"
06/23/2021,"10.33","10.49","10.11","10.24","124,129"
06/22/2021,"10.53","10.60","10.03","10.31","110,422"
06/21/2021,"10.30","10.72","10.09","10.63","155,113"
