Date,Open,High,Low,Close,Volume
08/11/2021,"12.95","14.11","12.55","13.12","2,367,342"
08/10/2021,"12.45","14.25","12.31","12.88","3,774,980"
08/09/2021,"12.26","13.73","11.18","12.19","3,271,337"
08/06/2021,"12.07","13.85","11.60","12.56","8,262,551"
08/05/2021,"10.15","14.90","9.80","11.46","19,920,619"
08/04/2021,"11.18","11.56","9.55","10.15","4,052,566"
08/03/2021,"7.78","14.74","7.78","12.71","33,252,148"
08/02/2021,"7.69","8.16","7.10","7.82","1,862,589"
07/30/2021,"6.76","7.85","6.75","7.84","3,859,162"
07/29/2021,"9.25","9.34","6.40","7.00","18,870,660"
07/28/2021,"5.24","10.23","5.18","8.27","47,199,434"
07/27/2021,"5.34","5.60","4.30","5.07","10,037,860"
07/26/2021,"3.08","4.52","3.06","4.52","2,130,854"
07/23/2021,"3.06","3.09","3.00","3.02","85,856"
07/22/2021,"3.07","3.13","2.92","3.03","125,279"
07/21/2021,"3.34","3.36","3.08","3.13","240,350"
07/20/2021,"2.97","3.27","2.95","3.24","390,909"
07/19/2021,"3.14","3.15","2.86","2.91","171,778"
07/16/2021,"3.28","3.28","3.08","3.18","290,449"
07/15/2021,"3.36","3.40","3.14","3.22","195,333"
07/14/2021,"3.53","3.56","3.32","3.32","327,449"
07/13/2021,"3.60","3.70","3.46","3.58","460,690"
07/12/2021,"3.55","3.60","3.41","3.50","179,603"
07/09/2021,"3.40","3.55","3.40","3.47","103,793"
07/08/2021,"3.45","3.79","3.40","3.45","502,010"
07/07/2021,"3.57","3.63","3.40","3.51","84,395"
07/06/2021,"3.75","3.75","3.58","3.62","54,692"
07/02/2021,"3.74","3.80","3.60","3.71","86,400"
07/01/2021,"3.72","3.91","3.70","3.74","217,275"
06/30/2021,"3.62","4.00","3.62","3.72","357,792"
06/29/2021,"3.80","3.83","3.66","3.69","159,667"
06/28/2021,"3.83","3.98","3.66","3.75","290,981"
06/25/2021,"3.76","4.13","3.76","3.87","685,343"
06/24/2021,"3.57","3.95","3.45","3.66","972,728"
06/23/2021,"3.45","3.65","3.40","3.53","232,876"
06/22/2021,"3.46","3.46","3.25","3.36","299,301"
06/21/2021,"3.63","3.64","3.43","3.45","186,390"
06/18/2021,"3.59","3.70","3.46","3.70","155,076"
06/17/2021,"3.50","3.68","3.48","3.60","194,543"
06/16/2021,"3.46","3.68","3.41","3.53","202,598"
06/15/2021,"3.70","3.77","3.41","3.41","275,040"
06/14/2021,"3.71","4.10","3.65","3.65","982,445"
06/11/2021,"3.68","3.74","3.56","3.65","184,077"
06/10/2021,"3.70","3.73","3.52","3.72","169,691"
06/09/2021,"3.49","3.80","3.34","3.68","442,575"
06/08/2021,"3.70","3.70","3.50","3.53","276,134"
06/07/2021,"3.68","3.80","3.51","3.70","327,309"
06/04/2021,"3.85","3.96","3.50","3.66","335,614"
06/03/2021,"3.89","4.02","3.75","3.88","197,591"
06/02/2021,"3.90","4.01","3.70","3.87","416,027"
06/01/2021,"4.09","4.16","3.80","3.88","221,830"
05/28/2021,"3.82","4.48","3.63","4.02","686,266"
05/27/2021,"4.14","4.14","3.70","3.82","248,493"
05/26/2021,"3.89","4.15","3.81","4.03","288,574"
05/25/2021,"3.45","4.08","3.42","3.89","832,287"
05/24/2021,"3.58","3.58","3.29","3.50","482,803"
05/21/2021,"3.35","3.36","3.05","3.25","304,002"
05/20/2021,"3.00","3.36","2.96","3.36","679,064"
05/19/2021,"3.50","3.57","2.85","2.99","1,898,633"
05/18/2021,"3.50","3.57","3.10","3.32","704,093"
05/17/2021,"4.00","4.04","3.42","3.58","1,978,284"
05/14/2021,"3.85","4.23","3.60","4.05","817,477"
05/13/2021,"4.88","4.88","3.76","3.76","1,592,227"
05/12/2021,"5.10","5.34","4.00","4.68","2,699,718"
05/11/2021,"5.50","6.00","4.48","4.79","3,640,731"
