Date,Open,High,Low,Close,Volume
08/12/2021,"37.37","38.93","36.81","38.92","105,098"
08/11/2021,"38.95","39.00","35.71","37.20","401,310"
08/10/2021,"35.99","37.88","34.85","37.28","671,950"
08/09/2021,"34.25","35.81","33.06","35.81","96,202"
08/06/2021,"31.62","34.46","31.62","34.34","117,274"
08/05/2021,"31.80","32.59","31.35","32.34","42,755"
08/04/2021,"31.62","32.79","31.45","31.67","45,558"
08/03/2021,"32.50","33.02","31.50","31.70","57,296"
08/02/2021,"32.03","32.45","31.76","32.05","99,539"
07/30/2021,"32.09","32.61","31.70","31.76","61,943"
07/29/2021,"31.40","32.86","31.40","31.83","131,504"
07/28/2021,"31.63","33.32","31.35","31.78","187,646"
07/27/2021,"31.94","32.55","31.09","31.63","119,789"
07/26/2021,"32.99","33.56","32.41","32.53","195,719"
07/23/2021,"32.75","33.77","31.00","32.99","251,499"
07/22/2021,"31.52","32.86","31.00","32.73","216,453"
07/21/2021,"31.56","32.44","30.39","31.30","169,293"
07/20/2021,"30.25","31.85","29.89","31.55","147,796"
07/19/2021,"30.00","30.38","29.50","30.33","91,739"
07/16/2021,"30.76","31.03","30.31","30.56","86,523"
07/15/2021,"31.45","31.51","30.03","30.74","157,176"
07/14/2021,"32.10","33.07","31.51","31.54","105,590"
07/13/2021,"34.15","34.15","31.50","32.10","123,280"
07/12/2021,"34.46","34.59","33.32","33.75","77,016"
07/09/2021,"33.70","34.96","33.64","34.53","63,811"
07/08/2021,"34.01","34.14","32.81","33.64","181,576"
07/07/2021,"35.40","35.99","34.90","34.90","111,391"
07/06/2021,"34.57","35.33","34.53","34.99","129,467"
07/02/2021,"34.80","35.37","34.32","35.08","203,140"
07/01/2021,"36.39","36.75","34.00","34.70","309,985"
06/30/2021,"35.98","37.08","34.95","36.74","339,748"
06/29/2021,"37.82","37.82","35.41","36.23","463,616"
06/28/2021,"38.61","39.30","37.28","37.77","497,974"
06/25/2021,"39.65","40.49","37.84","38.08","341,960"
06/24/2021,"37.54","40.15","37.33","39.40","281,314"
06/23/2021,"37.96","38.68","36.67","37.25","364,474"
06/22/2021,"36.02","37.70","35.12","37.12","390,906"
06/21/2021,"35.02","37.14","35.00","36.10","950,380"
06/18/2021,"32.07","33.98","31.10","33.85","252,192"
06/17/2021,"31.43","33.40","30.85","32.44","490,127"
06/16/2021,"30.88","31.65","30.01","31.35","581,846"
06/15/2021,"31.11","31.25","30.13","30.86","235,610"
06/14/2021,"29.96","31.38","29.73","31.12","271,529"
06/11/2021,"27.63","30.65","27.63","30.45","299,967"
06/10/2021,"29.25","29.66","27.71","28.11","393,482"
06/09/2021,"29.40","29.88","28.36","29.09","168,973"
06/08/2021,"30.30","30.89","29.35","29.59","196,015"
06/07/2021,"31.51","31.85","29.51","30.67","283,039"
06/04/2021,"31.12","32.33","30.85","31.86","156,573"
06/03/2021,"32.21","32.96","29.71","31.28","347,525"
06/02/2021,"33.82","34.16","30.58","32.54","1,611,330"
06/01/2021,"34.75","34.82","32.40","33.82","473,308"
05/28/2021,"33.29","35.00","32.00","34.34","604,509"
05/27/2021,"33.40","34.74","31.51","33.31","1,478,091"
05/26/2021,"34.00","35.31","32.11","35.10","7,719,190"
