Date,Open,High,Low,Close,Volume
08/11/2021,"14.00","14.00","13.20","13.52","16,972"
08/10/2021,"15.00","15.00","13.73","14.00","25,071"
08/09/2021,"13.95","14.59","13.70","13.79","9,095"
08/06/2021,"14.23","14.23","13.51","13.80","13,957"
08/05/2021,"14.16","14.16","13.76","14.00","16,270"
08/04/2021,"13.66","14.62","13.66","14.10","16,754"
08/03/2021,"13.60","13.99","13.33","13.88","25,694"
08/02/2021,"13.84","13.98","13.21","13.37","20,379"
07/30/2021,"14.25","14.25","12.88","13.17","26,682"
07/29/2021,"14.31","14.68","12.90","14.18","17,128"
07/28/2021,"13.50","14.36","13.45","14.06","33,387"
07/27/2021,"13.62","13.73","13.20","13.29","27,223"
07/26/2021,"13.33","13.68","13.26","13.49","110,861"
07/23/2021,"13.25","13.77","13.25","13.47","211,420"
07/22/2021,"12.50","14.04","12.17","13.31","739,500"
07/21/2021,"16.93","17.00","15.36","16.10","34,567"
07/20/2021,"14.77","16.90","14.77","16.75","51,033"
07/19/2021,"16.20","16.46","14.80","15.48","53,944"
07/16/2021,"16.50","16.50","16.00","16.10","12,536"
07/15/2021,"15.61","16.31","14.69","16.25","21,377"
07/14/2021,"15.77","15.77","15.00","15.53","17,909"
07/13/2021,"15.43","15.70","15.00","15.55","13,589"
07/12/2021,"14.52","15.58","14.03","15.51","29,534"
07/09/2021,"14.91","15.15","14.02","14.52","20,759"
07/08/2021,"14.49","14.99","13.57","14.78","27,232"
07/07/2021,"13.91","14.96","13.61","14.45","27,138"
07/06/2021,"14.60","14.71","14.11","14.11","20,833"
07/02/2021,"14.68","14.86","14.33","14.59","204,681"
07/01/2021,"14.00","14.85","14.00","14.67","47,218"
06/30/2021,"13.96","14.38","13.24","14.07","53,081"
06/29/2021,"14.70","14.92","13.13","13.65","169,843"
06/28/2021,"14.70","14.91","14.40","14.71","42,864"
06/25/2021,"16.20","16.97","14.45","14.73","850,454"
06/24/2021,"17.17","17.17","16.05","16.23","71,846"
06/23/2021,"16.31","16.90","16.06","16.44","40,056"
06/22/2021,"16.21","17.07","16.02","16.32","54,950"
06/21/2021,"15.86","16.88","15.86","16.52","49,053"
06/18/2021,"15.92","16.88","15.92","16.00","374,174"
06/17/2021,"14.12","16.53","14.00","15.89","46,415"
06/16/2021,"14.16","14.70","13.51","14.29","118,035"
06/15/2021,"13.78","14.18","13.50","13.77","42,441"
06/14/2021,"12.87","14.90","12.87","13.51","52,014"
06/11/2021,"13.50","13.53","12.67","13.33","30,729"
06/10/2021,"13.27","13.62","13.03","13.22","29,037"
06/09/2021,"13.15","13.76","13.15","13.45","25,277"
06/08/2021,"13.83","14.36","13.10","13.30","19,907"
06/07/2021,"13.57","14.43","13.52","13.98","57,901"
06/04/2021,"13.78","14.25","13.39","13.52","59,710"
06/03/2021,"13.79","14.16","13.79","13.83","38,823"
06/02/2021,"14.65","15.00","13.89","14.01","51,179"
06/01/2021,"14.93","15.78","14.34","14.50","24,769"
05/28/2021,"22.10","22.10","14.57","14.59","108,662"
05/27/2021,"14.80","15.82","14.80","15.40","22,413"
05/26/2021,"13.71","15.00","13.71","15.00","38,456"
05/25/2021,"13.76","14.00","13.45","13.48","18,256"
05/24/2021,"13.75","14.05","13.39","13.76","20,835"
05/21/2021,"13.15","14.67","13.15","13.56","72,622"
05/20/2021,"13.29","13.84","13.19","13.19","18,321"
05/19/2021,"12.81","13.52","12.81","13.44","7,885"
05/18/2021,"13.27","13.99","12.92","12.92","33,434"
05/17/2021,"12.10","13.34","12.10","13.02","18,384"
05/14/2021,"12.23","12.88","11.60","12.04","149,203"
05/13/2021,"12.14","12.43","12.00","12.03","29,368"
05/12/2021,"12.80","12.82","11.56","12.27","207,062"
05/11/2021,"12.13","12.62","12.05","12.30","78,637"
05/10/2021,"12.85","12.99","12.20","12.40","24,189"
05/07/2021,"13.00","13.63","12.50","12.66","59,181"
05/06/2021,"13.15","13.42","12.68","12.93","34,263"
05/05/2021,"13.52","13.66","13.00","13.06","59,229"
05/04/2021,"13.90","13.99","13.43","13.43","62,265"
05/03/2021,"14.12","14.24","13.84","13.99","36,067"
04/30/2021,"14.00","14.34","13.82","14.00","27,378"
04/29/2021,"14.00","14.20","13.79","14.04","36,506"
04/28/2021,"13.81","14.34","13.66","14.20","37,961"
04/27/2021,"13.89","13.89","13.41","13.60","68,910"
04/26/2021,"14.27","14.27","13.57","13.62","111,337"
04/23/2021,"14.15","14.32","13.86","14.00","24,138"
04/22/2021,"13.84","14.25","13.82","13.96","54,029"
04/21/2021,"14.01","14.30","13.44","13.97","107,733"
