Date,Open,High,Low,Close,Volume
08/30/2021,"39.27","39.27","38.32","38.87","553,146"
08/27/2021,"38.30","39.38","38.21","38.97","562,763"
08/26/2021,"37.89","38.68","37.74","38.19","515,549"
08/25/2021,"37.34","38.12","36.42","37.74","790,504"
08/24/2021,"37.66","37.78","36.68","37.50","1,056,694"
08/23/2021,"34.98","37.44","34.90","37.36","914,632"
08/20/2021,"35.48","36.38","34.43","34.90","1,438,985"
08/19/2021,"35.98","36.16","35.37","35.83","573,217"
08/18/2021,"36.62","36.69","35.47","35.89","803,676"
08/17/2021,"36.50","37.10","35.94","36.45","776,217"
08/16/2021,"38.14","38.14","36.17","36.87","756,340"
08/13/2021,"38.33","39.20","38.22","38.29","737,348"
08/12/2021,"38.33","38.63","37.71","38.55","852,521"
08/11/2021,"37.88","38.63","37.08","38.56","1,353,917"
08/10/2021,"38.00","38.35","36.97","37.60","2,555,377"
08/09/2021,"40.00","40.15","38.58","38.63","1,210,877"
08/06/2021,"41.09","41.28","39.02","39.87","3,447,666"
08/05/2021,"43.01","46.75","42.94","45.97","1,369,065"
08/04/2021,"43.00","43.83","42.63","43.16","432,073"
08/03/2021,"44.90","44.90","42.36","42.93","514,264"
08/02/2021,"44.06","45.84","43.15","44.94","524,957"
07/30/2021,"45.09","46.36","43.74","43.82","529,936"
07/29/2021,"45.76","46.26","44.83","45.62","316,140"
07/28/2021,"43.64","45.70","43.21","45.45","307,346"
07/27/2021,"44.77","45.16","42.30","43.45","492,941"
07/26/2021,"45.68","45.76","44.80","45.24","230,240"
07/23/2021,"45.97","46.02","44.65","45.87","353,659"
07/22/2021,"45.45","46.45","45.11","45.90","385,450"
07/21/2021,"45.11","45.65","44.57","45.32","480,338"
07/20/2021,"45.02","45.83","44.17","45.66","498,254"
07/19/2021,"42.40","45.17","42.01","44.85","583,913"
07/16/2021,"43.66","44.55","43.40","43.45","650,145"
07/15/2021,"42.43","43.98","41.75","43.06","494,583"
07/14/2021,"45.77","45.77","42.32","42.41","801,540"
07/13/2021,"45.62","46.60","45.00","45.38","621,423"
07/12/2021,"46.91","47.64","44.54","45.59","642,019"
07/09/2021,"45.96","46.88","45.31","46.80","363,954"
07/08/2021,"46.12","46.71","44.65","46.25","553,077"
07/07/2021,"48.00","48.25","46.30","47.29","739,909"
07/06/2021,"46.50","48.55","45.90","47.46","865,510"
07/02/2021,"47.27","47.31","45.76","46.05","444,091"
07/01/2021,"45.50","46.86","45.12","46.81","565,932"
06/30/2021,"47.39","48.00","45.50","45.52","666,161"
06/29/2021,"50.12","50.27","47.16","48.22","904,893"
06/28/2021,"49.86","50.31","48.68","49.73","979,623"
06/25/2021,"49.56","50.27","48.63","49.71","7,500,828"
06/24/2021,"47.50","50.10","47.50","49.65","1,521,664"
06/23/2021,"45.97","47.00","45.56","46.82","533,388"
06/22/2021,"45.96","46.89","45.38","45.97","806,389"
06/21/2021,"46.66","46.66","44.50","45.99","1,369,225"
06/18/2021,"45.99","47.17","45.15","46.79","1,062,123"
06/17/2021,"43.98","46.50","43.78","45.88","1,119,441"
06/16/2021,"43.59","44.88","42.74","44.14","1,448,285"
06/15/2021,"45.70","46.28","43.33","43.43","1,250,078"
06/14/2021,"47.22","47.23","45.38","45.63","898,269"
