Date,Open,High,Low,Close,Volume
08/12/2021,"10.31","10.68","10.31","10.51","445,444"
08/11/2021,"11.47","11.54","9.93","10.45","992,882"
08/10/2021,"10.62","11.22","10.60","11.10","934,526"
08/09/2021,"10.35","10.83","10.33","10.53","258,571"
08/06/2021,"10.52","10.52","10.22","10.35","130,433"
08/05/2021,"10.36","10.46","10.20","10.40","158,371"
08/04/2021,"10.00","10.35","9.89","10.32","171,870"
08/03/2021,"10.24","10.43","10.01","10.08","240,229"
08/02/2021,"10.29","10.34","10.01","10.21","206,178"
07/30/2021,"10.41","10.57","10.02","10.14","232,397"
07/29/2021,"10.50","10.63","10.33","10.56","249,330"
07/28/2021,"9.93","10.72","9.80","10.53","448,918"
07/27/2021,"9.96","10.00","9.56","9.89","174,543"
07/26/2021,"10.37","10.59","9.94","10.10","295,887"
07/23/2021,"10.59","10.66","10.10","10.40","283,461"
07/22/2021,"10.47","10.88","10.12","10.56","232,668"
07/21/2021,"10.20","10.56","10.12","10.54","274,753"
07/20/2021,"9.90","10.21","9.74","10.08","453,782"
07/19/2021,"10.00","10.10","9.43","9.78","453,827"
07/16/2021,"10.67","10.77","10.11","10.22","588,777"
07/15/2021,"10.85","11.05","10.51","10.60","422,003"
07/14/2021,"11.62","11.70","10.64","10.74","472,748"
07/13/2021,"11.32","11.60","11.16","11.44","407,047"
07/12/2021,"11.28","11.52","11.02","11.47","328,884"
07/09/2021,"11.96","11.96","11.21","11.28","465,600"
07/08/2021,"11.80","12.17","11.51","11.84","405,956"
07/07/2021,"12.26","12.27","11.58","12.03","512,802"
07/06/2021,"12.65","12.74","11.73","12.16","725,407"
07/02/2021,"13.25","13.25","12.66","12.72","502,695"
07/01/2021,"13.32","13.68","12.88","13.23","760,471"
06/30/2021,"13.15","13.98","12.92","13.31","774,793"
06/29/2021,"12.79","13.53","12.56","13.14","5,493,699"
06/28/2021,"12.30","12.97","11.93","12.62","1,393,507"
06/25/2021,"12.75","13.03","11.85","12.10","4,297,764"
06/24/2021,"12.93","13.17","12.31","12.84","1,154,707"
06/23/2021,"11.70","13.18","11.69","12.93","2,101,729"
06/22/2021,"11.48","11.79","11.05","11.55","763,586"
06/21/2021,"11.90","12.16","11.57","11.57","704,882"
06/18/2021,"12.43","12.49","11.63","11.81","1,296,965"
06/17/2021,"11.87","12.60","11.84","12.25","1,130,098"
06/16/2021,"11.17","12.08","11.17","11.81","1,022,079"
06/15/2021,"11.48","11.78","11.00","11.11","614,616"
06/14/2021,"10.87","11.73","10.83","11.47","1,004,368"
06/11/2021,"11.02","11.15","10.53","10.80","245,719"
06/10/2021,"10.75","11.03","10.43","11.01","469,419"
06/09/2021,"11.03","11.25","10.30","10.81","720,642"
06/08/2021,"10.65","11.26","10.14","11.13","756,075"
06/07/2021,"11.37","11.37","10.76","10.88","810,493"
06/04/2021,"10.92","11.61","10.86","11.25","492,362"
06/03/2021,"10.64","10.92","10.28","10.78","353,376"
06/02/2021,"10.46","10.81","10.19","10.67","533,065"
06/01/2021,"11.21","11.25","10.40","10.55","721,092"
05/28/2021,"10.86","11.26","10.53","10.76","733,381"
05/27/2021,"10.00","10.79","10.00","10.72","678,265"
05/26/2021,"9.71","10.50","9.52","9.91","946,871"
05/25/2021,"9.79","9.91","9.30","9.45","783,536"
05/24/2021,"9.05","9.53","9.00","9.39","1,614,100"
05/21/2021,"8.76","8.76","8.41","8.62","243,872"
05/20/2021,"8.54","8.88","8.47","8.68","274,306"
05/19/2021,"8.21","8.46","8.05","8.39","238,719"
05/18/2021,"8.21","8.50","8.16","8.27","682,711"
05/17/2021,"8.47","8.60","8.05","8.23","235,324"
05/14/2021,"8.45","8.53","8.20","8.38","478,783"
05/13/2021,"8.59","8.65","7.87","8.28","2,433,111"
05/12/2021,"11.02","11.21","7.79","8.76","4,905,721"
05/11/2021,"12.00","12.13","11.67","11.70","1,023,065"
05/10/2021,"12.42","12.63","12.02","12.05","375,689"
05/07/2021,"12.97","13.00","12.33","12.40","213,814"
05/06/2021,"12.81","13.17","12.58","12.80","392,004"
05/05/2021,"12.59","13.27","12.56","12.77","507,116"
05/04/2021,"13.07","13.15","12.50","12.50","3,142,144"
05/03/2021,"13.61","13.67","13.00","13.12","484,237"
04/30/2021,"13.33","13.71","13.18","13.61","1,210,464"
04/29/2021,"14.56","14.78","13.06","13.71","2,777,379"
04/28/2021,"15.21","15.46","14.00","14.26","8,837,651"
