Date,Open,High,Low,Close,Volume
08/11/2021,"32.96","33.68","30.21","31.82","35,779,520"
08/10/2021,"28.29","29.11","27.26","28.64","13,220,950"
08/09/2021,"26.44","28.41","26.33","27.93","7,032,403"
08/06/2021,"26.71","26.80","25.85","26.21","2,902,424"
08/05/2021,"25.16","26.56","24.90","26.35","3,681,627"
08/04/2021,"25.49","26.02","24.81","25.24","4,419,169"
08/03/2021,"26.30","26.31","25.13","25.99","2,842,368"
08/02/2021,"26.00","26.76","25.75","26.17","2,961,414"
07/30/2021,"26.68","27.16","25.90","26.04","3,792,888"
07/29/2021,"27.66","28.45","26.99","27.02","4,671,756"
07/28/2021,"25.99","27.97","25.85","27.66","4,451,383"
07/27/2021,"26.71","26.87","24.76","26.11","6,836,385"
07/26/2021,"26.81","27.21","26.03","26.91","3,579,156"
07/23/2021,"26.22","27.18","25.59","26.72","5,737,216"
07/22/2021,"27.65","27.74","25.98","26.43","4,722,530"
07/21/2021,"26.54","27.33","26.41","27.28","4,576,844"
07/20/2021,"25.95","26.80","24.83","26.51","4,375,635"
07/19/2021,"24.99","26.48","24.52","25.96","5,949,208"
07/16/2021,"27.05","28.00","25.54","25.97","9,990,128"
07/15/2021,"25.68","26.89","24.60","25.69","7,088,168"
07/14/2021,"27.51","27.70","25.51","25.70","7,023,712"
07/13/2021,"28.52","29.80","27.34","27.51","5,583,091"
07/12/2021,"28.89","29.11","27.55","28.63","3,942,384"
07/09/2021,"28.59","29.84","28.42","28.83","5,017,788"
07/08/2021,"26.21","29.08","25.75","28.91","10,626,480"
07/07/2021,"29.43","29.50","27.45","27.72","8,094,306"
07/06/2021,"29.07","30.00","28.34","29.11","6,378,845"
07/02/2021,"30.90","31.23","29.12","30.06","8,786,415"
07/01/2021,"32.69","32.75","30.72","30.96","6,194,611"
06/30/2021,"31.41","32.63","30.43","32.11","7,404,172"
06/29/2021,"33.79","34.10","31.68","31.94","8,921,179"
06/28/2021,"33.93","34.21","32.78","33.82","9,559,195"
06/25/2021,"32.65","35.09","32.57","34.25","33,883,621"
06/24/2021,"33.01","33.21","31.84","32.30","7,986,340"
06/23/2021,"32.07","33.66","31.21","32.58","14,290,400"
06/22/2021,"32.02","33.70","31.32","31.72","17,387,430"
06/21/2021,"28.97","32.43","28.20","31.62","19,475,359"
06/18/2021,"29.28","30.19","28.31","29.26","11,764,930"
