Date,Open,High,Low,Close,Volume
08/12/2021,"12.58","12.60","12.37","12.50","507,815"
08/11/2021,"12.87","12.87","12.33","12.64","51,424"
08/10/2021,"12.51","12.92","12.26","12.84","1,190,765"
08/09/2021,"12.19","12.56","12.19","12.55","56,613"
08/06/2021,"12.10","12.19","12.06","12.12","83,635"
08/05/2021,"12.12","12.36","11.98","12.20","339,353"
08/04/2021,"12.31","12.45","12.02","12.13","76,041"
08/03/2021,"12.38","12.50","12.27","12.41","816,252"
08/02/2021,"12.40","12.65","12.03","12.44","150,553"
07/30/2021,"12.38","12.50","12.08","12.40","19,777"
07/29/2021,"12.50","12.55","12.15","12.44","52,843"
07/28/2021,"12.45","12.59","12.31","12.55","16,644"
07/27/2021,"12.35","12.68","11.97","12.50","587,246"
07/26/2021,"12.48","12.75","12.30","12.49","209,687"
07/23/2021,"12.70","12.88","12.38","12.50","137,988"
07/22/2021,"12.40","12.75","12.29","12.67","852,497"
07/21/2021,"11.05","12.55","11.00","12.35","491,368"
07/20/2021,"11.00","11.31","10.90","11.11","184,769"
07/19/2021,"11.07","11.23","10.47","11.02","161,265"
07/16/2021,"10.98","11.26","10.79","11.01","51,278"
07/15/2021,"11.13","11.36","10.97","10.97","34,988"
07/14/2021,"11.88","12.00","11.24","11.34","45,340"
07/13/2021,"12.00","12.23","11.90","11.90","236,865"
07/12/2021,"11.95","12.07","11.85","12.00","9,395"
07/09/2021,"11.65","12.00","11.45","11.97","1,350,512"
07/08/2021,"11.90","11.98","11.46","11.65","117,991"
07/07/2021,"12.41","12.41","11.91","12.00","145,609"
07/06/2021,"11.92","12.90","11.92","12.41","274,305"
07/02/2021,"11.97","12.32","11.86","11.90","68,904"
07/01/2021,"12.30","12.35","11.86","11.96","420,581"
06/30/2021,"12.68","12.68","11.86","12.32","513,820"
06/29/2021,"12.36","12.75","12.19","12.65","100,114"
06/28/2021,"12.25","12.40","12.14","12.30","82,250"
06/25/2021,"12.04","12.34","12.04","12.30","508,971"
06/24/2021,"12.04","12.05","11.92","12.04","328,011"
06/23/2021,"11.84","12.02","11.74","11.95","117,303"
06/22/2021,"11.50","11.89","11.21","11.82","311,683"
06/21/2021,"11.26","11.49","11.00","11.46","75,611"
06/18/2021,"11.14","11.24","10.91","11.20","493,793"
06/17/2021,"11.29","11.29","11.07","11.14","220,386"
06/16/2021,"11.50","11.67","11.21","11.30","209,719"
06/15/2021,"11.58","11.58","11.35","11.45","213,446"
06/14/2021,"11.55","11.72","11.43","11.50","212,512"
06/11/2021,"11.33","11.73","11.32","11.50","604,371"
06/10/2021,"11.13","11.53","11.09","11.36","380,780"
06/09/2021,"10.79","11.18","10.79","11.15","452,856"
06/08/2021,"10.55","10.78","10.55","10.75","159,399"
06/07/2021,"10.55","10.64","10.50","10.59","18,665"
06/04/2021,"10.39","10.55","10.39","10.48","181,006"
06/03/2021,"10.41","10.45","10.36","10.41","23,320"
06/02/2021,"10.59","10.65","10.39","10.42","197,853"
06/01/2021,"10.36","10.63","10.36","10.59","66,576"
05/28/2021,"10.34","10.65","10.25","10.40","100,649"
05/27/2021,"10.63","10.66","10.33","10.33","159,935"
05/26/2021,"10.58","10.72","10.40","10.58","80,222"
05/25/2021,"10.73","10.73","10.45","10.50","42,435"
05/24/2021,"10.90","10.99","10.63","10.72","192,534"
05/21/2021,"10.71","11.00","10.50","10.80","600,205"
05/20/2021,"10.46","10.73","10.37","10.64","337,848"
05/19/2021,"10.39","10.66","10.29","10.50","362,188"
05/18/2021,"10.34","10.49","10.23","10.35","198,402"
05/17/2021,"10.35","10.48","10.18","10.34","113,648"
05/14/2021,"10.33","10.54","10.33","10.34","144,128"
05/13/2021,"10.62","10.62","10.22","10.35","620,167"
05/12/2021,"10.70","10.70","10.48","10.59","209,496"
05/11/2021,"10.83","11.00","10.48","10.72","643,772"
05/10/2021,"10.93","11.28","10.86","10.90","191,685"
05/07/2021,"10.99","11.15","10.73","10.90","593,175"
05/06/2021,"11.37","11.49","11.00","11.10","1,238,161"
05/05/2021,"10.98","11.55","10.91","11.38","2,137,030"
05/04/2021,"10.99","10.99","10.84","10.92","314,392"
05/03/2021,"10.99","11.04","10.92","10.99","1,265,579"
04/30/2021,"10.70","10.91","10.61","10.86","976,593"
04/29/2021,"10.61","10.73","10.56","10.70","831,856"
04/28/2021,"10.62","10.62","10.46","10.56","410,538"
04/27/2021,"10.67","10.67","10.40","10.58","201,855"
04/26/2021,"10.64","10.65","10.47","10.63","1,529,878"
04/23/2021,"10.48","10.60","10.31","10.50","1,657,658"
04/22/2021,"10.34","10.75","10.20","10.39","7,767,972"
04/21/2021,"10.11","10.26","10.09","10.23","17,459"
04/20/2021,"10.19","10.45","10.13","10.23","11,912"
04/19/2021,"10.16","10.48","10.16","10.39","69,245"
04/16/2021,"10.13","10.30","10.13","10.29","18,604"
04/15/2021,"10.13","10.13","10.08","10.11","68,561"
04/14/2021,"10.08","10.21","10.08","10.17","7,702"
04/13/2021,"10.19","10.22","10.10","10.10","10,386"
04/12/2021,"10.13","10.21","10.07","10.21","123,622"
04/09/2021,"10.10","10.20","10.06","10.20","894,495"
04/08/2021,"10.10","10.15","10.05","10.10","135,052"
04/07/2021,"10.02","10.12","10.02","10.10","161,538"
04/06/2021,"10.02","10.08","10.00","10.01","550,713"
04/05/2021,"10.06","10.16","10.00","10.02","469,641"
04/01/2021,"10.05","10.18","10.04","10.05","218,793"
03/31/2021,"10.00","10.09","9.99","10.00","2,841"
03/30/2021,"9.93","10.03","9.91","10.00","4,046"
03/29/2021,"10.03","10.04","9.97","9.97","8,913"
03/26/2021,"10.01","10.17","10.01","10.13","2,972"
03/25/2021,"9.83","10.00","9.78","10.00","221,848"
