Date,Open,High,Low,Close,Volume
08/30/2021,"14.46","14.62","13.76","14.00","399,827"
08/27/2021,"13.46","14.37","13.46","14.34","772,188"
08/26/2021,"13.25","13.94","13.24","13.44","503,952"
08/25/2021,"13.14","13.62","12.92","13.40","308,192"
08/24/2021,"13.33","13.51","12.88","13.22","496,926"
08/23/2021,"12.96","13.62","12.96","13.19","581,072"
08/20/2021,"12.26","12.81","12.26","12.58","415,476"
08/19/2021,"12.35","12.57","12.05","12.34","492,906"
08/18/2021,"12.56","12.65","11.94","12.47","979,556"
08/17/2021,"12.67","13.01","12.35","12.57","433,323"
08/16/2021,"13.53","13.53","12.80","12.96","618,181"
08/13/2021,"13.73","13.95","13.49","13.63","490,743"
08/12/2021,"13.90","13.97","13.23","13.57","485,745"
08/11/2021,"13.10","14.20","12.86","14.03","962,690"
08/10/2021,"13.15","13.43","12.86","12.96","1,352,676"
08/09/2021,"13.50","13.90","12.90","13.03","1,188,162"
08/06/2021,"13.50","13.70","12.84","13.50","875,963"
08/05/2021,"13.46","14.16","13.45","13.70","618,992"
08/04/2021,"14.02","14.18","13.44","13.63","534,891"
08/03/2021,"13.59","13.99","13.50","13.94","433,376"
08/02/2021,"13.73","13.95","13.54","13.58","297,967"
07/30/2021,"13.95","14.08","13.60","13.64","598,855"
07/29/2021,"14.17","14.41","13.80","13.97","1,086,763"
07/28/2021,"13.60","14.08","13.58","13.84","909,237"
07/27/2021,"13.33","13.57","12.75","13.52","624,945"
07/26/2021,"13.26","13.80","13.12","13.38","487,952"
07/23/2021,"13.32","13.43","12.64","13.05","654,224"
07/22/2021,"13.66","13.97","13.06","13.51","448,223"
07/21/2021,"12.68","14.00","12.59","13.72","1,342,428"
07/20/2021,"13.25","13.25","12.45","12.69","1,647,107"
07/19/2021,"12.30","12.87","12.08","12.70","1,265,066"
07/16/2021,"13.37","13.55","12.55","12.68","2,154,369"
07/15/2021,"14.00","14.09","13.36","13.43","6,283,942"
07/14/2021,"15.70","15.71","14.23","14.52","2,102,420"
07/13/2021,"17.66","17.97","14.81","15.31","2,137,981"
07/12/2021,"19.36","20.00","18.94","19.37","393,607"
07/09/2021,"18.40","19.45","18.22","19.43","245,527"
07/08/2021,"18.75","19.10","17.67","18.65","424,362"
07/07/2021,"18.08","18.75","17.83","18.61","282,155"
07/06/2021,"18.55","18.71","17.63","18.08","304,686"
07/02/2021,"17.95","18.40","17.59","18.06","292,177"
07/01/2021,"17.93","17.98","17.09","17.61","203,308"
06/30/2021,"16.58","17.72","16.41","17.49","480,313"
06/29/2021,"16.27","16.86","16.27","16.45","386,001"
06/28/2021,"17.79","18.25","16.34","16.78","737,853"
06/25/2021,"19.62","19.66","17.70","17.76","2,182,486"
06/24/2021,"18.99","19.83","18.68","19.30","492,847"
06/23/2021,"18.43","19.35","18.10","18.81","581,298"
06/22/2021,"18.16","18.35","17.44","18.08","449,279"
06/21/2021,"18.35","19.45","17.90","18.46","1,184,417"
06/18/2021,"17.94","18.84","17.68","18.73","1,223,255"
06/17/2021,"17.81","18.58","16.18","17.94","2,085,938"
06/16/2021,"18.76","19.36","18.25","18.98","740,291"
06/15/2021,"17.96","18.96","17.58","18.68","725,982"
06/14/2021,"17.61","18.37","17.35","17.93","448,653"
06/11/2021,"19.34","19.45","17.94","18.12","512,988"
06/10/2021,"17.91","20.26","17.91","19.38","1,037,942"
06/09/2021,"18.33","18.66","17.93","18.00","346,030"
06/08/2021,"18.40","18.58","17.76","18.26","388,025"
06/07/2021,"16.76","18.92","16.70","18.56","917,614"
06/04/2021,"16.42","17.49","16.42","16.81","461,858"
06/03/2021,"16.70","16.86","15.65","16.07","575,668"
06/02/2021,"17.13","17.28","16.73","17.26","319,897"
06/01/2021,"17.40","17.40","16.61","17.00","548,871"
05/28/2021,"16.21","17.15","16.21","17.04","592,236"
05/27/2021,"16.20","16.44","15.62","16.44","672,033"
05/26/2021,"16.65","17.00","15.42","15.88","621,051"
05/25/2021,"15.97","16.83","15.52","16.45","732,959"
05/24/2021,"16.12","16.50","15.37","16.24","632,658"
05/21/2021,"15.58","16.22","15.29","16.19","829,727"
05/20/2021,"13.76","15.41","13.72","15.34","862,900"
05/19/2021,"13.84","14.38","13.50","13.95","553,249"
05/18/2021,"14.17","14.67","13.53","13.98","578,031"
05/17/2021,"12.32","14.22","12.32","14.14","941,856"
05/14/2021,"11.74","12.21","11.58","12.17","327,884"
05/13/2021,"11.85","12.14","11.22","11.40","537,365"
05/12/2021,"12.44","12.99","11.75","12.07","677,465"
05/11/2021,"11.30","12.57","11.21","12.52","513,051"
05/10/2021,"12.20","13.19","11.41","11.62","1,080,845"
05/07/2021,"11.82","11.92","11.12","11.81","687,001"
05/06/2021,"11.70","11.92","11.37","11.49","582,910"
05/05/2021,"11.42","11.45","10.93","11.33","247,248"
05/04/2021,"11.74","11.94","11.05","11.32","608,275"
05/03/2021,"11.99","12.07","11.52","11.74","513,755"
04/30/2021,"11.39","11.80","11.38","11.48","843,115"
04/29/2021,"11.91","12.02","11.05","11.52","457,320"
04/28/2021,"10.80","12.14","10.75","11.97","534,652"
04/27/2021,"11.19","11.59","10.90","10.98","501,613"
04/26/2021,"10.53","11.38","10.47","11.18","586,337"
04/23/2021,"10.00","10.55","9.87","10.39","478,689"
04/22/2021,"9.93","10.13","9.73","9.86","378,881"
04/21/2021,"9.35","10.00","9.32","9.98","640,270"
04/20/2021,"9.32","9.86","9.31","9.35","500,194"
04/19/2021,"10.55","10.56","9.26","9.32","1,159,255"
04/16/2021,"11.36","11.43","10.30","10.33","735,690"
04/15/2021,"10.60","12.29","10.45","11.19","1,809,146"
04/14/2021,"10.26","10.63","10.24","10.38","305,897"
04/13/2021,"9.92","10.33","9.82","10.17","351,301"
04/12/2021,"10.25","10.38","9.52","9.70","440,287"
04/09/2021,"10.32","10.38","10.07","10.23","187,997"
04/08/2021,"10.82","11.06","10.41","10.50","425,458"
04/07/2021,"10.55","10.71","10.30","10.37","349,887"
04/06/2021,"10.42","11.37","10.35","10.63","837,509"
04/05/2021,"10.74","10.74","9.96","10.28","426,844"
04/01/2021,"10.23","10.65","10.02","10.49","737,197"
03/31/2021,"10.38","10.56","9.88","9.97","568,235"
