Date,Open,High,Low,Close,Volume
08/12/2021,"15.65","15.79","15.56","15.70","59,236"
08/11/2021,"15.76","15.76","15.39","15.60","25,461"
08/10/2021,"15.91","15.91","15.60","15.67","12,587"
08/09/2021,"15.93","16.05","15.70","15.85","24,131"
08/06/2021,"15.76","15.98","15.76","15.97","25,218"
08/05/2021,"15.46","15.92","15.46","15.71","13,459"
08/04/2021,"15.89","15.89","15.52","15.65","16,100"
08/03/2021,"15.69","15.86","15.69","15.86","11,580"
08/02/2021,"15.99","16.15","15.26","15.80","35,858"
07/30/2021,"15.90","15.97","15.66","15.90","64,851"
07/29/2021,"15.90","16.05","15.64","15.90","32,037"
07/28/2021,"15.79","16.00","15.79","16.00","29,741"
07/27/2021,"16.00","16.00","15.71","15.84","12,128"
07/26/2021,"16.00","16.00","15.83","15.90","8,455"
07/23/2021,"15.61","16.00","15.61","16.00","11,789"
07/22/2021,"15.41","15.75","15.41","15.60","10,842"
07/21/2021,"15.60","15.96","15.60","15.75","8,378"
07/20/2021,"15.28","15.95","15.28","15.59","13,954"
07/19/2021,"15.68","15.68","15.11","15.25","34,178"
07/16/2021,"15.88","15.88","15.52","15.74","11,335"
07/15/2021,"15.60","15.75","15.40","15.75","12,178"
07/14/2021,"15.78","15.78","15.38","15.68","15,838"
07/13/2021,"15.75","15.84","15.59","15.79","11,517"
07/12/2021,"15.87","15.89","15.40","15.87","26,707"
07/09/2021,"15.56","15.90","15.56","15.77","2,172"
07/08/2021,"15.73","16.28","15.32","15.65","10,032"
07/07/2021,"16.23","16.23","15.59","15.67","4,588"
07/06/2021,"15.48","16.35","15.07","16.15","26,335"
07/02/2021,"15.71","15.94","15.54","15.60","9,857"
07/01/2021,"15.28","15.98","14.78","15.84","47,034"
06/30/2021,"15.00","15.37","14.99","15.34","46,953"
06/29/2021,"15.11","15.36","14.90","15.02","17,124"
06/28/2021,"15.28","15.45","15.02","15.02","4,082"
06/25/2021,"15.31","15.48","15.02","15.22","8,810"
06/24/2021,"15.41","15.41","15.02","15.20","14,857"
06/23/2021,"15.60","15.63","15.30","15.48","11,684"
06/22/2021,"15.55","15.55","15.02","15.42","10,279"
06/21/2021,"15.64","15.69","15.25","15.50","7,233"
06/18/2021,"15.05","15.65","14.88","15.65","25,951"
06/17/2021,"14.83","15.24","14.83","15.05","29,662"
06/16/2021,"15.50","15.55","14.72","14.72","28,376"
06/15/2021,"15.75","15.75","15.50","15.60","13,260"
06/14/2021,"15.36","15.67","15.36","15.66","4,598"
06/11/2021,"15.64","15.64","15.24","15.50","14,668"
06/10/2021,"15.27","15.56","15.27","15.40","9,707"
06/09/2021,"15.33","15.45","15.31","15.40","16,330"
06/08/2021,"15.40","15.79","15.36","15.39","18,604"
06/07/2021,"15.24","15.68","15.24","15.68","13,770"
06/04/2021,"15.66","15.66","15.31","15.31","9,529"
06/03/2021,"15.62","16.00","15.41","16.00","13,779"
06/02/2021,"14.30","15.69","14.30","15.59","4,825"
06/01/2021,"15.70","16.00","15.33","15.40","11,753"
05/28/2021,"15.50","15.75","15.16","15.70","30,216"
05/27/2021,"15.20","15.65","15.20","15.65","9,627"
05/26/2021,"15.40","15.40","15.20","15.29","8,971"
05/25/2021,"15.18","15.50","15.04","15.40","39,498"
05/24/2021,"15.50","15.50","15.13","15.22","8,350"
05/21/2021,"15.60","15.60","15.27","15.31","4,466"
05/20/2021,"15.25","15.86","14.82","15.60","40,143"
05/19/2021,"16.30","16.61","16.10","16.40","31,064"
05/18/2021,"15.64","16.58","15.64","16.58","33,843"
05/17/2021,"15.50","15.85","15.43","15.85","30,073"
05/14/2021,"14.83","15.40","14.83","15.40","18,409"
05/13/2021,"14.61","15.09","14.61","14.95","23,539"
05/12/2021,"14.41","15.00","14.41","14.59","45,726"
05/11/2021,"15.00","15.44","14.50","14.60","124,997"
05/10/2021,"14.49","14.85","14.00","14.20","21,400"
