Date,Open,High,Low,Close,Volume
08/11/2021,"19.45","20.51","19.45","19.88","38,311"
08/10/2021,"18.44","20.06","18.44","19.44","85,896"
08/09/2021,"20.08","20.67","18.28","18.44","22,722"
08/06/2021,"20.21","22.60","19.95","20.50","42,984"
08/05/2021,"20.71","21.93","20.09","20.33","46,275"
08/04/2021,"20.68","21.90","20.29","20.80","59,717"
08/03/2021,"21.26","21.64","20.31","20.89","57,479"
08/02/2021,"19.83","21.14","19.00","20.73","79,811"
07/30/2021,"17.03","19.80","15.83","19.70","124,085"
07/29/2021,"16.76","19.09","15.08","17.36","75,955"
07/28/2021,"16.22","17.16","15.86","17.00","148,864"
07/27/2021,"16.50","17.08","16.03","16.51","44,669"
07/26/2021,"17.00","17.72","16.51","16.73","93,170"
07/23/2021,"17.90","18.26","17.00","17.31","53,401"
07/22/2021,"17.59","18.25","17.58","18.00","48,519"
07/21/2021,"18.59","19.33","17.20","17.39","178,131"
07/20/2021,"17.04","18.99","17.00","17.66","298,721"
07/19/2021,"17.81","18.02","16.53","17.25","8,169"
07/16/2021,"17.24","18.89","16.75","17.50","64,363"
07/15/2021,"18.60","19.00","16.00","16.94","75,368"
07/14/2021,"18.94","20.60","17.72","17.72","11,175"
07/13/2021,"21.24","21.24","18.84","19.72","27,009"
07/12/2021,"19.12","20.86","19.12","19.98","42,034"
07/09/2021,"19.78","19.88","18.94","19.55","2,108"
07/08/2021,"20.43","22.12","18.89","19.78","76,090"
07/07/2021,"20.96","21.50","18.16","20.09","163,663"
07/06/2021,"21.50","21.82","20.25","20.51","57,124"
07/02/2021,"22.31","22.99","19.57","21.23","284,486"
07/01/2021,"22.45","26.91","21.23","22.50","692,516"
06/30/2021,"21.00","22.50","21.00","21.73","290,265"
06/29/2021,"19.49","21.65","19.00","21.12","235,409"
06/28/2021,"18.03","20.25","17.05","19.60","72,306"
06/25/2021,"22.00","24.19","19.21","19.25","1,650,437"
