Date,Open,High,Low,Close,Volume
08/30/2021,"73.00","81.83","72.50","81.19","1,878,330"
08/27/2021,"69.98","74.73","69.00","72.78","1,635,628"
08/26/2021,"70.00","70.00","67.22","69.72","575,881"
08/25/2021,"71.00","71.38","68.68","69.50","497,174"
08/24/2021,"70.48","72.80","68.51","70.99","679,681"
08/23/2021,"72.99","73.49","67.91","69.00","930,183"
08/20/2021,"70.00","72.30","68.70","71.73","1,125,810"
08/19/2021,"71.65","72.79","69.28","70.49","1,674,600"
08/18/2021,"71.25","76.80","71.03","74.55","1,647,004"
08/17/2021,"68.51","79.50","66.00","69.05","3,394,203"
08/16/2021,"68.75","70.46","66.00","68.28","672,250"
08/13/2021,"68.50","71.82","67.78","70.05","536,043"
08/12/2021,"69.08","72.44","67.21","67.95","571,650"
08/11/2021,"64.10","69.09","63.53","68.89","623,894"
08/10/2021,"66.00","66.50","61.08","64.99","512,500"
08/09/2021,"70.26","70.97","64.20","64.58","679,772"
08/06/2021,"75.83","77.60","67.54","67.84","743,410"
08/05/2021,"72.77","77.07","72.12","75.50","751,767"
08/04/2021,"67.77","74.22","67.24","74.00","572,839"
08/03/2021,"67.37","70.75","67.09","67.77","359,032"
08/02/2021,"70.30","71.90","66.25","67.32","522,714"
07/30/2021,"67.69","73.23","67.59","69.64","622,866"
07/29/2021,"69.26","70.62","67.61","69.90","588,717"
07/28/2021,"63.95","70.68","63.95","69.52","714,501"
07/27/2021,"63.35","64.51","59.42","63.20","642,173"
07/26/2021,"66.10","69.60","61.67","63.45","1,051,463"
07/23/2021,"64.14","67.26","60.64","66.70","785,362"
07/22/2021,"59.80","64.30","58.32","63.83","834,553"
07/21/2021,"55.94","59.66","55.31","59.02","576,960"
07/20/2021,"54.18","56.48","51.70","56.02","624,770"
07/19/2021,"54.22","55.99","52.77","54.17","613,896"
07/16/2021,"55.70","58.88","53.29","57.36","877,067"
07/15/2021,"55.30","58.88","52.49","54.19","775,216"
07/14/2021,"62.50","68.73","55.15","57.06","1,943,393"
07/13/2021,"58.41","65.59","58.31","62.22","1,130,127"
07/12/2021,"55.84","61.45","55.73","58.64","922,221"
07/09/2021,"54.90","56.68","53.55","54.79","337,152"
07/08/2021,"52.40","55.50","51.22","53.49","551,852"
07/07/2021,"56.93","58.88","54.46","55.73","418,486"
07/06/2021,"53.00","56.61","51.11","55.49","963,710"
07/02/2021,"55.90","56.99","53.32","54.18","630,864"
07/01/2021,"56.92","57.63","52.21","55.84","1,138,177"
06/30/2021,"62.61","62.98","56.30","57.08","1,473,118"
06/29/2021,"60.60","64.50","58.20","62.99","930,506"
06/28/2021,"60.25","61.20","58.01","60.27","521,020"
06/25/2021,"57.88","60.98","57.00","58.28","874,845"
06/24/2021,"55.20","63.00","55.20","57.42","1,202,342"
06/23/2021,"58.97","59.00","52.65","55.17","835,833"
06/22/2021,"56.23","58.56","55.75","58.20","678,596"
06/21/2021,"54.51","58.40","52.53","55.36","1,065,303"
06/18/2021,"51.28","55.68","50.81","53.46","1,080,727"
06/17/2021,"46.50","53.39","45.00","51.30","1,023,955"
06/16/2021,"49.28","51.00","44.52","47.28","989,623"
06/15/2021,"49.15","50.48","47.72","49.28","940,432"
06/14/2021,"46.50","50.44","46.35","48.98","1,047,475"
06/11/2021,"46.42","52.90","44.75","46.52","2,027,371"
06/10/2021,"40.25","44.90","40.08","43.63","737,315"
06/09/2021,"42.12","43.47","39.70","40.26","689,229"
06/08/2021,"41.33","43.59","39.38","41.62","1,578,192"
06/07/2021,"36.52","39.62","35.87","38.76","1,187,527"
06/04/2021,"35.45","35.64","33.41","35.50","834,360"
06/03/2021,"34.72","35.19","33.62","35.00","336,040"
06/02/2021,"35.43","35.67","33.14","34.78","410,648"
06/01/2021,"32.86","35.25","32.39","34.90","759,408"
05/28/2021,"32.00","33.42","31.28","32.86","547,810"
05/27/2021,"32.57","32.98","31.03","31.88","461,231"
05/26/2021,"32.65","33.38","30.32","32.11","593,271"
05/25/2021,"32.60","33.00","29.90","32.47","669,836"
05/24/2021,"31.70","33.00","31.34","32.50","689,041"
05/21/2021,"30.01","32.23","29.60","31.44","1,125,832"
05/20/2021,"28.75","30.23","28.56","29.34","661,856"
05/19/2021,"26.70","29.00","26.05","28.37","582,595"
05/18/2021,"27.31","27.77","26.25","26.80","627,942"
05/17/2021,"26.79","28.00","26.79","27.33","536,882"
05/14/2021,"25.66","26.99","25.55","26.76","482,084"
05/13/2021,"25.80","27.40","25.37","25.50","2,538,464"
05/12/2021,"24.25","25.82","24.22","25.50","10,453,600"
