Date,Open,High,Low,Close,Volume
08/20/2021,"38.31","39.70","38.07","38.82","21,187"
08/19/2021,"39.00","39.99","38.34","38.65","31,213"
08/18/2021,"40.66","41.75","39.03","39.39","16,243"
08/17/2021,"40.53","41.77","39.19","41.14","41,773"
08/16/2021,"40.49","41.49","39.70","40.72","23,989"
08/13/2021,"40.68","40.99","40.23","40.50","12,065"
08/12/2021,"40.90","42.16","40.59","41.00","14,971"
08/11/2021,"41.55","41.80","40.34","41.26","15,694"
08/10/2021,"41.18","42.00","40.61","41.95","19,729"
08/09/2021,"39.93","41.25","38.62","40.97","31,737"
08/06/2021,"40.13","40.13","39.10","39.84","20,620"
08/05/2021,"39.41","40.37","38.79","39.60","24,265"
08/04/2021,"39.77","40.35","38.50","38.85","33,558"
08/03/2021,"40.38","41.01","38.96","39.99","41,623"
08/02/2021,"39.47","42.17","39.23","40.06","46,376"
07/30/2021,"39.00","41.28","38.50","39.47","44,227"
07/29/2021,"41.75","41.75","39.25","39.53","39,739"
07/28/2021,"41.27","42.20","40.88","41.29","30,729"
07/27/2021,"40.95","41.84","39.50","40.96","51,710"
07/26/2021,"42.23","43.32","40.55","41.01","48,756"
07/23/2021,"44.41","45.23","41.66","41.74","42,540"
07/22/2021,"44.99","45.56","43.22","43.44","40,143"
07/21/2021,"43.50","46.19","41.28","44.83","81,125"
07/20/2021,"40.98","43.71","40.50","43.70","72,193"
07/19/2021,"40.00","41.28","39.00","41.15","56,130"
07/16/2021,"41.87","43.27","41.01","41.09","47,436"
07/15/2021,"41.70","42.40","39.77","41.92","60,370"
07/14/2021,"44.02","44.02","40.85","42.00","57,965"
07/13/2021,"45.12","45.12","42.57","44.14","40,158"
07/12/2021,"44.63","45.98","43.89","45.33","44,169"
07/09/2021,"40.90","44.91","40.83","44.36","68,629"
07/08/2021,"40.08","41.31","39.12","41.21","76,536"
07/07/2021,"42.98","42.98","41.00","42.28","88,706"
07/06/2021,"42.58","42.97","41.45","42.81","42,225"
07/02/2021,"44.55","44.55","42.13","43.10","51,422"
07/01/2021,"44.61","46.16","43.38","43.92","79,382"
06/30/2021,"48.07","48.96","44.05","44.94","504,300"
06/29/2021,"44.53","48.14","44.26","47.30","196,684"
06/28/2021,"44.00","47.00","42.75","44.52","206,088"
06/25/2021,"44.48","46.39","43.21","43.80","675,747"
06/24/2021,"38.35","45.00","38.35","43.71","406,188"
06/23/2021,"38.61","39.31","37.82","38.62","56,357"
06/22/2021,"37.18","38.44","36.68","38.41","57,617"
06/21/2021,"36.95","37.92","36.57","36.94","55,200"
06/18/2021,"39.75","40.64","36.68","36.77","159,253"
06/17/2021,"41.01","41.29","39.88","39.99","59,366"
06/16/2021,"40.07","41.45","39.20","41.13","88,746"
06/15/2021,"41.00","41.00","39.13","39.73","86,156"
06/14/2021,"39.14","42.15","39.06","41.50","162,539"
06/11/2021,"39.46","40.40","38.65","38.96","93,550"
06/10/2021,"39.00","39.72","37.61","39.44","83,057"
06/09/2021,"36.91","39.49","36.91","38.99","142,503"
06/08/2021,"37.72","38.76","36.41","36.91","160,749"
06/07/2021,"39.84","40.32","36.85","37.87","258,342"
06/04/2021,"38.99","40.90","38.00","39.06","104,782"
06/03/2021,"37.84","39.51","36.51","38.02","119,486"
06/02/2021,"40.90","41.38","37.35","39.64","266,415"
06/01/2021,"37.62","41.78","37.55","41.78","379,459"
05/28/2021,"33.94","39.00","33.56","37.08","262,504"
05/27/2021,"33.61","34.00","32.95","33.95","88,461"
05/26/2021,"33.80","34.50","32.86","33.73","70,735"
05/25/2021,"34.81","35.37","33.14","33.76","58,794"
05/24/2021,"32.19","34.93","32.11","34.44","89,663"
05/21/2021,"33.07","33.40","32.40","33.25","58,992"
05/20/2021,"32.60","33.45","32.00","32.47","59,494"
05/19/2021,"31.54","33.00","30.67","32.20","63,236"
05/18/2021,"32.56","33.18","31.54","31.55","97,081"
05/17/2021,"32.89","33.10","32.04","32.89","41,659"
05/14/2021,"31.89","33.20","31.89","32.95","33,796"
05/13/2021,"32.05","32.48","30.20","31.78","81,739"
05/12/2021,"31.21","32.99","31.21","31.58","101,040"
05/11/2021,"29.82","33.00","29.07","32.30","69,018"
05/10/2021,"33.80","34.16","31.05","31.24","90,298"
05/07/2021,"34.01","35.25","33.20","33.79","59,519"
05/06/2021,"35.07","35.10","32.66","33.91","108,661"
05/05/2021,"34.83","36.32","34.12","35.90","127,852"
05/04/2021,"35.23","35.49","33.36","34.09","118,630"
05/03/2021,"38.14","38.19","35.25","35.51","107,698"
04/30/2021,"37.56","38.53","36.80","37.60","68,875"
04/29/2021,"40.00","40.00","36.80","38.17","112,716"
04/28/2021,"39.17","40.25","38.10","39.62","125,628"
04/27/2021,"37.37","40.77","37.09","39.80","210,311"
04/26/2021,"35.56","38.99","35.33","38.10","217,450"
04/23/2021,"36.69","38.50","35.79","36.43","228,290"
04/22/2021,"35.02","41.25","34.68","36.13","609,313"
04/21/2021,"31.50","36.49","31.31","35.50","279,735"
04/20/2021,"32.51","33.00","31.61","32.02","107,155"
04/19/2021,"33.50","33.95","32.00","33.28","178,417"
04/16/2021,"32.50","34.25","31.25","33.64","301,177"
04/15/2021,"36.54","37.10","32.45","32.60","483,066"
04/14/2021,"39.63","40.90","35.00","35.36","1,120,073"
04/13/2021,"37.47","41.49","34.50","36.09","647,803"
04/12/2021,"47.00","47.49","38.04","39.15","1,433,226"
04/09/2021,"63.01","69.77","50.60","53.60","6,893,527"
04/08/2021,"51.74","52.90","45.34","50.50","900,965"
04/07/2021,"51.50","59.48","48.60","51.28","2,067,165"
04/06/2021,"45.00","58.50","45.00","50.00","3,611,186"
04/05/2021,"36.99","42.75","36.25","42.39","826,463"
04/01/2021,"35.07","35.60","33.95","34.72","207,491"
03/31/2021,"32.96","34.99","32.94","34.09","218,049"
03/30/2021,"32.50","33.70","31.28","32.90","257,511"
03/29/2021,"29.70","33.42","29.70","32.62","288,699"
03/26/2021,"30.13","31.80","29.72","30.90","259,364"
03/25/2021,"30.27","31.50","28.53","29.99","355,090"
03/24/2021,"32.05","35.90","30.74","31.70","895,751"
03/23/2021,"30.83","32.45","29.71","30.74","441,135"
03/22/2021,"30.06","30.90","29.35","30.74","259,998"
03/19/2021,"28.55","30.00","28.10","30.00","242,290"
03/18/2021,"29.00","30.18","28.27","29.10","296,947"
03/17/2021,"28.06","29.41","27.72","29.40","262,013"
03/16/2021,"29.05","30.20","28.03","28.70","303,320"
03/15/2021,"28.46","29.69","27.87","28.60","205,742"
03/12/2021,"27.50","30.95","27.40","29.12","611,022"
03/11/2021,"28.50","30.29","27.20","27.30","831,494"
03/10/2021,"31.82","32.44","28.60","29.77","554,818"
03/09/2021,"41.60","41.80","29.35","32.69","2,104,243"
03/08/2021,"23.01","52.98","22.60","37.20","7,232,325"
03/05/2021,"23.07","23.40","19.52","23.00","241,536"
03/04/2021,"26.83","27.00","21.47","22.37","321,511"
03/03/2021,"30.71","31.57","27.01","27.01","204,178"
03/02/2021,"33.88","33.94","30.51","30.81","131,043"
03/01/2021,"32.10","33.68","31.62","33.68","86,136"
02/26/2021,"32.42","32.88","30.11","31.33","178,712"
02/25/2021,"34.50","35.81","32.14","32.63","194,704"
02/24/2021,"33.11","33.95","32.25","33.68","103,679"
02/23/2021,"34.60","34.60","31.29","33.06","238,823"
02/22/2021,"37.27","37.58","35.31","35.33","159,899"
02/19/2021,"37.91","38.49","35.77","36.00","198,995"
02/18/2021,"38.02","38.81","37.06","37.90","118,364"
02/17/2021,"37.79","38.87","37.25","38.68","106,778"
02/16/2021,"39.10","39.93","37.62","37.66","162,341"
02/12/2021,"39.93","41.50","38.50","39.04","311,701"
02/11/2021,"37.00","39.99","36.29","39.98","404,761"
02/10/2021,"38.40","38.74","36.40","36.72","213,536"
02/09/2021,"38.46","39.68","37.29","38.82","298,545"
02/08/2021,"37.98","38.30","36.75","37.80","323,244"
02/05/2021,"38.68","39.45","37.52","37.99","191,431"
02/04/2021,"41.40","41.97","37.10","38.07","298,145"
02/03/2021,"37.69","43.70","37.24","39.63","806,993"
02/02/2021,"36.54","39.50","35.50","36.44","304,444"
02/01/2021,"37.48","38.28","35.60","35.92","201,249"
01/29/2021,"34.54","38.96","34.20","37.50","421,787"
01/28/2021,"34.25","35.55","33.50","34.20","228,354"
01/27/2021,"36.65","36.95","33.39","34.19","343,061"
01/26/2021,"36.25","41.77","35.68","36.54","470,399"
01/25/2021,"36.41","36.55","35.00","36.16","151,795"
01/22/2021,"36.69","37.55","35.54","36.50","175,027"
01/21/2021,"37.66","37.66","36.00","36.70","98,489"
01/20/2021,"37.55","38.39","36.36","37.30","172,932"
01/19/2021,"37.93","40.10","37.02","37.27","259,257"
01/15/2021,"35.93","43.00","35.51","37.45","694,863"
01/14/2021,"35.75","36.70","35.25","35.90","156,538"
01/13/2021,"36.35","36.40","35.11","35.75","121,371"
01/12/2021,"36.00","36.73","35.10","36.13","175,829"
01/11/2021,"36.60","36.94","35.14","35.71","186,803"
01/08/2021,"38.24","39.00","36.19","37.00","227,331"
01/07/2021,"34.80","45.45","34.10","38.09","1,144,733"
01/06/2021,"35.00","35.50","33.80","34.45","205,185"
01/05/2021,"34.65","35.45","33.95","35.00","132,944"
01/04/2021,"36.23","36.89","34.33","34.93","167,595"
12/31/2020,"35.35","38.50","33.22","36.47","389,105"
12/30/2020,"35.09","39.48","35.00","35.10","381,401"
12/29/2020,"36.69","37.09","35.00","35.00","272,830"
12/28/2020,"40.00","40.00","36.78","37.40","365,812"
12/24/2020,"41.95","42.00","39.05","39.28","263,518"
12/23/2020,"38.07","44.98","37.10","40.07","1,256,304"
12/22/2020,"38.55","41.19","36.21","37.85","895,409"
12/21/2020,"36.60","41.50","34.40","36.75","1,324,556"
12/18/2020,"40.00","41.77","37.02","38.22","1,625,280"
12/17/2020,"46.68","49.04","43.37","44.52","774,483"
12/16/2020,"46.27","52.66","45.33","48.69","715,702"
12/15/2020,"51.50","65.00","43.00","52.90","4,326,366"
12/14/2020,"45.97","48.50","38.88","46.80","1,717,604"
12/11/2020,"62.00","64.25","42.20","56.00","3,768,763"
12/10/2020,"86.00","128.00","67.26","72.22","9,342,196"
12/09/2020,"16.07","158.07","12.15","57.10","19,193,160"
12/08/2020,"5.28","5.32","5.03","5.20","9,394"
12/07/2020,"5.75","5.75","5.25","5.39","5,745"
12/04/2020,"5.49","5.65","5.25","5.62","13,146"
12/03/2020,"5.65","5.65","5.22","5.60","33,489"
12/02/2020,"5.35","5.80","5.35","5.60","52,489"
12/01/2020,"5.36","5.59","5.01","5.48","8,542"
11/30/2020,"5.70","5.70","5.30","5.30","19,131"
11/27/2020,"5.22","5.49","5.22","5.35","33,772"
11/25/2020,"5.45","5.64","5.13","5.30","31,499"
11/24/2020,"5.48","5.48","5.13","5.28","33,420"
11/23/2020,"5.32","5.58","5.01","5.49","54,537"
11/20/2020,"5.50","5.50","4.90","5.32","33,961"
11/19/2020,"4.90","5.40","4.63","5.40","52,540"
11/18/2020,"4.50","5.23","4.45","4.98","146,918"
11/17/2020,"4.79","5.38","4.12","4.16","36,900"
11/16/2020,"3.60","4.60","3.60","4.59","38,163"
11/13/2020,"3.68","3.68","3.40","3.48","5,602"
11/12/2020,"4.20","4.20","3.80","4.05","5,027"
11/11/2020,"4.20","4.20","4.10","4.19","911"
11/10/2020,"4.23","4.24","4.23","4.23","1,796"
11/09/2020,"4.07","4.19","3.75","4.19","3,349"
11/06/2020,"3.61","3.92","3.43","3.89","4,478"
11/05/2020,"3.69","3.69","3.65","3.65","3,833"
11/04/2020,"3.50","3.69","3.26","3.69","4,791"
11/03/2020,"3.49","3.50","3.37","3.50","1,919"
11/02/2020,"3.55","3.55","3.42","3.51","5,711"
10/30/2020,"3.75","3.92","3.51","3.51","7,256"
10/29/2020,"4.04","4.09","3.48","3.67","6,382"
10/28/2020,"4.00","4.00","3.82","3.85","4,248"
10/27/2020,"4.20","4.20","4.00","4.06","10,272"
10/26/2020,"4.12","4.12","4.01","4.06","4,151"
10/23/2020,"4.01","4.20","4.01","4.20","3,095"
10/22/2020,"4.31","4.41","4.17","4.20","5,399"
10/21/2020,"4.33","4.33","4.25","4.32","2,949"
10/20/2020,"4.45","4.79","4.25","4.75","6,792"
10/19/2020,"4.54","4.79","4.10","4.60","13,620"
10/16/2020,"4.57","4.79","4.57","4.79","1,490"
10/15/2020,"4.76","4.79","4.40","4.43","4,936"
10/14/2020,"4.63","4.79","4.40","4.79","3,697"
10/13/2020,"4.50","4.79","4.37","4.48","7,855"
10/12/2020,"5.00","5.00","4.76","4.80","4,168"
10/09/2020,"5.32","5.32","4.80","5.00","11,226"
10/08/2020,"4.47","4.92","4.47","4.90","16,221"
10/07/2020,"4.37","4.50","4.37","4.50","3,666"
10/06/2020,"4.34","4.50","4.27","4.50","2,250"
10/05/2020,"4.31","4.49","4.26","4.28","24,927"
10/02/2020,"4.50","4.50","4.25","4.29","17,312"
10/01/2020,"4.75","4.79","4.50","4.58","6,774"
09/30/2020,"4.75","4.98","4.34","4.60","26,979"
09/29/2020,"4.94","4.94","4.07","4.60","124,851"
09/28/2020,"5.00","5.08","4.90","4.91","44,251"
09/25/2020,"5.75","5.75","4.35","5.00","459,525"
