Date,Open,High,Low,Close,Volume
08/20/2021,"33.40","35.46","33.29","35.24","139,543"
08/19/2021,"33.35","35.82","32.56","33.28","112,143"
08/18/2021,"32.65","35.35","32.05","33.66","111,000"
08/17/2021,"34.69","35.13","31.40","32.69","147,278"
08/16/2021,"34.23","35.73","33.85","34.25","295,859"
08/13/2021,"32.04","34.36","32.04","33.82","110,853"
08/12/2021,"32.87","34.36","32.04","32.24","268,799"
08/11/2021,"33.71","34.89","33.36","33.54","223,946"
08/10/2021,"32.25","34.39","31.53","33.83","126,261"
08/09/2021,"30.80","32.93","30.58","32.50","188,495"
08/06/2021,"31.30","32.59","30.24","30.67","133,917"
08/05/2021,"30.55","31.90","29.46","31.58","102,762"
08/04/2021,"27.45","31.52","27.45","30.66","213,722"
08/03/2021,"25.74","28.96","25.50","27.62","187,178"
08/02/2021,"24.95","25.74","24.54","25.67","124,673"
07/30/2021,"23.43","24.86","22.94","24.52","136,547"
07/29/2021,"23.12","23.56","22.87","23.49","120,728"
07/28/2021,"22.37","23.15","22.20","23.00","140,563"
07/27/2021,"22.68","23.35","22.17","22.38","168,494"
07/26/2021,"23.63","23.95","22.50","22.82","91,836"
07/23/2021,"22.05","23.57","21.47","23.37","359,156"
07/22/2021,"21.53","23.16","21.05","22.16","170,960"
07/21/2021,"21.52","22.49","20.88","21.71","139,088"
07/20/2021,"19.97","22.33","19.30","21.50","173,744"
07/19/2021,"19.80","20.90","19.21","19.82","389,383"
07/16/2021,"19.38","20.00","18.57","19.29","666,474"
07/15/2021,"18.68","20.00","18.68","19.12","167,948"
07/14/2021,"18.79","19.77","18.01","18.80","85,517"
07/13/2021,"18.98","20.00","18.39","18.59","306,899"
07/12/2021,"19.39","20.84","18.01","19.24","253,444"
07/09/2021,"20.52","21.00","19.01","19.33","177,147"
07/08/2021,"19.32","20.01","19.00","19.85","179,309"
07/07/2021,"21.19","21.51","19.01","19.63","230,821"
07/06/2021,"21.38","22.49","20.88","21.19","202,000"
07/02/2021,"21.92","22.87","21.00","22.23","51,215"
07/01/2021,"22.81","22.90","21.00","22.24","552,560"
06/30/2021,"19.64","23.17","19.01","22.70","700,323"
06/29/2021,"18.97","20.53","18.73","19.98","178,037"
06/28/2021,"19.54","19.54","18.01","19.12","445,419"
06/25/2021,"21.65","23.47","18.86","18.86","810,603"
06/24/2021,"22.00","23.77","19.37","21.18","3,906,596"
