Date,Open,High,Low,Close,Volume
08/11/2021,"9.67","9.67","9.67","9.67","198"
08/10/2021,"9.70","9.70","9.61","9.65","12,740"
08/09/2021,"9.70","9.70","9.70","9.70","1,935"
08/06/2021,"9.75","9.75","9.75","9.75","2"
08/05/2021,"9.75","9.75","9.75","9.75","705"
08/04/2021,"9.75","9.75","9.73","9.75","6,105"
08/02/2021,"9.75","9.75","9.75","9.75","1"
07/30/2021,"9.75","9.75","9.75","9.75","2,347"
07/29/2021,"9.80","9.80","9.78","9.78","3,505"
07/28/2021,"9.81","9.81","9.80","9.80","787"
07/26/2021,"9.94","9.94","9.94","9.94","32"
07/23/2021,"9.88","9.94","9.85","9.94","3,109"
07/22/2021,"9.92","9.92","9.85","9.85","2,952"
07/21/2021,"9.85","9.85","9.85","9.85","561"
07/20/2021,"9.82","9.82","9.82","9.82","80"
07/19/2021,"9.85","9.86","9.82","9.82","1,211"
07/16/2021,"9.85","9.85","9.85","9.85","29"
07/15/2021,"9.85","9.85","9.85","9.85","960"
07/14/2021,"9.97","9.97","9.97","9.97","280"
07/13/2021,"9.93","9.93","9.93","9.93","341"
07/12/2021,"10.04","10.05","9.99","10.05","36,470"
07/09/2021,"9.98","9.98","9.98","9.98","2,539"
07/08/2021,"9.94","10.03","9.94","9.98","30,657"
07/07/2021,"9.85","9.95","9.85","9.95","1,743"
07/06/2021,"9.95","10.00","9.85","9.86","12,510"
07/02/2021,"9.80","9.91","9.80","9.90","40,941"
07/01/2021,"9.80","9.91","9.80","9.89","220,531"
06/30/2021,"9.85","9.91","9.81","9.85","30,996"
06/29/2021,"9.91","9.95","9.86","9.91","1,170,744"
