Date,Open,High,Low,Close,Volume
08/30/2021,"10.25","10.61","10.00","10.01","24,765"
08/27/2021,"9.81","10.57","9.81","10.14","25,833"
08/26/2021,"10.32","10.54","9.78","9.91","68,242"
08/25/2021,"10.47","10.88","10.45","10.45","67,933"
08/24/2021,"10.70","11.00","10.43","10.75","104,390"
08/23/2021,"10.22","10.97","10.21","10.86","68,129"
08/20/2021,"10.39","10.80","10.00","10.22","89,994"
08/19/2021,"10.46","10.78","10.11","10.57","69,281"
08/18/2021,"10.36","11.82","10.25","10.73","30,914"
08/17/2021,"11.09","11.79","10.26","10.55","91,277"
08/16/2021,"11.82","12.35","11.37","11.93","42,715"
08/13/2021,"11.42","12.60","11.10","11.59","65,156"
08/12/2021,"11.66","11.84","11.20","11.59","30,903"
08/11/2021,"11.86","11.99","10.99","11.49","25,917"
08/10/2021,"11.76","12.09","11.66","11.99","32,071"
08/09/2021,"11.19","12.19","11.19","11.90","88,334"
08/06/2021,"11.32","12.00","10.81","11.38","39,741"
08/05/2021,"10.47","11.27","10.47","11.11","115,394"
08/04/2021,"11.02","11.44","10.44","10.81","126,565"
08/03/2021,"12.17","12.20","11.03","11.18","100,429"
08/02/2021,"12.35","12.35","11.82","11.99","298,537"
07/30/2021,"12.00","12.45","11.80","12.43","227,057"
07/29/2021,"12.20","12.25","11.49","11.86","27,615"
07/28/2021,"10.51","12.13","10.51","11.48","32,046"
07/27/2021,"10.94","11.79","10.58","11.10","154,874"
07/26/2021,"11.69","11.69","10.75","11.08","141,748"
07/23/2021,"12.04","12.47","11.49","11.92","98,267"
07/22/2021,"12.08","12.73","11.74","12.36","50,020"
07/21/2021,"11.21","12.15","11.21","11.88","211,315"
07/20/2021,"11.25","11.67","11.10","11.40","193,244"
07/19/2021,"11.29","11.29","11.10","11.23","35,154"
07/16/2021,"11.33","11.85","11.20","11.35","22,196"
07/15/2021,"11.16","11.37","10.53","11.20","126,984"
07/14/2021,"12.00","12.00","11.00","11.32","104,595"
07/13/2021,"11.83","12.05","11.53","11.83","87,227"
07/12/2021,"11.95","12.07","11.48","11.88","74,744"
07/09/2021,"11.44","12.10","11.09","11.87","85,417"
07/08/2021,"10.92","11.77","10.81","11.33","156,778"
07/07/2021,"11.16","11.58","10.89","11.15","298,032"
07/06/2021,"12.15","12.48","11.06","11.16","190,172"
07/02/2021,"12.51","12.66","11.86","12.13","130,256"
07/01/2021,"12.81","13.00","11.62","12.51","390,726"
06/30/2021,"13.15","13.39","12.20","13.00","66,548"
06/29/2021,"13.44","13.48","13.00","13.15","115,321"
06/28/2021,"13.40","13.49","12.90","13.29","145,542"
06/25/2021,"13.76","13.76","13.13","13.52","77,892"
06/24/2021,"13.50","14.18","13.46","13.75","100,624"
06/23/2021,"13.46","14.35","13.16","13.31","199,293"
06/22/2021,"13.64","13.88","13.13","13.43","246,618"
06/21/2021,"13.75","14.18","13.23","13.61","173,244"
06/18/2021,"14.20","14.40","13.31","13.80","143,705"
06/17/2021,"13.71","14.50","13.71","14.12","49,413"
06/16/2021,"14.85","14.88","13.76","14.00","140,460"
06/15/2021,"14.48","14.85","13.83","14.85","114,683"
06/14/2021,"14.45","14.96","14.29","14.56","64,285"
06/11/2021,"14.32","15.08","14.00","14.37","32,228"
06/10/2021,"14.00","14.35","13.73","14.31","119,816"
06/09/2021,"14.26","14.86","13.55","13.79","210,092"
06/08/2021,"14.25","14.76","13.78","13.91","147,487"
06/07/2021,"13.57","14.97","13.27","14.02","221,572"
06/04/2021,"14.97","15.15","13.20","13.34","217,704"
06/03/2021,"14.75","16.16","14.01","15.01","124,449"
06/02/2021,"15.02","16.93","14.50","14.78","190,250"
06/01/2021,"14.82","15.75","14.54","14.72","129,466"
05/28/2021,"15.86","15.86","13.12","15.06","304,600"
05/27/2021,"16.10","16.98","15.53","15.89","92,510"
05/26/2021,"15.32","16.55","14.93","16.05","73,257"
05/25/2021,"18.17","18.28","15.50","15.51","142,414"
05/24/2021,"17.88","18.45","15.19","18.42","338,639"
05/21/2021,"15.85","19.74","15.67","17.61","1,238,437"
05/20/2021,"13.41","14.71","13.30","14.59","205,973"
05/19/2021,"11.93","13.36","11.85","13.29","135,535"
05/18/2021,"12.12","12.20","11.55","11.89","26,793"
05/17/2021,"11.00","12.15","11.00","12.14","55,838"
05/14/2021,"10.12","11.05","9.82","11.05","62,109"
05/13/2021,"10.94","10.94","9.75","9.75","39,909"
05/12/2021,"11.21","11.24","10.57","10.97","24,689"
05/11/2021,"10.77","11.38","10.56","11.31","58,141"
05/10/2021,"11.65","11.89","10.76","10.98","29,592"
05/07/2021,"11.51","11.94","11.40","11.50","20,591"
05/06/2021,"11.72","12.24","11.34","11.50","20,117"
05/05/2021,"12.26","12.32","11.67","11.67","118,060"
05/04/2021,"11.91","12.41","10.52","12.22","62,463"
05/03/2021,"12.36","12.51","11.67","11.92","32,499"
04/30/2021,"12.75","12.78","12.10","12.18","66,960"
04/29/2021,"12.40","12.73","12.22","12.42","46,604"
04/28/2021,"12.40","12.55","12.15","12.20","26,329"
04/27/2021,"12.95","12.95","12.07","12.40","98,817"
04/26/2021,"13.16","13.16","12.70","12.75","45,522"
04/23/2021,"12.88","13.16","12.51","12.88","46,421"
04/22/2021,"12.73","13.39","12.52","12.93","40,159"
04/21/2021,"12.13","12.96","12.02","12.69","52,455"
04/20/2021,"12.73","12.73","12.09","12.34","31,551"
04/19/2021,"13.12","13.25","12.41","12.80","43,770"
04/16/2021,"13.53","13.63","12.90","12.90","51,366"
04/15/2021,"13.00","13.88","13.00","13.79","28,356"
04/14/2021,"13.95","14.94","12.45","12.94","202,686"
04/13/2021,"13.67","15.00","13.16","13.86","93,365"
04/12/2021,"13.98","14.37","13.23","13.89","53,512"
04/09/2021,"14.56","15.49","13.21","13.50","68,176"
04/08/2021,"13.45","14.59","12.67","14.32","97,725"
04/07/2021,"13.24","13.69","12.64","13.35","199,939"
04/06/2021,"13.01","13.25","12.30","13.00","245,884"
04/05/2021,"13.91","13.96","12.96","13.00","202,115"
04/01/2021,"15.54","16.44","13.15","13.46","271,535"
03/31/2021,"14.84","16.42","14.75","15.40","296,221"
03/30/2021,"15.96","15.96","14.16","14.70","161,091"
03/29/2021,"17.64","17.68","15.50","15.50","95,133"
03/26/2021,"18.86","20.32","17.29","17.64","40,573"
03/25/2021,"19.62","20.55","18.35","18.79","42,079"
03/24/2021,"22.10","23.45","19.91","20.02","54,426"
03/23/2021,"24.43","24.43","21.76","22.20","17,147"
03/22/2021,"23.34","24.41","22.04","24.31","294,842"
03/19/2021,"23.50","24.44","23.07","23.50","21,755"
03/18/2021,"22.89","24.39","22.60","23.84","21,008"
03/17/2021,"22.99","24.58","22.40","23.28","106,643"
03/16/2021,"22.81","24.16","22.46","23.18","21,415"
03/15/2021,"23.59","23.59","21.95","23.20","29,537"
03/12/2021,"21.69","24.71","21.69","23.91","32,545"
03/11/2021,"22.03","22.47","21.22","22.04","25,518"
03/10/2021,"22.79","23.25","21.57","22.20","38,651"
03/09/2021,"20.99","22.72","20.99","22.17","11,027"
03/08/2021,"21.03","21.95","20.67","20.67","33,134"
03/05/2021,"21.95","22.00","20.39","21.02","30,016"
03/04/2021,"23.10","23.40","21.87","22.09","21,165"
03/03/2021,"24.62","24.62","23.60","23.79","10,791"
03/02/2021,"24.82","24.82","23.90","24.10","358,795"
03/01/2021,"23.41","25.84","23.37","24.97","95,127"
02/26/2021,"23.14","23.30","22.01","22.73","67,085"
02/25/2021,"24.80","24.95","23.28","23.51","72,859"
02/24/2021,"25.22","25.22","23.75","24.32","34,903"
02/23/2021,"23.20","25.01","23.00","24.73","68,575"
02/22/2021,"26.50","27.05","23.70","23.83","156,444"
02/19/2021,"27.29","28.23","26.00","26.16","50,956"
02/18/2021,"26.90","27.78","26.42","27.53","34,517"
02/17/2021,"28.11","28.11","27.03","27.14","50,980"
02/16/2021,"29.64","29.80","28.11","28.30","109,729"
02/12/2021,"30.08","30.18","28.60","28.94","54,271"
02/11/2021,"29.29","30.56","29.01","30.22","81,925"
02/10/2021,"28.83","30.93","28.13","29.49","116,834"
02/09/2021,"29.21","29.35","28.44","29.18","99,657"
02/08/2021,"30.98","30.98","28.29","28.98","139,796"
02/05/2021,"27.98","30.73","27.89","30.57","152,037"
02/04/2021,"28.95","33.70","25.16","27.63","398,125"
02/03/2021,"26.30","28.75","25.52","28.50","192,357"
02/02/2021,"23.00","26.69","23.00","25.96","315,193"
02/01/2021,"21.04","22.60","21.04","21.81","112,817"
01/29/2021,"20.36","20.95","20.33","20.72","89,396"
01/28/2021,"20.73","21.01","20.12","20.42","88,168"
01/27/2021,"21.49","21.49","20.70","20.94","155,113"
01/26/2021,"21.46","21.99","21.25","21.49","125,664"
01/25/2021,"21.42","22.27","21.29","21.39","120,390"
01/22/2021,"22.39","22.50","21.28","21.40","130,582"
01/21/2021,"22.89","23.40","22.18","22.40","42,940"
01/20/2021,"22.67","24.39","22.60","22.85","92,640"
01/19/2021,"24.27","24.62","21.08","22.50","621,187"
01/15/2021,"24.28","24.88","23.74","24.00","603,478"
01/14/2021,"25.35","25.35","24.41","24.60","694,662"
01/13/2021,"25.00","25.61","24.56","25.09","454,399"
01/12/2021,"25.00","25.48","24.77","25.47","238,428"
01/11/2021,"24.99","26.20","24.50","24.80","758,242"
01/08/2021,"26.00","28.88","22.30","25.06","5,520,879"
