Date,Open,High,Low,Close,Volume
08/12/2021,"5.69","5.77","5.46","5.73","198,347"
08/11/2021,"5.22","5.74","5.04","5.72","495,900"
08/10/2021,"5.08","5.19","4.86","5.18","225,270"
08/09/2021,"5.11","5.11","4.75","5.01","226,740"
08/06/2021,"5.13","5.23","4.93","5.11","139,900"
08/05/2021,"4.89","5.33","4.82","5.07","557,118"
08/04/2021,"5.28","5.40","4.67","4.82","524,123"
08/03/2021,"5.08","5.60","4.85","5.41","535,314"
08/02/2021,"5.48","5.73","5.02","5.16","558,408"
07/30/2021,"5.20","5.62","5.13","5.51","401,448"
07/29/2021,"5.15","5.64","5.05","5.34","1,366,892"
07/28/2021,"6.12","7.40","5.28","5.62","54,919,688"
07/27/2021,"4.38","4.65","4.25","4.65","395,989"
07/26/2021,"4.67","4.67","4.21","4.38","329,723"
07/23/2021,"4.16","4.35","4.01","4.35","194,778"
07/22/2021,"4.08","4.18","3.91","4.11","189,977"
07/21/2021,"4.18","4.31","4.07","4.08","137,315"
07/20/2021,"4.16","4.30","4.00","4.18","271,908"
07/19/2021,"4.42","4.58","3.86","4.06","428,347"
07/16/2021,"4.62","4.74","4.40","4.46","74,958"
07/15/2021,"4.66","4.87","4.45","4.55","172,381"
07/14/2021,"5.34","5.60","4.66","4.75","361,680"
07/13/2021,"5.28","5.79","5.11","5.46","511,721"
07/12/2021,"5.17","5.50","5.14","5.40","193,576"
07/09/2021,"5.18","5.62","5.08","5.22","306,398"
07/08/2021,"5.08","5.38","4.91","5.18","357,168"
07/07/2021,"5.88","6.03","5.05","5.35","538,176"
07/06/2021,"6.01","6.56","5.65","5.88","1,257,445"
07/02/2021,"5.81","6.12","5.50","6.08","271,166"
07/01/2021,"6.19","6.48","5.78","5.83","436,337"
06/30/2021,"6.54","6.80","6.10","6.19","736,962"
06/29/2021,"7.22","7.50","6.60","6.85","1,686,599"
06/28/2021,"7.23","7.79","6.35","7.69","2,153,407"
06/25/2021,"7.20","9.37","7.15","7.86","34,434,781"
06/24/2021,"5.00","5.80","4.50","5.60","5,717,725"
