Date,Open,High,Low,Close,Volume
08/30/2021,"9.88","9.88","9.85","9.87","113,347"
08/27/2021,"9.90","9.90","9.86","9.88","29,764"
08/26/2021,"9.90","9.90","9.85","9.88","118,023"
08/25/2021,"9.90","9.94","9.85","9.94","12,246"
08/24/2021,"9.90","9.90","9.84","9.89","16,702"
08/23/2021,"9.87","9.91","9.86","9.90","20,043"
08/20/2021,"9.85","9.90","9.83","9.87","63,640"
08/19/2021,"9.84","9.90","9.84","9.88","18,527"
08/18/2021,"9.85","9.90","9.85","9.90","12,241"
08/17/2021,"9.86","9.90","9.85","9.87","23,563"
08/16/2021,"9.90","9.90","9.85","9.89","57,863"
08/13/2021,"9.93","9.94","9.86","9.94","16,808"
08/12/2021,"9.90","9.92","9.86","9.92","5,785"
08/11/2021,"9.94","9.94","9.86","9.90","12,062"
08/10/2021,"9.95","9.95","9.86","9.91","22,183"
08/09/2021,"9.83","9.94","9.82","9.94","131,237"
08/06/2021,"9.86","9.87","9.82","9.84","36,344"
08/05/2021,"9.86","9.88","9.84","9.88","167,030"
08/04/2021,"9.86","9.88","9.84","9.88","30,910"
08/03/2021,"9.86","9.88","9.85","9.87","10,692"
08/02/2021,"9.90","9.90","9.86","9.88","52,362"
07/30/2021,"9.86","9.90","9.85","9.89","36,258"
07/29/2021,"9.89","9.89","9.85","9.87","28,190"
07/28/2021,"9.87","9.88","9.85","9.88","34,556"
07/27/2021,"9.91","9.91","9.85","9.86","64,369"
07/26/2021,"9.95","9.95","9.89","9.90","126,459"
07/23/2021,"9.96","9.97","9.91","9.92","47,238"
07/22/2021,"9.98","9.99","9.91","9.92","51,197"
07/21/2021,"9.96","9.98","9.93","9.95","136,164"
07/20/2021,"9.91","9.99","9.85","9.89","198,712"
07/19/2021,"9.91","9.92","9.84","9.87","153,285"
07/16/2021,"9.90","9.97","9.88","9.89","337,512"
07/15/2021,"9.94","9.97","9.88","9.88","271,164"
07/14/2021,"9.92","9.95","9.89","9.91","126,886"
07/13/2021,"9.93","9.96","9.90","9.92","496,667"
07/12/2021,"9.98","10.00","9.89","9.93","237,887"
07/09/2021,"9.98","9.98","9.90","9.96","438,106"
07/08/2021,"10.09","10.09","9.89","9.98","2,540,962"
07/07/2021,"9.74","9.74","9.74","9.74","444"
07/06/2021,"9.83","9.90","9.83","9.88","1,148"
07/02/2021,"9.75","9.75","9.73","9.73","2,236"
07/01/2021,"9.90","9.90","9.85","9.85","504"
06/30/2021,"9.74","9.85","9.74","9.85","573"
06/29/2021,"9.83","9.85","9.68","9.85","1,721"
06/28/2021,"9.69","9.90","9.66","9.90","27,590"
06/25/2021,"9.69","9.69","9.69","9.69","6"
06/24/2021,"9.68","9.69","9.68","9.69","2,625"
06/23/2021,"9.67","9.68","9.67","9.68","617"
06/22/2021,"9.74","9.74","9.74","9.74","3,523"
06/21/2021,"9.71","9.71","9.70","9.71","15,566"
06/18/2021,"9.74","9.75","9.73","9.75","4,834"
06/17/2021,"9.74","9.78","9.70","9.78","291,309"
06/16/2021,"9.75","9.75","9.75","9.75","3,695"
06/15/2021,"9.78","9.79","9.75","9.75","1,194"
06/14/2021,"10.07","10.07","9.75","9.89","22,084"
06/11/2021,"9.76","9.87","9.76","9.87","3,172"
06/10/2021,"9.89","9.89","9.81","9.84","2,561"
06/09/2021,"9.89","9.89","9.82","9.82","4,400"
06/08/2021,"9.89","9.89","9.89","9.89","208"
06/07/2021,"9.79","9.81","9.77","9.81","3,720"
06/04/2021,"9.90","9.90","9.81","9.81","500,392"
06/03/2021,"9.76","9.90","9.76","9.84","2,519"
06/02/2021,"9.77","9.92","9.77","9.90","263,881"
06/01/2021,"9.92","9.94","9.82","9.82","8,085"
05/28/2021,"9.90","9.91","9.87","9.88","11,857"
05/27/2021,"9.85","9.92","9.83","9.83","2,723"
05/26/2021,"9.98","9.98","9.82","9.85","17,198"
05/25/2021,"9.73","9.93","9.72","9.76","6,205"
05/24/2021,"9.71","9.71","9.71","9.71","133"
05/21/2021,"9.78","9.84","9.78","9.84","40,382"
05/20/2021,"9.76","9.77","9.76","9.77","387"
05/19/2021,"9.88","9.89","9.78","9.81","2,491"
05/18/2021,"9.85","9.90","9.79","9.79","25,695"
