Date,Open,High,Low,Close,Volume
08/11/2021,"4.85","5.10","4.85","5.00","23,669"
08/10/2021,"5.39","5.42","4.77","4.95","128,575"
08/09/2021,"5.02","5.44","4.98","5.30","30,492"
08/06/2021,"4.96","5.12","4.84","5.09","16,102"
08/05/2021,"4.97","5.15","4.75","5.15","24,517"
08/04/2021,"5.10","5.20","4.96","5.01","37,047"
08/03/2021,"5.21","5.21","5.05","5.20","9,109"
08/02/2021,"5.00","5.22","4.97","5.02","24,559"
07/30/2021,"5.15","5.15","4.90","4.97","23,553"
07/29/2021,"5.24","5.42","5.01","5.01","45,856"
07/28/2021,"5.25","5.48","5.12","5.23","58,449"
07/27/2021,"5.40","5.50","5.19","5.41","53,335"
07/26/2021,"5.40","5.49","5.01","5.40","127,398"
07/23/2021,"4.84","5.25","4.84","5.19","108,286"
07/22/2021,"5.29","5.40","4.27","4.77","355,960"
07/21/2021,"5.67","6.15","5.15","5.15","463,292"
07/20/2021,"7.50","7.78","5.91","6.30","3,225,481"
