Date,Open,High,Low,Close,Volume
08/30/2021,"9.25","9.78","9.25","9.76","674,172"
08/27/2021,"9.05","9.53","8.56","9.21","1,457,496"
08/26/2021,"12.01","12.01","8.75","8.97","4,820,707"
08/25/2021,"12.07","12.27","11.75","12.02","388,380"
08/24/2021,"11.35","12.67","11.20","12.01","514,290"
08/23/2021,"11.85","12.26","11.08","11.22","805,447"
08/20/2021,"11.63","11.90","11.44","11.80","547,547"
08/19/2021,"11.49","11.61","11.32","11.50","388,308"
08/18/2021,"12.15","12.33","11.64","11.66","453,342"
08/17/2021,"12.94","12.94","12.04","12.04","298,455"
08/16/2021,"12.77","13.10","12.77","12.95","138,144"
08/13/2021,"13.26","13.79","12.83","12.95","230,531"
08/12/2021,"13.95","14.09","13.13","13.13","165,715"
08/11/2021,"13.35","14.01","13.24","13.97","425,203"
08/10/2021,"13.17","13.48","13.11","13.45","108,286"
08/09/2021,"13.26","13.39","12.92","13.16","152,994"
08/06/2021,"13.65","13.87","13.09","13.24","131,443"
08/05/2021,"13.49","13.84","13.30","13.54","154,252"
08/04/2021,"13.25","13.74","13.25","13.31","122,314"
08/03/2021,"12.88","13.15","12.83","13.07","232,155"
08/02/2021,"13.22","13.58","12.90","12.96","488,311"
07/30/2021,"13.49","14.01","13.13","13.17","370,963"
07/29/2021,"14.13","14.13","13.42","13.49","319,655"
07/28/2021,"14.02","14.79","13.75","13.92","1,473,934"
07/27/2021,"13.10","14.74","12.92","14.01","1,091,819"
07/26/2021,"13.74","13.89","13.11","13.28","214,025"
07/23/2021,"13.01","13.79","12.85","13.65","436,231"
07/22/2021,"13.25","13.42","12.82","13.04","78,268"
07/21/2021,"12.99","13.67","12.99","13.21","372,917"
07/20/2021,"13.00","13.12","12.91","13.00","342,720"
07/19/2021,"13.00","13.15","12.84","13.06","973,219"
07/16/2021,"13.10","13.10","12.71","12.96","776,433"
07/15/2021,"13.00","13.20","12.90","13.10","780,514"
07/14/2021,"13.11","13.20","12.50","13.05","1,146,471"
07/13/2021,"13.65","13.86","12.98","13.21","1,028,199"
07/12/2021,"13.96","14.20","13.44","13.92","805,470"
07/09/2021,"13.90","14.40","13.80","14.26","852,193"
07/08/2021,"14.14","14.30","13.66","14.15","1,356,587"
07/07/2021,"14.69","15.23","12.75","14.19","2,227,395"
07/06/2021,"14.46","14.58","13.52","14.05","2,790,733"
07/02/2021,"13.50","14.76","13.50","14.07","4,579,855"
07/01/2021,"12.75","14.00","12.75","13.43","13,978,250"
