Date,Open,High,Low,Close,Volume
08/20/2021,"9.85","9.90","9.85","9.90","1,317"
08/19/2021,"9.90","9.90","9.85","9.85","1,219"
08/13/2021,"9.94","9.94","9.94","9.94","105"
08/12/2021,"9.94","9.94","9.94","9.94","131"
08/10/2021,"9.95","9.95","9.95","9.95","18"
08/09/2021,"9.87","9.95","9.87","9.95","61,296"
08/06/2021,"9.87","9.95","9.87","9.90","15,202"
08/05/2021,"9.94","9.94","9.94","9.94","1"
08/04/2021,"9.98","9.98","9.85","9.94","61,340"
08/02/2021,"9.94","9.95","9.94","9.94","6,933"
07/30/2021,"9.88","9.92","9.88","9.92","414"
07/29/2021,"9.95","9.99","9.88","9.98","12,643"
07/28/2021,"9.90","9.99","9.87","9.90","33,477"
07/27/2021,"10.00","10.00","9.89","9.89","21,940"
07/26/2021,"10.00","10.00","9.96","9.96","4,480"
07/23/2021,"10.00","10.00","10.00","10.00","7,771"
07/22/2021,"10.00","10.00","10.00","10.00","43"
07/21/2021,"10.05","10.05","9.94","10.00","5,267"
07/16/2021,"10.15","10.15","10.15","10.15","34"
07/15/2021,"10.15","10.15","10.15","10.15","502"
07/13/2021,"10.21","10.21","10.21","10.21","1"
07/12/2021,"10.29","10.29","10.20","10.21","2,844"
07/09/2021,"10.25","10.36","10.25","10.29","18,479"
07/08/2021,"10.23","10.23","10.23","10.23","2"
07/07/2021,"10.23","10.23","10.23","10.23","1,361"
07/06/2021,"10.20","10.24","10.20","10.24","2,148"
07/02/2021,"10.20","10.20","10.20","10.20","22"
07/01/2021,"10.20","10.28","10.20","10.20","45,624"
06/30/2021,"10.27","10.35","10.25","10.35","1,768"
06/29/2021,"10.26","10.26","10.26","10.26","107"
06/28/2021,"10.32","10.32","10.32","10.32","334"
06/25/2021,"10.25","10.35","10.25","10.35","28,482"
06/24/2021,"10.18","10.28","10.15","10.28","16,778"
06/23/2021,"10.38","10.38","10.38","10.38","315"
06/22/2021,"10.18","10.35","10.14","10.35","3,154"
06/21/2021,"10.35","10.39","10.33","10.33","3,588"
06/18/2021,"10.44","10.51","10.40","10.40","47,014"
06/17/2021,"10.10","10.26","10.10","10.25","6,422"
06/15/2021,"10.07","10.07","10.07","10.07","20"
06/14/2021,"10.07","10.07","10.07","10.07","392"
06/11/2021,"10.06","10.06","10.06","10.06","3"
06/10/2021,"10.07","10.07","10.06","10.06","401"
06/09/2021,"10.10","10.10","10.10","10.10","8"
06/08/2021,"10.10","10.10","10.10","10.10","50,023"
06/07/2021,"10.11","10.12","9.96","10.11","31,920"
06/04/2021,"10.05","10.05","10.00","10.05","3,406"
06/03/2021,"10.00","10.11","9.98","10.00","430,232"
06/02/2021,"9.96","10.00","9.96","10.00","589"
06/01/2021,"10.00","10.00","9.96","9.96","5,185"
05/28/2021,"9.96","10.00","9.96","10.00","836"
05/27/2021,"10.00","10.00","10.00","10.00","8"
05/26/2021,"10.00","10.00","9.96","10.00","2,665"
05/25/2021,"10.00","10.00","10.00","10.00","10,710"
05/24/2021,"9.96","10.00","9.96","10.00","5,635"
05/21/2021,"9.95","9.95","9.95","9.95","402"
05/20/2021,"10.00","10.00","9.99","10.00","91,824"
05/19/2021,"9.92","10.00","9.92","10.00","175,136"
05/18/2021,"9.91","10.00","9.90","9.98","13,222"
05/17/2021,"9.97","10.00","9.97","10.00","16,750"
05/14/2021,"9.97","10.00","9.97","10.00","16,750"
05/13/2021,"9.97","9.97","9.97","9.97","351"
05/12/2021,"10.02","10.02","9.98","10.00","50,068"
05/11/2021,"10.10","10.10","10.10","10.10","35"
05/10/2021,"10.06","10.25","10.00","10.10","64,121"
05/07/2021,"10.05","10.23","10.05","10.20","4,436"
05/06/2021,"10.03","10.20","10.03","10.19","6,391"
05/05/2021,"10.13","10.14","10.05","10.14","6,705"
05/04/2021,"10.12","10.14","10.12","10.14","451"
05/03/2021,"10.09","10.16","10.03","10.04","10,137"
04/30/2021,"10.11","10.11","10.11","10.11","400"
04/29/2021,"10.09","10.09","10.04","10.04","601"
04/28/2021,"10.08","10.08","10.03","10.04","1,389"
04/26/2021,"10.02","10.13","10.02","10.09","3,930"
04/23/2021,"10.03","10.10","10.03","10.05","2,227"
04/22/2021,"10.04","10.14","10.03","10.03","7,836"
04/21/2021,"10.06","10.10","9.99","10.10","59,899"
04/20/2021,"10.06","10.15","10.06","10.06","5,230"
04/19/2021,"10.16","10.17","10.08","10.10","37,946"
04/16/2021,"10.16","10.20","10.16","10.19","2,615"
