Date,Open,High,Low,Close,Volume
08/12/2021,"13.95","14.20","13.47","14.05","1,500,010"
08/11/2021,"13.87","14.00","13.56","13.85","628,539"
08/10/2021,"13.77","13.96","13.52","13.91","349,951"
08/09/2021,"13.54","13.96","13.44","13.77","385,312"
08/06/2021,"13.44","13.82","13.34","13.57","493,486"
08/05/2021,"13.31","13.73","13.29","13.40","719,743"
08/04/2021,"14.07","14.33","13.00","13.34","1,824,220"
08/03/2021,"14.55","14.59","13.87","14.17","1,244,927"
08/02/2021,"14.34","14.72","14.34","14.64","608,519"
07/30/2021,"14.58","14.97","14.31","14.37","403,747"
07/29/2021,"14.33","14.77","14.25","14.68","419,824"
07/28/2021,"15.08","15.08","14.24","14.29","657,887"
07/27/2021,"14.60","15.10","14.40","14.89","656,721"
07/26/2021,"14.22","14.86","14.22","14.72","602,060"
07/23/2021,"14.47","14.65","14.01","14.22","403,569"
07/22/2021,"14.63","14.73","14.39","14.51","475,025"
07/21/2021,"14.42","15.02","14.42","14.74","507,150"
07/20/2021,"14.32","14.52","14.18","14.50","1,039,135"
07/19/2021,"14.66","14.72","13.95","14.15","1,387,405"
07/16/2021,"15.19","15.30","14.71","14.99","1,811,083"
07/15/2021,"14.19","15.05","13.69","14.65","3,356,152"
07/14/2021,"13.74","14.09","13.37","13.98","1,398,325"
07/13/2021,"14.37","14.67","13.56","13.60","2,371,284"
07/12/2021,"14.50","14.60","14.05","14.46","1,103,873"
07/09/2021,"14.98","15.04","14.41","14.57","1,044,469"
07/08/2021,"14.66","14.97","14.16","14.84","1,509,743"
07/07/2021,"15.10","15.14","14.65","14.81","840,895"
07/06/2021,"14.90","15.14","14.52","15.11","1,019,598"
07/02/2021,"15.10","15.25","14.85","14.90","1,304,190"
07/01/2021,"16.07","16.10","14.83","14.93","2,051,544"
06/30/2021,"16.38","16.64","15.86","16.19","1,293,913"
06/29/2021,"16.28","16.69","16.10","16.43","855,679"
06/28/2021,"15.90","16.32","15.90","16.14","871,410"
06/25/2021,"15.50","16.24","15.46","15.97","4,490,916"
06/24/2021,"15.00","15.65","15.00","15.50","1,798,971"
06/23/2021,"15.04","15.27","14.71","14.97","1,489,586"
06/22/2021,"15.27","15.35","14.79","14.89","1,577,845"
06/21/2021,"15.66","16.00","15.13","15.27","1,309,598"
06/18/2021,"16.47","16.61","15.25","15.65","3,697,262"
06/17/2021,"15.90","16.89","15.81","16.35","4,651,435"
06/16/2021,"18.28","18.36","16.53","17.65","3,558,891"
06/15/2021,"18.70","18.95","17.88","18.28","912,376"
06/14/2021,"18.45","19.00","18.36","18.39","785,676"
06/11/2021,"19.30","19.37","18.18","18.38","1,010,075"
06/10/2021,"18.67","19.56","18.51","19.11","1,291,486"
06/09/2021,"17.32","19.47","17.25","18.76","2,257,527"
06/08/2021,"16.10","17.55","15.70","17.22","1,652,130"
06/07/2021,"17.09","17.27","15.96","16.09","957,864"
06/04/2021,"18.31","18.42","16.80","17.03","1,071,091"
06/03/2021,"19.08","19.94","17.68","18.31","1,319,669"
06/02/2021,"17.29","19.33","17.09","19.25","3,838,359"
06/01/2021,"16.49","17.10","15.88","16.88","2,810,360"
05/28/2021,"14.95","16.40","14.88","15.78","1,000,208"
05/27/2021,"14.89","14.92","14.64","14.70","624,063"
05/26/2021,"14.54","15.14","14.54","14.66","649,700"
05/25/2021,"15.65","15.70","14.97","14.98","804,691"
05/24/2021,"16.89","16.89","15.31","15.45","865,016"
05/21/2021,"16.00","17.17","15.68","16.70","1,370,522"
05/20/2021,"15.62","16.05","15.08","15.73","1,005,363"
05/19/2021,"15.95","16.00","15.70","15.71","357,965"
05/18/2021,"16.07","16.10","15.63","16.00","632,603"
05/17/2021,"16.21","16.21","15.55","15.93","519,475"
05/14/2021,"15.36","16.23","15.17","15.97","2,141,671"
05/13/2021,"15.45","15.83","14.91","14.91","1,114,442"
05/12/2021,"14.91","15.70","14.91","15.45","2,143,744"
05/11/2021,"16.65","16.70","15.00","15.08","4,802,142"
05/10/2021,"19.52","19.52","16.50","16.67","3,223,037"
05/07/2021,"20.76","21.00","18.95","19.08","2,145,379"
05/06/2021,"22.84","23.63","19.75","20.58","4,464,606"
05/05/2021,"21.22","23.88","20.56","23.00","14,990,220"
