Date,Open,High,Low,Close,Volume
08/12/2021,"30.24","32.00","29.88","31.74","526,641"
08/11/2021,"30.30","30.72","29.20","30.49","338,152"
08/10/2021,"29.36","32.33","28.01","30.16","520,067"
08/09/2021,"27.41","28.32","26.66","26.77","374,199"
08/06/2021,"26.85","28.29","26.25","26.94","349,151"
08/05/2021,"26.70","27.29","26.06","26.75","142,887"
08/04/2021,"26.94","28.14","26.32","26.70","159,410"
08/03/2021,"26.75","27.23","26.11","27.17","237,327"
08/02/2021,"26.39","26.96","25.94","26.64","194,317"
07/30/2021,"26.14","26.86","25.66","26.16","134,165"
07/29/2021,"26.72","27.18","25.84","26.22","193,092"
07/28/2021,"25.90","27.07","25.71","26.37","113,937"
07/27/2021,"26.51","26.51","25.09","25.68","162,503"
07/26/2021,"29.52","29.76","26.32","26.72","289,704"
07/23/2021,"29.68","29.68","28.56","29.43","131,263"
07/22/2021,"29.63","29.99","28.78","29.37","619,969"
07/21/2021,"28.90","29.55","28.24","29.55","251,802"
07/20/2021,"27.67","28.97","27.56","28.74","309,407"
07/19/2021,"27.57","27.97","27.36","27.69","282,497"
07/16/2021,"29.55","29.55","27.79","28.05","235,706"
07/15/2021,"28.98","29.69","28.13","29.01","151,362"
07/14/2021,"30.05","30.31","28.21","29.22","192,822"
07/13/2021,"30.10","30.39","29.28","29.88","254,922"
07/12/2021,"28.96","30.31","28.71","30.22","189,985"
07/09/2021,"28.20","29.25","28.20","29.08","84,270"
07/08/2021,"28.18","28.34","27.47","27.99","105,178"
07/07/2021,"29.28","29.45","28.15","28.64","143,808"
07/06/2021,"29.80","29.93","28.54","28.98","119,970"
07/02/2021,"29.38","29.91","28.26","29.76","281,751"
07/01/2021,"28.44","29.44","27.90","29.41","307,470"
06/30/2021,"28.99","29.23","28.21","28.23","148,981"
06/29/2021,"29.36","29.89","28.47","29.09","374,884"
06/28/2021,"29.48","29.91","28.87","29.29","242,533"
06/25/2021,"30.06","30.54","29.11","29.58","2,386,532"
06/24/2021,"30.70","30.70","29.65","30.10","185,508"
06/23/2021,"31.10","31.25","30.17","30.53","161,356"
06/22/2021,"32.06","32.07","30.90","31.16","212,881"
06/21/2021,"31.51","32.11","31.01","31.97","319,333"
06/18/2021,"31.98","32.33","30.43","31.31","429,211"
06/17/2021,"31.87","32.02","30.69","31.94","227,294"
06/16/2021,"31.65","31.81","30.76","31.50","184,827"
06/15/2021,"32.24","32.24","30.92","31.73","196,353"
06/14/2021,"32.00","32.27","30.73","32.00","225,736"
06/11/2021,"32.84","32.84","31.86","31.99","171,135"
06/10/2021,"32.98","33.24","32.13","32.64","189,894"
06/09/2021,"33.03","33.75","32.59","32.78","210,052"
06/08/2021,"33.40","33.75","32.57","33.11","164,155"
06/07/2021,"33.41","33.63","32.69","33.24","383,999"
06/04/2021,"33.04","34.18","32.65","33.19","149,280"
06/03/2021,"32.06","33.18","31.53","32.93","174,081"
06/02/2021,"33.45","33.78","31.94","32.23","182,190"
06/01/2021,"32.18","33.69","31.31","33.44","260,283"
05/28/2021,"31.98","32.69","31.79","31.96","243,507"
05/27/2021,"31.44","32.58","31.20","32.01","434,800"
05/26/2021,"32.27","32.71","30.68","31.51","234,630"
05/25/2021,"32.85","33.28","31.86","32.00","374,768"
05/24/2021,"32.19","33.29","31.93","32.65","405,084"
05/21/2021,"32.76","34.41","31.92","32.11","241,007"
05/20/2021,"31.15","32.65","30.81","32.50","388,035"
05/19/2021,"29.51","31.32","28.92","31.14","338,190"
05/18/2021,"30.14","32.14","29.78","29.99","457,212"
05/17/2021,"27.74","30.12","27.74","29.87","170,868"
05/14/2021,"26.45","28.30","26.28","27.88","429,840"
05/13/2021,"27.27","27.55","25.46","26.10","235,089"
05/12/2021,"26.10","27.50","25.73","27.13","435,942"
05/11/2021,"26.84","28.22","25.65","25.96","373,493"
05/10/2021,"27.91","28.27","26.67","26.80","130,708"
05/07/2021,"27.50","28.26","27.41","27.72","134,731"
05/06/2021,"27.38","28.11","26.84","27.41","121,802"
05/05/2021,"28.27","28.62","27.26","27.55","65,169"
05/04/2021,"28.82","28.82","27.52","28.07","70,855"
05/03/2021,"29.61","29.63","28.25","29.00","79,750"
04/30/2021,"28.82","30.30","28.53","29.30","256,236"
04/29/2021,"28.97","29.41","28.31","29.01","92,688"
04/28/2021,"29.34","29.60","28.62","28.99","181,544"
04/27/2021,"29.50","29.83","28.60","29.24","60,935"
04/26/2021,"28.22","30.15","28.14","29.40","194,771"
04/23/2021,"28.07","28.56","27.50","28.14","130,318"
04/22/2021,"28.16","28.70","27.70","28.00","148,198"
04/21/2021,"27.07","28.18","27.07","28.00","121,750"
04/20/2021,"27.11","27.80","26.78","27.42","91,641"
04/19/2021,"28.00","28.46","26.78","27.11","59,991"
04/16/2021,"28.39","28.97","27.55","28.15","83,462"
04/15/2021,"29.20","29.50","27.84","28.28","128,156"
04/14/2021,"28.60","29.33","28.56","29.08","60,514"
04/13/2021,"29.09","29.31","28.00","28.46","313,322"
04/12/2021,"28.41","29.59","28.00","28.72","120,056"
04/09/2021,"28.01","29.18","27.73","28.32","147,108"
04/08/2021,"28.52","28.55","27.97","28.27","116,358"
04/07/2021,"28.85","28.95","27.72","28.26","171,504"
04/06/2021,"33.00","33.01","28.25","28.98","228,464"
04/05/2021,"31.77","33.96","31.77","33.40","239,658"
04/01/2021,"32.93","33.41","31.30","32.09","178,347"
03/31/2021,"31.82","33.43","31.64","33.04","149,806"
03/30/2021,"28.55","32.04","28.20","32.03","174,669"
03/29/2021,"29.16","29.90","28.42","29.03","307,652"
03/26/2021,"29.42","29.42","26.51","27.56","243,900"
03/25/2021,"28.75","31.01","28.03","29.75","159,792"
03/24/2021,"29.65","29.90","27.78","28.75","190,147"
03/23/2021,"29.79","30.82","27.08","28.74","296,337"
03/22/2021,"31.84","31.84","28.76","29.11","378,334"
03/19/2021,"31.42","33.05","30.02","31.36","321,146"
03/18/2021,"31.09","32.50","30.01","30.94","339,526"
03/17/2021,"31.01","31.54","29.84","30.77","333,018"
03/16/2021,"30.63","31.34","29.55","31.01","108,853"
03/15/2021,"30.88","32.96","29.70","30.16","141,409"
03/12/2021,"33.08","33.44","29.88","30.52","194,339"
03/11/2021,"33.89","34.32","31.50","32.83","259,239"
03/10/2021,"34.19","35.39","33.06","33.62","82,479"
03/09/2021,"32.33","34.62","32.13","33.80","107,627"
03/08/2021,"32.69","33.46","31.27","31.81","59,963"
03/05/2021,"33.44","33.44","30.35","32.40","76,139"
03/04/2021,"34.43","34.70","31.63","33.02","126,569"
03/03/2021,"35.08","35.60","34.00","34.67","33,378"
03/02/2021,"36.32","36.79","34.65","34.90","147,879"
03/01/2021,"35.99","36.34","34.24","36.23","104,383"
02/26/2021,"36.14","36.30","34.53","35.47","40,515"
02/25/2021,"37.20","37.20","35.91","36.18","32,396"
02/24/2021,"36.44","37.77","36.44","37.15","29,270"
02/23/2021,"37.22","37.67","36.11","36.88","47,509"
02/22/2021,"37.52","38.95","36.95","37.34","35,725"
02/19/2021,"36.86","39.97","36.86","37.51","64,370"
02/18/2021,"36.12","37.43","35.52","36.99","69,918"
02/17/2021,"35.25","36.87","35.16","36.25","29,174"
02/16/2021,"36.94","36.94","33.34","35.56","103,363"
02/12/2021,"38.57","38.93","36.12","37.09","38,560"
02/11/2021,"39.93","40.47","36.84","38.33","28,699"
02/10/2021,"40.79","40.79","39.17","39.65","28,651"
02/09/2021,"39.97","40.99","39.45","39.77","17,557"
02/08/2021,"39.90","40.39","39.07","40.37","32,300"
02/05/2021,"39.39","40.30","38.90","40.05","48,471"
02/04/2021,"38.52","39.65","38.52","38.87","67,235"
02/03/2021,"37.39","38.73","36.58","38.42","41,518"
02/02/2021,"36.30","38.52","36.30","37.58","95,319"
02/01/2021,"36.33","36.70","35.37","36.04","56,082"
01/29/2021,"35.73","37.49","35.15","35.86","87,870"
01/28/2021,"36.27","36.71","35.42","35.71","54,790"
01/27/2021,"35.69","37.04","34.53","35.52","146,557"
01/26/2021,"36.80","37.14","35.52","36.17","151,390"
01/25/2021,"36.41","37.51","36.05","37.03","132,207"
01/22/2021,"36.03","37.00","35.93","36.58","31,678"
01/21/2021,"36.72","37.40","36.01","36.20","51,325"
01/20/2021,"37.79","37.79","35.71","36.95","71,170"
01/19/2021,"39.11","39.67","36.96","37.98","95,276"
01/15/2021,"38.27","39.08","38.20","38.82","91,571"
01/14/2021,"39.53","40.31","37.88","38.61","150,283"
01/13/2021,"38.46","39.83","37.57","39.50","154,663"
01/12/2021,"35.40","37.44","35.08","37.00","104,445"
01/11/2021,"36.51","37.24","35.01","35.44","83,885"
01/08/2021,"36.76","38.30","35.77","36.80","180,898"
01/07/2021,"36.88","37.60","35.51","36.54","133,862"
01/06/2021,"35.72","37.28","35.39","36.85","92,225"
01/05/2021,"35.24","35.97","34.65","35.26","166,906"
01/04/2021,"36.83","37.87","35.03","35.43","88,616"
12/31/2020,"36.23","37.65","35.27","36.15","102,224"
12/30/2020,"36.10","37.94","36.10","36.47","112,074"
12/29/2020,"36.15","36.64","34.87","36.02","91,425"
12/28/2020,"36.80","37.36","35.45","35.86","55,086"
12/24/2020,"37.30","38.54","35.82","36.48","39,957"
12/23/2020,"37.83","39.79","37.06","37.35","167,425"
12/22/2020,"36.55","37.48","36.01","37.47","133,826"
12/21/2020,"35.80","36.41","34.60","36.30","232,206"
12/18/2020,"37.29","38.58","35.21","35.66","1,033,498"
12/17/2020,"37.90","38.50","37.07","37.66","122,589"
12/16/2020,"39.82","39.82","37.20","37.69","176,073"
12/15/2020,"40.85","40.93","37.71","39.94","233,102"
12/14/2020,"42.24","42.24","39.53","40.85","158,412"
12/11/2020,"42.63","44.65","41.57","41.77","167,795"
12/10/2020,"42.61","43.63","41.65","42.88","130,333"
12/09/2020,"43.62","43.87","41.52","43.40","120,086"
12/08/2020,"43.28","44.14","42.19","43.49","138,793"
12/07/2020,"47.61","47.61","42.50","43.69","284,530"
12/04/2020,"47.18","48.50","46.61","47.75","260,346"
12/03/2020,"43.71","47.52","43.44","46.64","281,057"
12/02/2020,"43.81","44.55","42.77","43.55","101,204"
12/01/2020,"43.75","44.85","42.80","43.99","127,596"
11/30/2020,"47.52","47.52","42.38","43.25","215,753"
11/27/2020,"50.68","51.11","46.50","47.49","88,673"
11/25/2020,"45.98","52.71","45.13","49.56","186,102"
11/24/2020,"42.69","46.78","41.95","46.65","186,657"
11/23/2020,"43.90","43.92","41.75","42.60","252,218"
