Date,Open,High,Low,Close,Volume
08/11/2021,"4.3300","4.3400","4.3300","4.3400","1,914"
08/10/2021,"4.3400","4.5000","4.2301","4.3300","7,559"
08/09/2021,"4.3800","4.4300","4.3400","4.3700","3,060"
08/06/2021,"4.4300","4.6000","4.1901","4.4200","19,479"
08/05/2021,"4.3900","4.5800","4.3452","4.4300","23,446"
08/04/2021,"4.2300","4.6400","4.2300","4.4400","10,979"
08/03/2021,"4.4300","4.5000","4.2800","4.3291","27,447"
08/02/2021,"4.6100","4.6100","4.4300","4.4300","14,785"
07/30/2021,"4.8800","4.9615","4.4400","4.6600","44,876"
07/29/2021,"4.6500","4.9400","4.3300","4.6100","102,555"
07/28/2021,"4.4843","4.6562","4.1200","4.6000","99,136"
07/27/2021,"4.4500","4.4800","4.2000","4.3000","35,084"
07/26/2021,"4.7300","4.7300","4.3200","4.5500","29,845"
07/23/2021,"4.6700","4.9200","4.6000","4.7900","88,371"
07/22/2021,"4.9600","5.0400","4.4600","4.6400","118,293"
07/21/2021,"4.7900","5.1300","4.7000","5.0500","121,991"
07/20/2021,"4.7700","4.9300","4.4500","4.6600","137,766"
07/19/2021,"4.7600","5.1700","4.7600","4.7600","101,999"
07/16/2021,"4.9750","5.3800","4.8000","5.0200","553,331"
07/15/2021,"6.0200","6.7000","4.8500","5.5000","13,006,640"
07/14/2021,"4.7700","5.0000","4.6800","4.9200","534,160"
07/13/2021,"4.4950","4.8300","4.3600","4.6850","49,816"
07/12/2021,"4.5600","4.6600","4.5000","4.6600","1,914"
07/09/2021,"4.5100","4.7150","4.4600","4.7000","14,405"
07/08/2021,"4.5950","4.7000","4.5100","4.7000","27,443"
07/07/2021,"4.6500","4.8697","4.6233","4.7500","17,526"
07/06/2021,"4.8000","4.8777","4.6000","4.6900","7,681"
07/02/2021,"4.7100","4.8900","4.6300","4.8700","3,320"
07/01/2021,"4.7900","4.8500","4.7000","4.8500","2,367"
06/30/2021,"4.7200","4.9900","4.6200","4.8500","47,262"
06/29/2021,"4.5150","4.8897","4.5150","4.7700","47,194"
06/28/2021,"4.8300","4.9050","4.6200","4.8000","65,837"
06/25/2021,"4.9000","5.0000","4.7600","4.8840","49,469"
06/24/2021,"4.9600","5.0500","4.9000","4.9500","5,805"
06/23/2021,"4.9100","5.0500","4.7700","5.0500","48,925"
06/22/2021,"4.6600","4.9500","4.4700","4.8600","22,910"
06/21/2021,"4.8100","4.9100","4.5500","4.7300","29,907"
06/18/2021,"4.9000","5.0600","4.7400","4.8000","22,307"
06/17/2021,"4.7800","4.9400","4.7000","4.9000","34,365"
06/16/2021,"4.4300","4.8000","4.4200","4.6000","25,373"
06/15/2021,"4.7800","4.8520","4.4400","4.6200","24,865"
06/14/2021,"4.9300","4.9339","4.6611","4.7400","193,981"
06/11/2021,"4.9100","5.1499","4.8400","4.9400","98,683"
06/10/2021,"4.9000","4.9600","4.7400","4.9600","21,688"
06/09/2021,"4.8710","5.1800","4.7470","4.9800","30,357"
06/08/2021,"4.9500","4.9899","4.6900","4.9400","40,627"
06/07/2021,"5.0100","5.0100","4.7600","5.0000","5,836"
06/04/2021,"4.7300","5.0302","4.7000","5.0100","32,009"
06/03/2021,"4.9200","4.9800","4.6650","4.9800","42,758"
06/02/2021,"5.0000","5.0200","4.7600","4.8800","38,329"
06/01/2021,"5.2000","5.2000","5.0000","5.0200","2,680"
05/28/2021,"5.0000","5.1200","5.0000","5.1000","9,214"
05/27/2021,"4.9000","5.0250","4.8900","5.0000","27,804"
05/26/2021,"4.7900","5.0500","4.6500","5.0000","3,500"
05/25/2021,"4.9193","5.1862","4.6900","5.0000","12,802"
05/24/2021,"4.9240","5.1000","4.8100","5.0500","9,926"
05/21/2021,"4.9750","5.1000","4.9000","5.1000","14,478"
05/20/2021,"5.1000","5.1100","4.8300","5.0500","11,117"
05/19/2021,"5.0700","5.0700","4.6503","4.9700","3,371"
05/18/2021,"4.8300","5.2000","4.7000","5.1100","11,340"
05/17/2021,"4.7119","4.9500","4.7119","4.8700","2,634"
05/14/2021,"5.1100","5.1100","4.6300","5.0000","17,881"
05/13/2021,"4.5200","5.1400","4.4100","5.1100","84,784"
05/12/2021,"4.7400","5.0720","4.4900","4.5200","18,575"
05/11/2021,"5.0000","5.0000","4.5200","5.0000","8,734"
05/10/2021,"5.2500","5.2600","4.8600","5.1100","20,888"
05/07/2021,"4.8800","5.1800","4.7050","5.1800","27,077"
05/06/2021,"4.5439","5.0039","4.5439","4.8400","8,216"
05/05/2021,"4.9350","4.9700","4.7201","4.8000","11,400"
05/04/2021,"4.9310","5.1000","4.7200","4.9900","5,946"
05/03/2021,"5.0500","5.2900","4.5701","5.1100","14,495"
04/30/2021,"4.9600","5.1500","4.9000","5.1200","16,631"
04/29/2021,"4.8600","5.0846","4.6700","4.9300","45,829"
04/28/2021,"4.7400","4.9200","4.5000","4.9100","27,287"
04/27/2021,"4.5600","4.8100","4.2200","4.6800","28,324"
04/26/2021,"4.4200","4.6100","4.2285","4.5600","20,005"
04/23/2021,"4.1600","4.4800","4.1600","4.3100","12,819"
04/22/2021,"4.2200","4.3500","4.0800","4.1000","38,932"
04/21/2021,"4.0400","4.3800","4.0000","4.2000","36,174"
04/20/2021,"4.5079","4.5079","3.9100","3.9600","88,306"
04/19/2021,"4.4000","4.6057","4.3700","4.5100","19,658"
04/16/2021,"5.0500","5.0562","4.3100","4.4600","110,278"
04/15/2021,"5.0620","5.2500","4.8900","5.0500","28,064"
04/14/2021,"5.1200","5.2700","5.0600","5.1700","30,341"
04/13/2021,"5.3400","5.4400","5.0801","5.3400","28,195"
04/12/2021,"5.3800","5.5800","5.1800","5.3200","58,886"
