Date,Open,High,Low,Close,Volume
08/20/2021,"41.74","43.04","41.56","42.97","580,720"
08/19/2021,"41.48","42.75","41.08","41.85","636,129"
08/18/2021,"41.68","43.46","40.87","43.27","621,590"
08/17/2021,"41.06","42.85","40.38","41.68","796,514"
08/16/2021,"46.94","46.94","40.79","41.58","1,643,419"
08/13/2021,"50.11","50.30","46.14","47.19","1,649,369"
08/12/2021,"50.01","50.76","46.30","47.11","1,300,383"
08/11/2021,"52.23","52.23","49.60","49.98","441,620"
08/10/2021,"51.82","52.93","50.84","51.72","485,692"
08/09/2021,"49.93","52.16","49.28","51.22","290,408"
08/06/2021,"51.59","51.70","49.93","49.98","232,918"
08/05/2021,"48.42","51.63","48.26","51.29","376,124"
08/04/2021,"49.83","49.83","47.95","48.26","471,122"
08/03/2021,"49.67","50.60","48.43","49.02","262,349"
08/02/2021,"49.70","49.95","48.02","49.44","413,703"
07/30/2021,"48.86","49.94","48.65","49.34","186,530"
07/29/2021,"50.41","50.48","48.98","49.11","172,710"
07/28/2021,"49.25","50.61","48.95","50.37","328,887"
07/27/2021,"49.00","49.56","47.51","48.94","388,075"
07/26/2021,"49.09","50.37","48.70","49.46","238,798"
07/23/2021,"48.02","49.47","48.00","49.06","286,786"
07/22/2021,"50.11","50.62","47.25","48.54","606,685"
07/21/2021,"48.55","50.61","48.55","50.23","386,864"
07/20/2021,"47.93","48.49","47.07","48.04","394,057"
07/19/2021,"47.50","48.52","46.20","47.58","604,330"
07/16/2021,"49.65","50.00","47.76","48.11","528,777"
07/15/2021,"50.78","53.00","48.79","49.47","765,245"
07/14/2021,"55.11","55.34","51.51","51.83","1,037,258"
07/13/2021,"57.32","59.00","55.05","55.11","767,489"
07/12/2021,"56.96","58.08","56.00","57.76","417,132"
07/09/2021,"57.75","57.96","56.55","57.74","271,889"
07/08/2021,"56.52","57.40","55.25","57.16","465,536"
07/07/2021,"58.49","58.74","56.83","57.63","377,939"
07/06/2021,"56.89","58.90","56.68","58.44","632,258"
07/02/2021,"57.15","57.62","55.24","56.62","349,507"
07/01/2021,"59.77","59.77","56.52","56.57","472,607"
06/30/2021,"58.89","59.97","58.16","59.11","369,770"
06/29/2021,"59.40","60.70","57.54","59.00","663,281"
06/28/2021,"57.17","60.00","56.84","59.56","802,370"
06/25/2021,"57.33","57.70","55.87","56.96","1,038,435"
06/24/2021,"56.00","57.30","55.20","56.91","629,491"
06/23/2021,"55.26","56.30","54.40","55.00","393,133"
06/22/2021,"56.10","56.80","54.38","55.52","564,209"
06/21/2021,"57.29","57.29","54.65","56.18","567,320"
06/18/2021,"56.00","57.69","55.80","56.50","1,055,618"
06/17/2021,"56.14","56.85","54.00","54.43","1,055,309"
06/16/2021,"55.30","57.25","55.29","57.02","819,422"
06/15/2021,"56.42","57.61","55.05","55.51","542,561"
06/14/2021,"53.50","56.55","53.07","56.10","917,814"
06/11/2021,"53.36","55.99","53.36","55.29","829,643"
06/10/2021,"55.93","57.19","53.50","53.78","1,504,307"
06/09/2021,"59.42","60.36","56.35","56.57","1,147,624"
06/08/2021,"59.00","60.20","56.37","59.46","1,135,888"
06/07/2021,"56.76","61.31","56.22","59.94","696,736"
06/04/2021,"59.06","59.98","56.17","56.76","705,083"
06/03/2021,"60.30","61.50","58.34","58.61","410,086"
06/02/2021,"58.20","62.00","57.29","60.79","901,149"
06/01/2021,"62.75","63.49","57.51","57.75","492,280"
05/28/2021,"60.15","62.43","58.52","62.29","737,308"
05/27/2021,"59.44","60.52","57.68","60.12","565,665"
05/26/2021,"58.15","61.25","57.36","59.74","637,765"
05/25/2021,"55.42","59.24","55.05","58.65","682,767"
05/24/2021,"55.13","55.24","52.94","53.72","492,993"
05/21/2021,"57.09","58.71","54.81","54.90","460,473"
05/20/2021,"57.20","57.73","55.68","56.72","584,293"
05/19/2021,"57.02","57.70","55.17","56.95","465,018"
05/18/2021,"58.22","60.74","57.42","57.88","770,685"
05/17/2021,"55.34","58.25","55.33","57.37","691,417"
05/14/2021,"57.50","58.74","54.18","55.93","722,882"
05/13/2021,"59.85","60.23","54.78","55.12","786,129"
05/12/2021,"59.01","60.42","56.90","58.04","379,571"
05/11/2021,"59.33","61.41","58.80","60.24","486,326"
05/10/2021,"64.01","64.18","60.66","62.01","528,685"
05/07/2021,"65.91","67.30","62.82","64.20","270,537"
05/06/2021,"63.94","65.90","63.82","64.93","702,505"
05/05/2021,"66.00","70.96","62.18","63.78","1,196,056"
05/04/2021,"64.64","65.75","63.18","64.92","681,166"
05/03/2021,"65.54","66.08","64.27","65.39","562,524"
04/30/2021,"64.75","68.49","63.32","65.70","1,552,980"
04/29/2021,"63.80","67.15","63.25","65.55","4,604,960"
04/28/2021,"54.41","61.26","54.26","60.09","1,265,764"
04/27/2021,"56.50","56.61","52.43","54.85","1,929,604"
04/26/2021,"61.11","62.78","60.51","61.96","235,524"
04/23/2021,"64.69","66.42","61.08","61.63","226,521"
04/22/2021,"63.88","67.42","63.49","64.80","316,417"
04/21/2021,"58.89","64.81","58.22","64.12","331,589"
04/20/2021,"59.50","61.40","56.80","59.54","639,122"
04/19/2021,"58.32","60.82","58.05","60.27","346,887"
04/16/2021,"57.69","61.14","55.53","60.09","560,792"
04/15/2021,"58.63","59.26","56.35","57.42","287,840"
04/14/2021,"60.00","60.47","57.13","57.48","277,659"
04/13/2021,"59.93","61.26","58.20","59.03","222,328"
04/12/2021,"61.80","61.99","56.91","59.79","390,901"
04/09/2021,"57.78","61.26","57.27","60.71","587,150"
04/08/2021,"55.32","60.31","54.02","57.55","365,811"
04/07/2021,"56.00","56.55","53.00","54.23","314,997"
04/06/2021,"58.00","60.24","55.73","56.00","357,623"
04/05/2021,"58.00","58.99","54.00","57.84","442,955"
04/01/2021,"61.43","63.36","56.61","57.49","648,974"
03/31/2021,"57.62","60.90","52.23","60.32","1,006,230"
03/30/2021,"54.00","54.40","50.12","53.13","378,660"
03/29/2021,"58.56","59.73","51.52","51.90","495,127"
03/26/2021,"64.28","66.65","56.73","58.12","385,464"
03/25/2021,"65.00","67.00","61.83","62.64","554,876"
03/24/2021,"68.44","69.76","65.07","66.14","310,936"
03/23/2021,"68.86","71.53","65.64","68.27","562,732"
03/22/2021,"63.83","70.27","62.14","69.48","684,717"
03/19/2021,"62.57","65.98","60.00","63.30","1,970,924"
03/18/2021,"61.49","62.37","60.15","60.99","337,421"
03/17/2021,"64.15","65.03","57.23","62.88","732,783"
03/16/2021,"63.97","69.44","62.78","66.61","600,461"
03/15/2021,"60.81","66.52","60.53","64.05","337,299"
03/12/2021,"57.24","61.13","56.03","60.81","293,778"
03/11/2021,"57.50","61.49","55.65","58.42","367,761"
03/10/2021,"53.30","57.45","52.97","56.13","394,612"
03/09/2021,"49.80","54.80","49.46","52.90","758,903"
03/08/2021,"50.37","52.23","47.38","47.42","802,459"
03/05/2021,"52.00","53.77","44.16","48.75","794,743"
03/04/2021,"61.16","62.35","49.87","51.17","866,428"
03/03/2021,"67.83","68.69","62.84","62.84","193,725"
03/02/2021,"72.00","73.22","66.96","68.07","242,350"
03/01/2021,"66.18","71.70","65.94","71.48","946,204"
02/26/2021,"67.45","68.48","62.39","63.48","605,491"
02/25/2021,"73.00","74.11","66.53","67.83","370,633"
02/24/2021,"78.91","79.94","72.07","72.75","244,898"
02/23/2021,"82.69","82.69","73.30","76.62","407,480"
02/22/2021,"90.79","92.95","86.15","86.48","171,818"
02/19/2021,"86.06","92.61","86.06","92.21","163,459"
02/18/2021,"88.12","89.59","84.56","85.14","164,870"
02/17/2021,"94.58","95.48","87.58","88.98","229,580"
02/16/2021,"93.02","94.14","88.79","93.20","323,971"
02/12/2021,"80.27","93.48","79.06","92.13","788,127"
02/11/2021,"80.27","82.92","79.01","80.42","356,064"
02/10/2021,"84.82","86.38","78.55","81.43","443,443"
02/09/2021,"80.50","84.00","78.54","83.41","276,363"
02/08/2021,"84.74","84.74","80.14","80.48","332,771"
02/05/2021,"86.53","87.02","81.86","83.80","152,820"
02/04/2021,"85.00","87.33","84.48","85.25","224,767"
