Date,Open,High,Low,Close,Volume
08/12/2021,"6.58","6.58","6.58","6.58","571"
08/11/2021,"6.83","6.95","6.83","6.95","10,046"
08/10/2021,"6.52","6.85","6.52","6.85","4,880"
08/09/2021,"6.87","6.89","6.60","6.80","4,948"
08/06/2021,"6.47","6.65","6.06","6.40","7,253"
08/05/2021,"6.07","6.90","5.45","6.46","104,781"
08/04/2021,"5.79","6.80","5.59","6.11","11,001"
08/03/2021,"6.31","6.31","5.29","5.41","9,631"
08/02/2021,"6.54","6.55","6.50","6.50","2,815"
07/30/2021,"6.54","6.59","6.51","6.56","11,070"
07/29/2021,"6.71","6.89","6.53","6.89","21,315"
07/28/2021,"6.53","6.90","6.53","6.90","8,177"
07/27/2021,"7.00","7.17","6.53","6.90","4,338"
07/26/2021,"6.88","6.98","6.76","6.98","3,587"
07/23/2021,"7.31","7.31","7.05","7.05","4,705"
07/22/2021,"7.07","7.07","7.00","7.00","912"
07/21/2021,"7.04","7.04","7.02","7.02","6,179"
07/20/2021,"7.34","7.34","7.34","7.34","115"
07/19/2021,"7.28","7.35","7.20","7.34","12,414"
07/16/2021,"7.40","7.40","7.40","7.40","1,572"
07/15/2021,"7.07","7.30","7.07","7.20","4,769"
07/14/2021,"7.43","7.50","7.25","7.25","5,049"
07/13/2021,"7.15","7.28","7.13","7.13","8,307"
07/12/2021,"7.30","7.48","7.18","7.41","26,446"
07/09/2021,"7.50","7.50","7.18","7.22","16,798"
07/08/2021,"7.50","7.65","7.26","7.36","24,824"
07/07/2021,"7.52","7.52","7.40","7.40","8,422"
07/06/2021,"7.69","7.69","7.50","7.51","18,639"
07/02/2021,"7.45","7.57","7.43","7.54","11,390"
07/01/2021,"7.56","7.56","7.55","7.55","11,969"
06/30/2021,"7.70","7.70","7.50","7.60","13,169"
06/29/2021,"7.70","7.75","7.55","7.55","8,845"
06/28/2021,"7.55","7.75","7.55","7.56","8,495"
06/25/2021,"7.60","7.80","7.44","7.75","14,516"
06/24/2021,"7.79","7.86","7.50","7.56","19,934"
06/23/2021,"7.92","8.01","7.37","7.73","45,024"
06/22/2021,"7.74","7.84","7.74","7.84","3,341"
06/21/2021,"7.57","7.67","7.57","7.67","796"
06/18/2021,"7.69","7.88","7.68","7.88","12,286"
06/17/2021,"7.17","8.00","7.17","7.95","41,767"
06/16/2021,"7.55","7.78","7.43","7.78","13,493"
06/15/2021,"7.52","7.80","7.52","7.70","2,268"
06/14/2021,"7.50","7.92","7.37","7.58","2,228"
06/11/2021,"7.84","7.84","7.52","7.63","7,658"
06/10/2021,"7.98","7.98","7.65","7.76","4,737"
06/09/2021,"7.98","7.98","7.64","7.66","2,955"
06/08/2021,"8.00","8.05","7.90","7.90","44,120"
06/07/2021,"8.20","8.20","7.52","7.90","10,928"
06/04/2021,"7.95","8.25","7.68","8.01","38,947"
06/03/2021,"7.39","7.92","7.39","7.87","2,551"
06/02/2021,"7.87","7.92","7.84","7.92","5,409"
06/01/2021,"7.34","7.96","7.24","7.95","31,349"
05/28/2021,"7.23","7.50","7.23","7.33","3,510"
05/27/2021,"7.49","7.49","7.23","7.23","6,034"
05/26/2021,"7.20","7.50","7.20","7.22","5,735"
05/25/2021,"7.30","7.47","7.30","7.46","5,042"
05/24/2021,"7.49","7.50","7.30","7.30","5,255"
05/21/2021,"7.05","7.20","7.05","7.20","2,942"
05/20/2021,"7.10","7.24","7.10","7.12","2,135"
05/19/2021,"7.15","7.15","7.01","7.01","1,676"
05/18/2021,"7.19","7.46","7.18","7.21","4,574"
05/17/2021,"7.30","7.35","7.20","7.20","5,058"
05/14/2021,"7.60","7.60","7.40","7.40","3,082"
05/13/2021,"7.25","7.58","7.25","7.58","7,742"
05/12/2021,"7.58","7.58","7.01","7.39","9,331"
05/11/2021,"7.67","7.79","7.50","7.58","28,008"
05/10/2021,"7.67","8.20","7.67","7.85","39,239"
05/07/2021,"7.36","7.85","7.36","7.67","20,154"
05/06/2021,"7.40","7.48","7.21","7.36","17,022"
05/05/2021,"7.16","7.45","7.16","7.21","12,758"
05/04/2021,"7.14","7.15","7.00","7.15","11,236"
05/03/2021,"7.10","7.30","7.05","7.05","14,665"
04/30/2021,"7.01","7.07","7.00","7.01","5,987"
04/29/2021,"7.15","7.19","7.00","7.06","31,644"
04/28/2021,"7.10","7.45","7.05","7.28","17,717"
04/27/2021,"7.08","7.33","7.05","7.05","3,535"
04/26/2021,"7.10","7.20","7.00","7.08","10,234"
04/23/2021,"7.01","7.29","6.98","7.10","7,939"
04/22/2021,"7.03","7.62","6.90","6.95","10,825"
04/21/2021,"6.56","7.34","6.56","7.10","23,151"
04/20/2021,"6.81","7.01","6.31","6.40","22,706"
04/19/2021,"7.10","7.10","6.81","6.92","15,845"
04/16/2021,"7.03","7.10","6.70","7.06","25,787"
04/15/2021,"7.24","7.30","7.00","7.18","33,698"
04/14/2021,"7.52","7.52","6.98","7.03","28,343"
04/13/2021,"7.06","7.50","6.85","7.42","93,851"
04/12/2021,"7.55","7.60","7.07","7.10","30,959"
04/09/2021,"7.57","7.79","7.30","7.53","46,008"
04/08/2021,"7.90","8.02","7.52","7.86","98,162"
04/07/2021,"8.90","8.98","7.31","7.75","280,951"
04/06/2021,"9.31","9.57","8.90","8.90","163,045"
04/05/2021,"9.19","9.70","9.18","9.49","270,825"
04/01/2021,"9.70","9.80","9.30","9.63","235,828"
03/31/2021,"9.88","9.95","9.43","9.80","476,348"
03/30/2021,"9.00","9.93","9.00","9.79","257,858"
03/29/2021,"10.11","10.23","9.27","9.55","324,649"
03/26/2021,"11.25","11.25","7.36","9.90","2,134,025"
