Date,Open,High,Low,Close,Volume
08/27/2021,"9.71","9.71","9.71","9.71","3"
08/26/2021,"9.67","9.71","9.65","9.71","46,465"
08/25/2021,"9.84","9.84","9.66","9.66","267,062"
08/24/2021,"9.79","9.79","9.72","9.72","889"
08/23/2021,"9.66","9.73","9.65","9.72","662,511"
08/20/2021,"9.69","9.73","9.66","9.73","29,348"
08/13/2021,"9.73","9.73","9.73","9.73","60"
08/12/2021,"9.72","9.73","9.70","9.73","461"
08/11/2021,"9.73","9.73","9.73","9.73","10"
08/10/2021,"9.67","9.73","9.67","9.73","538"
08/09/2021,"9.71","9.71","9.70","9.70","311"
08/06/2021,"9.71","9.80","9.70","9.72","13,957"
08/05/2021,"9.73","9.75","9.70","9.70","8,322"
08/04/2021,"9.76","9.83","9.70","9.70","9,065"
08/03/2021,"9.67","9.72","9.67","9.70","13,474"
08/02/2021,"9.67","9.67","9.65","9.67","3,350"
07/30/2021,"9.66","9.68","9.66","9.68","1,393"
07/29/2021,"9.67","9.67","9.67","9.67","354"
07/28/2021,"9.77","9.78","9.64","9.66","543,381"
07/27/2021,"9.82","9.82","9.74","9.74","3,502"
07/23/2021,"9.79","9.79","9.79","9.79","242"
07/22/2021,"9.78","9.85","9.74","9.74","1,930"
07/21/2021,"9.77","9.77","9.75","9.75","103,000"
07/20/2021,"9.75","9.80","9.75","9.80","2,531"
07/19/2021,"9.76","9.76","9.76","9.76","4"
07/16/2021,"9.76","9.76","9.76","9.76","125"
07/15/2021,"9.87","9.91","9.84","9.89","9,499"
07/14/2021,"9.80","9.90","9.80","9.85","21,307"
07/13/2021,"9.77","9.78","9.74","9.78","25,626"
07/12/2021,"9.80","9.83","9.74","9.74","734,578"
07/09/2021,"9.82","9.82","9.82","9.82","10"
07/08/2021,"9.80","9.84","9.80","9.82","153,082"
07/07/2021,"9.79","9.80","9.79","9.79","936"
07/06/2021,"9.78","9.80","9.77","9.78","53,831"
07/02/2021,"9.79","9.83","9.78","9.78","2,494"
07/01/2021,"9.77","9.80","9.75","9.80","19,709"
06/30/2021,"9.85","9.85","9.81","9.81","33,218"
06/29/2021,"9.80","9.83","9.80","9.80","3,777"
06/28/2021,"9.81","9.85","9.79","9.85","440,509"
06/25/2021,"9.85","9.85","9.80","9.85","990"
06/24/2021,"9.80","9.80","9.79","9.79","228"
06/23/2021,"9.80","9.80","9.77","9.78","15,916"
06/22/2021,"9.83","9.83","9.80","9.80","301"
06/21/2021,"9.81","9.83","9.81","9.83","305"
06/18/2021,"9.90","9.90","9.86","9.86","222"
06/17/2021,"9.80","9.80","9.80","9.80","5"
06/16/2021,"9.80","9.80","9.80","9.80","3,403"
06/15/2021,"9.95","9.95","9.88","9.92","1,151"
06/14/2021,"9.88","9.88","9.88","9.88","150"
06/11/2021,"9.82","9.90","9.82","9.88","100,700"
06/10/2021,"9.86","9.88","9.85","9.85","2,366"
06/09/2021,"9.87","9.90","9.85","9.85","101,958"
06/07/2021,"9.83","9.87","9.83","9.84","60,550"
06/04/2021,"9.85","9.88","9.84","9.85","115,600"
06/03/2021,"9.83","9.91","9.83","9.88","341,756"
06/02/2021,"9.82","9.85","9.82","9.85","7,673"
06/01/2021,"9.86","9.88","9.82","9.87","10,551"
05/28/2021,"9.90","9.90","9.85","9.85","2,458"
05/27/2021,"9.90","9.90","9.86","9.90","135,578"
05/26/2021,"9.91","9.93","9.90","9.90","5,567"
05/25/2021,"9.90","9.91","9.90","9.90","4,945"
05/24/2021,"9.90","9.91","9.89","9.89","2,474"
05/21/2021,"9.91","9.91","9.90","9.90","9,859"
05/20/2021,"9.90","9.90","9.88","9.90","3,857"
05/19/2021,"9.91","9.91","9.87","9.88","10,185"
05/18/2021,"9.94","9.94","9.90","9.90","44,961"
05/17/2021,"9.95","9.99","9.91","9.95","599,719"
05/14/2021,"9.95","10.02","9.95","10.00","177,541"
05/13/2021,"9.92","9.92","9.88","9.90","149,753"
05/12/2021,"9.91","9.91","9.89","9.89","31,583"
05/11/2021,"9.90","9.96","9.90","9.96","272,215"
05/10/2021,"9.94","9.94","9.86","9.90","55,402"
05/07/2021,"9.94","9.97","9.92","9.93","136,462"
05/06/2021,"9.98","9.99","9.94","9.95","116,742"
05/05/2021,"9.95","9.97","9.92","9.93","47,329"
05/04/2021,"9.95","9.97","9.92","9.93","145,793"
05/03/2021,"10.00","10.00","9.94","9.94","92,876"
04/30/2021,"9.94","10.14","9.93","10.00","4,532,785"
