Date,Open,High,Low,Close,Volume
08/11/2021,"17.40","17.83","16.75","17.59","366,251"
08/10/2021,"17.36","17.60","16.84","17.41","108,693"
08/09/2021,"17.28","17.35","16.85","17.25","79,870"
08/06/2021,"16.84","17.83","16.42","17.18","293,164"
08/05/2021,"17.00","17.50","16.66","16.83","178,780"
08/04/2021,"17.16","17.45","16.68","17.04","179,378"
08/03/2021,"17.97","18.20","17.08","17.09","72,508"
08/02/2021,"17.56","18.29","17.07","17.92","97,920"
07/30/2021,"17.75","17.98","17.23","17.49","152,920"
07/29/2021,"17.98","18.42","17.46","17.88","299,186"
07/28/2021,"17.88","18.49","16.26","17.70","405,648"
07/27/2021,"18.36","18.65","17.15","17.79","539,060"
07/26/2021,"18.87","19.20","18.05","18.48","275,670"
07/23/2021,"19.27","19.40","18.59","18.85","145,593"
07/22/2021,"18.69","19.05","18.06","18.87","51,497"
07/21/2021,"17.58","19.03","17.58","18.64","391,711"
07/20/2021,"17.08","17.94","16.47","17.69","296,752"
07/19/2021,"16.67","17.45","16.41","16.95","250,863"
07/16/2021,"16.49","17.56","16.49","17.01","557,993"
07/15/2021,"17.00","17.37","16.60","16.67","379,778"
07/14/2021,"17.03","17.77","16.40","16.73","919,146"
07/13/2021,"17.69","18.00","17.03","17.14","549,889"
07/12/2021,"18.59","19.08","17.35","17.96","522,820"
07/09/2021,"18.87","19.33","17.70","18.69","529,531"
07/08/2021,"18.00","19.49","17.34","18.86","453,279"
07/07/2021,"19.00","19.12","18.15","18.25","1,727,882"
07/06/2021,"18.99","19.63","18.56","19.00","716,901"
07/02/2021,"19.70","20.00","18.17","18.75","732,997"
07/01/2021,"19.65","20.92","18.12","20.16","3,061,005"
06/30/2021,"22.00","22.50","18.10","20.58","8,409,671"
