Date,Open,High,Low,Close,Volume
08/30/2021,"2.8300","2.8500","2.8000","2.8500","61,901"
08/27/2021,"2.7700","2.8500","2.7700","2.8500","91,990"
08/26/2021,"2.8700","2.8700","2.7200","2.7400","115,420"
08/25/2021,"2.7800","2.8700","2.7800","2.8200","98,662"
08/24/2021,"2.7600","2.8600","2.7200","2.7700","160,430"
08/23/2021,"2.7100","2.7786","2.6740","2.7500","179,568"
08/20/2021,"2.6300","2.7300","2.6100","2.6800","73,845"
08/19/2021,"2.8300","2.8500","2.6400","2.6600","230,876"
08/18/2021,"3.0200","3.0200","2.7900","2.8000","256,038"
08/17/2021,"3.1300","3.1350","2.8400","2.8500","477,949"
08/16/2021,"3.1500","3.3489","3.0200","3.2800","1,011,685"
08/13/2021,"3.1600","3.1600","2.9600","3.0000","160,664"
08/12/2021,"3.0700","3.1900","2.9600","3.1200","404,111"
08/11/2021,"2.9800","3.1700","2.9700","3.0800","332,414"
08/10/2021,"3.0300","3.0399","2.9500","2.9700","148,022"
08/09/2021,"2.9400","3.0400","2.9100","2.9800","187,292"
08/06/2021,"2.9000","3.0400","2.8300","3.0000","207,013"
08/05/2021,"2.8300","3.1399","2.8168","2.9200","767,990"
08/04/2021,"2.9200","2.9279","2.8000","2.8100","338,472"
08/03/2021,"3.1500","3.2000","2.9100","2.9400","1,091,275"
08/02/2021,"3.1700","3.1899","2.9000","2.9000","697,395"
07/30/2021,"3.0900","3.3200","3.0600","3.1100","1,211,504"
07/29/2021,"3.3350","3.4412","3.0691","3.1200","1,436,386"
07/28/2021,"2.9100","3.6400","2.8800","3.4900","5,023,201"
07/27/2021,"3.1200","3.1200","2.7500","2.8400","622,632"
07/26/2021,"3.1800","3.2800","3.0601","3.1100","325,609"
07/23/2021,"3.2400","3.3400","3.1200","3.1900","356,947"
07/22/2021,"3.4000","3.4500","3.2000","3.2100","420,873"
07/21/2021,"3.4000","3.4900","3.3500","3.4400","571,652"
07/20/2021,"3.3700","3.4800","3.2000","3.3600","1,579,386"
07/19/2021,"3.3600","3.3800","3.1000","3.1800","555,966"
07/16/2021,"3.4300","3.5000","3.3100","3.3800","608,641"
07/15/2021,"3.6000","3.7100","3.3100","3.3648","797,192"
07/14/2021,"3.7500","3.8700","3.6000","3.6300","522,580"
07/13/2021,"3.7400","4.1600","3.5600","3.7000","1,189,431"
07/12/2021,"4.0500","4.0900","3.6750","3.7100","895,043"
07/09/2021,"3.6500","4.3500","3.5600","4.1700","2,531,717"
07/08/2021,"3.4600","3.8100","3.3200","3.6200","1,980,061"
07/07/2021,"3.6500","3.7900","3.4206","3.5400","2,264,621"
07/06/2021,"3.9500","3.9800","3.6000","3.6500","2,313,154"
07/02/2021,"4.1500","4.4700","4.0000","4.0500","1,105,323"
07/01/2021,"4.3900","4.8800","4.0200","4.1800","4,222,560"
