Date,Open,High,Low,Close,Volume
08/20/2021,"5.60","6.68","5.60","6.61","45,775"
08/19/2021,"6.21","6.55","5.71","5.98","74,624"
08/18/2021,"6.93","7.08","6.24","6.24","56,168"
08/17/2021,"7.00","7.25","6.66","6.91","68,598"
08/16/2021,"7.29","7.38","6.90","7.35","16,268"
08/13/2021,"7.39","7.67","7.16","7.43","31,778"
08/12/2021,"7.85","7.94","7.26","7.26","42,748"
08/11/2021,"7.94","7.95","7.84","7.88","23,376"
08/10/2021,"7.98","8.16","7.87","8.00","31,873"
08/09/2021,"8.00","8.11","7.89","7.91","20,909"
08/06/2021,"7.93","7.96","7.54","7.95","34,662"
08/05/2021,"7.61","7.97","7.61","7.90","54,728"
08/04/2021,"7.50","7.82","7.50","7.62","63,626"
08/03/2021,"7.25","7.66","6.94","7.42","47,424"
08/02/2021,"7.00","7.68","6.56","7.17","114,526"
07/30/2021,"6.62","6.99","6.62","6.84","72,128"
07/29/2021,"6.94","6.94","6.70","6.76","60,687"
07/28/2021,"6.84","7.18","6.47","6.75","89,576"
07/27/2021,"6.82","6.94","6.28","6.41","135,212"
07/26/2021,"7.27","7.50","6.31","6.80","206,531"
07/23/2021,"7.89","8.46","7.10","8.25","195,722"
07/22/2021,"10.10","10.49","10.10","10.49","10,394"
07/21/2021,"9.94","10.49","9.94","10.49","6,047"
07/20/2021,"9.85","10.12","9.85","10.06","10,449"
07/19/2021,"10.03","10.07","9.85","9.95","9,896"
07/16/2021,"10.36","10.73","10.03","10.13","14,961"
07/15/2021,"10.00","10.28","10.00","10.28","8,198"
07/14/2021,"10.48","10.48","9.70","10.00","94,115"
07/13/2021,"11.15","11.15","10.22","10.74","24,487"
07/12/2021,"10.38","11.50","10.20","11.15","39,111"
07/09/2021,"9.91","10.65","9.91","10.41","8,177"
07/08/2021,"10.10","10.30","9.90","9.98","22,109"
07/07/2021,"10.66","10.66","9.91","10.30","39,069"
07/06/2021,"10.31","10.50","10.10","10.47","19,916"
07/02/2021,"10.60","10.70","10.11","10.26","8,625"
07/01/2021,"10.34","10.85","10.23","10.70","34,976"
06/30/2021,"10.25","10.49","9.97","10.34","4,673"
06/29/2021,"9.81","10.50","9.72","10.40","24,320"
06/28/2021,"9.85","10.16","9.66","9.90","93,555"
06/25/2021,"10.47","10.47","9.66","9.85","21,376"
06/24/2021,"10.00","10.48","9.62","10.27","28,893"
06/23/2021,"10.13","10.15","9.74","10.04","16,171"
06/22/2021,"10.15","10.40","9.80","9.81","20,370"
06/21/2021,"10.01","10.33","9.75","10.28","20,618"
06/18/2021,"10.18","10.65","9.85","10.36","10,801"
06/17/2021,"9.70","10.78","9.70","10.18","45,149"
06/16/2021,"9.80","9.96","9.50","9.81","21,227"
06/15/2021,"10.83","10.83","9.70","9.80","32,116"
06/14/2021,"10.19","10.88","10.19","10.79","36,496"
06/11/2021,"10.17","10.42","10.02","10.24","16,539"
06/10/2021,"11.47","11.69","10.05","10.19","82,281"
06/09/2021,"10.29","11.77","10.16","11.27","165,789"
06/08/2021,"10.28","10.50","9.80","10.50","64,762"
06/07/2021,"9.68","10.80","9.47","10.67","39,252"
06/04/2021,"9.00","9.83","8.98","9.60","76,955"
06/03/2021,"9.01","9.28","8.98","9.00","92,594"
06/02/2021,"9.14","9.28","9.00","9.16","229,270"
06/01/2021,"9.19","9.49","9.05","9.22","146,921"
05/28/2021,"9.39","9.50","8.95","8.96","148,241"
05/27/2021,"9.30","9.50","9.15","9.49","51,952"
05/26/2021,"9.40","9.50","8.94","9.43","29,476"
05/25/2021,"9.34","9.50","9.18","9.27","38,574"
05/24/2021,"10.00","10.00","9.11","9.16","80,244"
05/21/2021,"10.50","10.50","10.00","10.17","39,391"
05/20/2021,"9.86","10.43","9.70","10.43","31,039"
05/19/2021,"9.85","10.00","9.80","10.00","29,481"
05/18/2021,"9.73","10.00","9.63","9.76","60,131"
05/17/2021,"9.86","10.00","9.54","9.56","43,923"
05/14/2021,"10.00","10.82","9.50","9.60","118,467"
05/13/2021,"10.75","11.18","9.69","10.04","57,092"
05/12/2021,"11.25","11.26","10.61","10.79","25,085"
05/11/2021,"10.97","11.57","10.97","11.49","51,557"
05/10/2021,"11.36","11.70","10.79","11.57","67,893"
05/07/2021,"11.29","11.76","11.21","11.41","11,681"
05/06/2021,"11.66","11.79","10.99","11.23","62,339"
05/05/2021,"12.50","12.50","11.68","11.68","16,869"
05/04/2021,"12.51","12.60","12.00","12.59","47,190"
05/03/2021,"12.85","12.85","12.51","12.59","15,371"
04/30/2021,"12.90","13.38","12.52","12.80","101,312"
04/29/2021,"12.88","13.49","12.00","13.40","90,846"
04/28/2021,"12.80","13.30","12.50","12.78","60,573"
04/27/2021,"14.00","14.00","12.34","12.46","83,129"
04/26/2021,"12.10","15.00","12.04","14.05","143,303"
04/23/2021,"12.35","12.74","11.97","12.10","27,095"
04/22/2021,"13.40","13.40","12.13","12.51","21,638"
04/21/2021,"12.14","13.77","11.98","12.98","66,820"
04/20/2021,"12.26","12.51","11.88","12.16","10,874"
04/19/2021,"12.08","12.69","12.08","12.30","114,745"
04/16/2021,"12.06","12.33","12.02","12.13","28,796"
04/15/2021,"12.26","12.42","11.82","12.13","27,211"
04/14/2021,"11.98","12.30","11.85","12.20","42,891"
04/13/2021,"12.02","12.22","11.57","11.90","26,341"
04/12/2021,"12.10","12.61","11.90","11.95","47,084"
04/09/2021,"12.34","12.42","11.72","12.18","30,837"
04/08/2021,"12.19","12.51","12.16","12.37","120,182"
04/07/2021,"12.69","12.76","12.19","12.19","27,074"
04/06/2021,"12.40","12.93","12.13","12.79","46,608"
04/05/2021,"13.49","13.49","12.52","12.52","78,603"
04/01/2021,"13.08","13.49","12.41","13.42","202,596"
03/31/2021,"11.42","12.73","11.30","12.51","90,688"
03/30/2021,"11.44","11.56","10.53","11.37","130,781"
03/29/2021,"12.54","12.65","11.08","11.11","234,533"
03/26/2021,"13.68","13.98","12.13","12.80","288,732"
03/25/2021,"13.85","14.20","12.51","13.58","363,448"
03/24/2021,"14.79","15.09","13.60","13.86","148,538"
03/23/2021,"14.80","15.28","14.26","14.54","137,147"
03/22/2021,"15.42","15.59","14.43","14.43","52,686"
03/19/2021,"14.59","15.40","14.59","15.36","39,146"
03/18/2021,"14.78","15.16","14.30","14.60","39,061"
03/17/2021,"15.12","15.30","14.80","15.10","33,646"
03/16/2021,"15.26","16.28","14.55","15.45","77,558"
03/15/2021,"16.50","16.88","15.06","15.14","47,750"
03/12/2021,"15.00","16.46","14.80","15.92","49,622"
03/11/2021,"14.88","15.63","14.80","15.02","45,717"
03/10/2021,"14.75","15.99","14.75","14.87","68,078"
03/09/2021,"14.32","14.97","13.88","14.75","60,584"
03/08/2021,"15.09","15.30","13.53","13.75","114,330"
03/05/2021,"15.74","16.50","14.66","15.09","107,891"
03/04/2021,"17.50","17.56","15.19","16.20","158,066"
03/03/2021,"18.04","18.04","17.27","17.56","86,909"
03/02/2021,"18.59","18.59","17.58","17.84","54,114"
03/01/2021,"19.00","19.21","17.60","18.30","126,177"
02/26/2021,"18.00","18.77","17.41","18.50","206,107"
02/25/2021,"18.18","19.18","18.00","18.50","158,969"
02/24/2021,"18.00","18.39","17.52","18.10","54,057"
02/23/2021,"17.80","17.97","17.00","17.79","96,131"
02/22/2021,"19.39","19.39","17.92","18.10","153,817"
02/19/2021,"19.99","20.25","19.10","19.79","72,904"
02/18/2021,"19.77","20.08","19.23","19.76","127,268"
02/17/2021,"21.19","21.56","19.25","20.17","162,776"
02/16/2021,"21.51","22.04","20.30","21.40","235,150"
02/12/2021,"21.70","21.82","21.10","21.36","101,506"
02/11/2021,"19.14","22.25","18.67","21.97","227,239"
02/10/2021,"19.32","19.45","18.50","18.88","106,252"
02/09/2021,"19.30","19.45","18.76","19.15","135,880"
02/08/2021,"19.50","19.50","18.48","19.20","81,361"
02/05/2021,"19.50","19.52","18.72","19.13","71,054"
02/04/2021,"18.85","19.34","18.20","18.93","81,405"
02/03/2021,"18.98","19.04","18.56","18.71","53,988"
02/02/2021,"19.58","19.85","18.50","19.00","50,412"
02/01/2021,"18.84","19.99","18.20","19.20","134,547"
01/29/2021,"19.12","19.84","18.00","18.44","144,704"
01/28/2021,"19.00","19.75","18.88","19.04","106,539"
01/27/2021,"20.74","20.86","19.24","19.84","68,685"
01/26/2021,"21.37","21.89","20.30","20.87","111,177"
01/25/2021,"22.91","24.50","21.10","21.51","189,196"
01/22/2021,"20.27","23.95","20.00","22.84","252,355"
01/21/2021,"20.67","20.97","20.00","20.58","150,965"
01/20/2021,"18.37","19.79","18.37","19.45","157,408"
01/19/2021,"18.87","19.45","18.00","18.00","102,853"
01/15/2021,"18.61","19.00","18.01","18.38","85,122"
01/14/2021,"18.20","18.99","18.20","18.80","111,932"
01/13/2021,"18.26","18.88","18.01","18.24","65,858"
01/12/2021,"18.95","19.39","18.06","18.32","75,941"
01/11/2021,"19.27","20.20","18.34","18.83","127,867"
01/08/2021,"21.19","21.19","19.51","20.18","50,927"
01/07/2021,"19.47","21.09","19.09","20.62","83,690"
01/06/2021,"18.99","20.40","18.43","19.47","55,193"
01/05/2021,"17.90","18.80","17.48","18.61","41,185"
01/04/2021,"18.96","18.96","17.50","17.90","54,089"
12/31/2020,"18.70","19.34","17.56","18.12","62,433"
12/30/2020,"19.00","19.35","18.31","18.48","78,253"
12/29/2020,"19.29","19.47","18.83","19.00","70,496"
12/28/2020,"20.50","20.94","18.20","18.83","124,613"
12/24/2020,"21.83","21.97","20.00","20.31","34,207"
12/23/2020,"21.90","22.40","21.55","21.88","22,684"
12/22/2020,"23.00","23.00","20.49","21.15","56,853"
12/21/2020,"22.30","23.50","21.35","23.16","40,684"
12/18/2020,"21.14","22.95","21.14","22.30","43,553"
12/17/2020,"20.45","21.56","20.45","21.24","39,068"
12/16/2020,"21.23","21.74","20.01","20.38","36,823"
12/15/2020,"21.25","21.89","19.62","21.06","104,638"
12/14/2020,"22.77","23.00","21.00","21.21","71,275"
12/11/2020,"23.41","23.60","22.56","22.77","24,628"
12/10/2020,"24.27","24.27","23.01","23.42","48,243"
12/09/2020,"24.49","25.48","24.04","24.27","73,550"
12/08/2020,"22.90","24.55","22.85","24.21","54,735"
12/07/2020,"23.15","23.86","22.88","22.90","49,981"
12/04/2020,"22.27","24.00","21.45","23.23","77,123"
12/03/2020,"25.00","25.30","22.00","22.59","286,964"
12/02/2020,"24.90","26.00","22.74","25.30","155,133"
12/01/2020,"27.88","28.49","26.71","27.89","118,785"
11/30/2020,"29.58","29.58","26.40","28.00","70,628"
11/27/2020,"28.74","30.00","28.35","28.91","69,039"
11/25/2020,"26.47","29.23","26.47","28.65","95,138"
11/24/2020,"30.99","31.58","24.21","26.30","170,570"
11/23/2020,"26.50","30.49","26.38","29.86","198,604"
11/20/2020,"24.07","25.80","23.16","25.80","134,124"
11/19/2020,"23.56","24.00","23.00","23.55","81,686"
11/18/2020,"23.61","23.85","22.70","23.20","54,826"
11/17/2020,"24.30","24.30","22.80","23.10","46,697"
11/16/2020,"24.20","24.77","24.20","24.30","34,422"
11/13/2020,"23.95","24.50","23.85","24.14","61,622"
11/12/2020,"22.86","24.73","22.68","24.08","104,692"
11/11/2020,"20.94","24.00","20.94","23.64","166,499"
11/10/2020,"20.39","21.31","20.30","20.79","62,640"
11/09/2020,"21.50","22.50","20.22","20.39","101,596"
11/06/2020,"20.41","21.70","20.20","21.68","60,023"
11/05/2020,"21.99","22.40","20.00","20.53","84,872"
11/04/2020,"20.96","21.60","20.51","21.55","96,362"
11/03/2020,"18.80","20.90","18.70","20.35","138,274"
11/02/2020,"17.99","18.90","17.93","18.90","105,265"
10/30/2020,"18.20","18.53","17.80","17.96","106,432"
10/29/2020,"19.07","19.45","18.32","18.57","101,733"
10/28/2020,"17.98","18.88","17.60","18.80","158,070"
10/27/2020,"18.21","18.97","18.05","18.08","119,296"
10/26/2020,"18.37","18.83","18.06","18.19","108,230"
10/23/2020,"19.20","20.88","18.29","19.00","194,225"
10/22/2020,"17.41","19.96","17.40","19.88","586,888"
10/21/2020,"20.32","20.40","16.07","16.63","963,664"
10/20/2020,"22.85","23.00","20.58","21.02","257,056"
10/19/2020,"25.00","25.00","21.80","23.75","300,520"
10/16/2020,"24.44","26.95","24.21","24.78","318,542"
10/15/2020,"25.19","26.00","23.00","23.14","521,681"
10/14/2020,"27.30","29.00","25.00","26.09","1,365,689"
10/13/2020,"21.11","28.74","21.11","27.15","3,022,213"
10/12/2020,"15.82","25.00","15.68","22.44","2,881,273"
10/09/2020,"12.12","16.29","12.12","16.00","4,575,253"
