Date,Open,High,Low,Close,Volume
08/30/2021,"13.11","13.69","12.13","13.15","120,924"
08/27/2021,"11.97","13.31","11.61","13.29","57,473"
08/26/2021,"11.66","12.32","11.52","11.60","44,536"
08/25/2021,"11.79","12.15","11.47","11.60","46,009"
08/24/2021,"11.08","12.18","11.08","11.85","58,266"
08/23/2021,"11.90","11.90","10.93","11.16","38,119"
08/20/2021,"11.00","11.87","11.00","11.87","33,220"
08/19/2021,"11.20","11.20","10.41","10.95","40,803"
08/18/2021,"11.41","11.48","11.25","11.39","42,193"
08/17/2021,"10.98","11.55","10.72","11.41","72,910"
08/16/2021,"10.68","11.04","10.36","11.02","24,754"
08/13/2021,"11.16","11.18","10.04","10.78","21,463"
08/12/2021,"10.83","11.19","10.31","11.03","44,741"
08/11/2021,"10.01","10.26","9.63","10.26","31,078"
08/10/2021,"10.23","10.24","9.70","10.04","34,190"
08/09/2021,"10.25","10.52","9.93","10.09","17,809"
08/06/2021,"10.33","10.52","9.88","10.37","12,816"
08/05/2021,"10.01","10.84","9.79","10.20","41,025"
08/04/2021,"9.82","10.11","9.72","10.00","22,187"
08/03/2021,"10.07","10.38","9.64","9.82","32,798"
08/02/2021,"10.11","10.99","9.90","10.07","28,115"
07/30/2021,"10.68","10.76","9.64","9.91","59,497"
07/29/2021,"10.82","11.39","10.57","10.62","22,716"
07/28/2021,"11.18","11.18","10.33","10.80","58,180"
07/27/2021,"11.39","11.62","11.02","11.18","33,860"
07/26/2021,"10.87","11.67","10.47","11.49","53,254"
07/23/2021,"11.52","11.60","10.56","10.90","113,731"
07/22/2021,"11.64","12.99","11.20","11.62","174,394"
07/21/2021,"12.87","13.07","11.40","11.62","374,361"
07/20/2021,"11.50","17.60","11.45","13.36","2,525,643"
07/19/2021,"12.59","13.01","11.34","11.44","47,006"
07/16/2021,"11.84","13.59","11.32","13.17","91,172"
07/15/2021,"11.24","11.94","11.00","11.62","50,287"
07/14/2021,"12.79","12.81","11.18","11.26","109,821"
07/13/2021,"15.06","15.06","12.58","12.72","81,489"
07/12/2021,"14.30","15.33","14.11","15.23","66,311"
07/09/2021,"13.48","14.67","13.48","14.50","121,318"
07/08/2021,"13.13","13.58","12.89","13.33","57,888"
07/07/2021,"12.94","13.60","12.81","13.47","19,532"
07/06/2021,"13.25","13.59","12.60","13.04","36,304"
07/02/2021,"14.20","14.35","13.01","13.26","51,680"
07/01/2021,"14.14","14.28","13.52","14.20","70,310"
06/30/2021,"13.46","14.33","13.00","14.04","58,541"
06/29/2021,"14.49","14.56","13.44","13.54","71,102"
06/28/2021,"14.35","14.71","13.87","14.30","88,567"
06/25/2021,"15.05","15.23","13.76","14.37","1,079,941"
06/24/2021,"14.80","15.18","14.50","14.88","74,982"
06/23/2021,"14.81","14.99","14.38","14.46","113,277"
06/22/2021,"13.94","14.77","13.90","14.53","92,380"
06/21/2021,"13.83","14.41","13.63","14.10","98,707"
06/18/2021,"13.99","14.51","13.15","13.27","392,360"
06/17/2021,"13.76","14.48","13.51","14.05","92,539"
06/16/2021,"13.49","13.84","13.10","13.72","106,062"
06/15/2021,"13.83","14.08","13.00","13.43","82,395"
06/14/2021,"14.75","15.25","13.69","13.73","107,983"
06/11/2021,"15.37","15.37","14.41","14.55","41,076"
06/10/2021,"15.43","15.54","14.76","15.14","31,968"
06/09/2021,"15.38","15.96","15.32","15.42","62,260"
06/08/2021,"15.17","15.48","14.87","15.33","153,483"
06/07/2021,"15.71","16.36","14.85","15.04","47,319"
06/04/2021,"15.62","16.79","14.69","15.68","93,597"
06/03/2021,"16.70","17.86","15.21","15.59","96,519"
06/02/2021,"17.84","17.91","16.60","16.67","46,803"
06/01/2021,"17.82","18.37","17.15","17.55","104,588"
05/28/2021,"19.41","19.70","17.81","18.00","52,870"
05/27/2021,"20.00","20.37","19.07","19.07","55,427"
05/26/2021,"19.88","20.41","19.51","19.77","49,715"
05/25/2021,"20.05","21.18","19.58","19.61","74,534"
05/24/2021,"19.18","20.00","19.16","19.57","86,415"
05/21/2021,"19.28","19.30","18.61","19.11","82,228"
05/20/2021,"18.12","19.01","17.90","18.88","64,293"
05/19/2021,"17.63","18.25","16.70","17.95","81,118"
05/18/2021,"17.41","18.16","16.99","17.79","48,648"
05/17/2021,"18.52","19.69","16.97","17.41","134,359"
05/14/2021,"16.79","18.97","16.30","18.33","115,432"
05/13/2021,"19.63","19.74","16.86","16.89","442,384"
05/12/2021,"19.51","20.48","19.35","19.55","45,121"
05/11/2021,"21.89","23.11","19.49","19.74","182,092"
05/10/2021,"23.74","24.25","22.11","22.32","164,080"
05/07/2021,"23.51","24.38","23.51","23.81","69,583"
05/06/2021,"25.37","25.83","22.75","23.40","445,663"
05/05/2021,"24.62","26.49","23.84","25.64","197,370"
05/04/2021,"24.48","25.25","23.11","24.62","190,285"
05/03/2021,"24.90","25.45","24.04","24.73","104,437"
04/30/2021,"22.55","24.90","22.55","24.47","128,508"
04/29/2021,"21.93","23.35","21.67","22.84","103,935"
04/28/2021,"22.23","22.74","21.02","22.05","304,761"
04/27/2021,"22.25","22.25","20.61","22.06","78,258"
04/26/2021,"21.03","22.73","20.44","22.01","187,252"
04/23/2021,"20.39","21.50","19.34","20.94","238,992"
04/22/2021,"19.04","20.15","18.95","20.03","134,722"
04/21/2021,"18.55","19.55","18.42","19.24","105,787"
04/20/2021,"19.94","21.32","18.06","18.39","99,622"
04/19/2021,"17.72","20.17","17.00","19.94","130,050"
04/16/2021,"18.12","18.49","17.14","17.99","55,211"
04/15/2021,"18.49","18.74","17.00","18.45","121,764"
04/14/2021,"17.09","18.39","16.99","17.68","143,532"
04/13/2021,"15.49","18.00","14.36","17.89","275,474"
04/12/2021,"16.33","26.99","14.16","17.20","2,968,490"
04/09/2021,"18.97","19.02","15.75","16.05","133,575"
04/08/2021,"20.47","21.52","18.41","18.95","117,956"
04/07/2021,"22.06","23.15","19.50","20.46","328,391"
04/06/2021,"23.76","24.77","21.42","22.22","188,252"
04/05/2021,"25.52","25.95","22.48","23.50","421,528"
04/01/2021,"27.01","27.01","23.18","26.00","256,524"
03/31/2021,"25.01","28.68","24.38","28.25","377,833"
03/30/2021,"28.80","30.24","23.81","25.60","320,161"
03/29/2021,"28.25","33.69","24.52","28.30","413,783"
03/26/2021,"22.40","37.61","19.01","32.00","2,507,760"
